RUN_NUMBER,REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
1,665,0,FALSE,200,"GET",554,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special"
1,630,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
1,531,0,FALSE,200,"GET",721,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=580655cddcba0f490c70fdd0"
1,523,0,FALSE,200,"GET",682,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=58065620dcba0f490c70fe09"
1,245,0,FALSE,200,"GET",682,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=58065620dcba0f490c70fe09"
1,260,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
1,260,0,FALSE,200,"GET",554,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special"
1,258,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
1,542,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
1,261,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
1,248,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
1,607,0,FALSE,200,"GET",1870,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club"
1,565,0,FALSE,200,"GET",979,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/PR%20Club"
1,672,0,FALSE,200,"GET",760,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Design%20and%20Decoration%20Club"
1,549,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
1,257,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
1,257,0,FALSE,200,"GET",979,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/PR%20Club"
1,256,0,FALSE,200,"GET",1870,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club"
1,260,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
2,552,0,FALSE,200,"GET",554,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special"
