Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
78,2393604,79,0,0,77,14
178,2394596,179,0,0,177,22
282,2394596,285,0,0,280,19
382,2394000,383,0,0,380,22
482,2394512,484,0,0,480,6
581,2395568,581,0,0,580,16
681,2395840,682,0,0,680,14
782,2395716,782,0,0,780,12
882,2409852,883,0,0,881,24
982,2421072,982,0,0,981,26
1087,2420484,1088,0,0,1084,9
1189,2417716,1190,0,0,1186,13
1285,2419444,1285,0,0,1283,36
1386,2443996,1386,0,0,1384,34
1488,2446668,1491,0,0,1485,25
1586,2447068,1587,0,0,1585,22
1689,2448080,1691,0,0,1686,26
1788,2447672,1789,0,0,1787,24
1888,2446884,1889,0,0,1887,16
1988,2447840,1989,0,0,1987,11
2090,2447772,2091,0,0,2087,15
2188,2447772,2189,0,0,2187,18
2293,2447436,2294,0,0,2290,10
2392,2447444,2393,0,0,2391,14
2493,2447900,2494,0,0,2492,13
2593,2447900,2594,0,0,2592,14
2697,2447116,2698,0,0,2694,10
2794,2447960,2795,0,0,2793,15
2894,2448088,2894,0,0,2893,20
2997,2447904,2998,0,0,2995,15
3104,2447904,3106,0,0,3099,2
3196,2450700,3197,0,0,3195,30
3296,2455424,3297,0,0,3295,17
3397,2465892,3398,0,0,3396,18
3497,2475028,3498,0,0,3496,16
3597,2482984,3597,0,0,3596,26
3697,2487008,3697,0,0,3696,30
3798,2492496,3800,0,0,3797,38
3898,2496136,3899,0,0,3897,45
3998,2496724,3998,0,0,3997,33
4104,2499004,4105,0,0,4101,18
4199,2500572,4199,0,0,4198,35
4299,2501068,4300,0,0,4298,16
4400,2495972,4400,0,0,4399,9
4501,2497748,4501,0,0,4500,36
4601,2510508,4601,0,0,4600,33
4701,2511488,4701,0,0,4700,25
4802,2497508,4802,0,0,4801,32
4902,2497984,4902,0,0,4901,33
5002,2497396,5002,0,0,5001,25
5103,2497396,5104,0,0,5102,0
5204,2498200,5204,0,0,5203,15
5304,2498200,5304,0,0,5303,12
5404,2498088,5404,0,0,5403,22
5504,2502116,5505,0,0,5503,20
5605,2507268,5605,0,0,5604,43
5705,2507108,5705,0,0,5704,14
5805,2506608,5806,0,0,5804,8
5907,2506576,5908,0,0,5906,8
6008,2507672,6009,0,0,6006,17
6108,2507724,6108,0,0,6107,14
6207,2507336,6208,0,0,6206,14
6309,2507140,6309,0,0,6307,8
6408,2507628,6408,0,0,6407,15
6511,2508124,6511,0,0,6509,15
6613,2507536,6613,0,0,6609,17
6711,2507536,6712,0,0,6710,1
6812,2508848,6813,0,0,6811,17
6911,2506056,6912,0,0,6911,19
7012,2505648,7012,0,0,7011,17
7112,2505648,7112,0,0,7112,0
7213,2505604,7214,0,0,7213,19
7316,2506068,7317,0,0,7314,16
7413,2506068,7414,0,0,7413,17
7516,2505480,7517,0,0,7515,7
7615,2506256,7616,0,0,7615,18
7715,2506704,7715,0,0,7715,14
7816,2506580,7816,0,0,7815,0
7917,2505368,7917,0,0,7916,14
8018,2505420,8019,0,0,8017,4
8118,2506332,8119,0,0,8117,24
8218,2504912,8219,0,0,8217,30
8318,2504912,8318,0,0,8318,26
8419,2504024,8419,0,0,8418,12
8520,2504064,8520,0,0,8519,14
8620,2504152,8621,0,0,8619,16
8721,2504152,8722,0,0,8721,17
8822,2503628,8822,0,0,8821,10
8924,2503728,8925,0,0,8923,7
9023,2504320,9024,0,0,9023,18
9126,2504496,9128,0,0,9124,14
9224,2504760,9224,0,0,9223,20
9324,2504020,9325,0,0,9324,8
9425,2504180,9426,0,0,9425,8
9526,2504724,9527,0,0,9525,18
9626,2504576,9626,0,0,9625,19
9727,2504112,9727,0,0,9726,19
9827,2504020,9827,0,0,9826,2
9928,2504272,9929,0,0,9927,20
10028,2504456,10029,0,0,10028,16
10128,2504456,10129,0,0,10128,16
10229,2503568,10229,0,0,10228,13
10330,2503580,10331,0,0,10329,4
10431,2503892,10431,0,0,10430,19
10533,2504908,10533,0,0,10531,18
10631,2504908,10632,0,0,10631,20
10732,2504020,10733,0,0,10731,7
10833,2504000,10833,0,0,10832,0
10934,2505056,10934,0,0,10933,15
11033,2505056,11033,0,0,11032,16
11133,2504272,11134,0,0,11133,10
11236,2504120,11236,0,0,11234,10
11335,2505372,11336,0,0,11334,19
11435,2505372,11436,0,0,11435,17
11536,2504588,11536,0,0,11535,14
11638,2504880,11638,0,0,11637,11
11737,2502408,11738,0,0,11737,17
11838,2502216,11838,0,0,11837,17
11938,2498336,11938,0,0,11937,16
12040,2498336,12041,0,0,12039,0
12140,2498900,12140,0,0,12139,14
12240,2499568,12241,0,0,12240,16
12340,2499568,12340,0,0,12339,17
12441,2499092,12442,0,0,12440,13
12541,2500648,12541,0,0,12540,25
12641,2501868,12642,0,0,12641,27
12742,2502384,12742,0,0,12741,25
12843,2503896,12843,0,0,12842,17
12943,2504408,12943,0,0,12942,17
13043,2499976,13043,0,0,13042,19
13145,2502816,13145,0,0,13144,27
13245,2503784,13245,0,0,13243,19
13345,2504032,13346,0,0,13344,26
13444,2503672,13444,0,0,13443,20
13545,2504612,13546,0,0,13545,21
13647,2506412,13648,0,0,13646,17
13746,2506036,13746,0,0,13745,0
13846,2505468,13847,0,0,13846,25
13947,2506464,13947,0,0,13946,34
14047,2508980,14048,0,0,14047,34
14147,2509636,14148,0,0,14147,34
14248,2509428,14248,0,0,14247,42
14349,2509760,14349,0,0,14348,8
14448,2510580,14449,0,0,14448,14
14549,2510432,14549,0,0,14548,18
14649,2509988,14650,0,0,14649,18
