STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",1671614,0,2,2,True
"TfprPrefetchingStrategy",793646,0,1,1,True
"TfprPrefetchingStrategy",984375,0,1,1,True
"TfprPrefetchingStrategy",833,0,0,0,True
"TfprPrefetchingStrategy",921094,0,1,1,True
"TfprPrefetchingStrategy",2500,0,0,0,True
"TfprPrefetchingStrategy",1245521,0,2,2,True
"TfprPrefetchingStrategy",1055260,0,1,1,True
"TfprPrefetchingStrategy",1466094,0,1,1,True
"TfprPrefetchingStrategy",2083,0,0,0,True
"TfprPrefetchingStrategy",9516666,0,1,2,True
"TfprPrefetchingStrategy",792188,0,1,1,True
"TfprPrefetchingStrategy",859947,0,1,1,True
"TfprPrefetchingStrategy",1094,0,0,0,True
"TfprPrefetchingStrategy",914687,0,1,1,True
"TfprPrefetchingStrategy",2187,0,0,0,True
"TfprPrefetchingStrategy",4226406,0,2,2,True
"TfprPrefetchingStrategy",1115261,0,1,1,True
"TfprPrefetchingStrategy",708907,0,1,1,True
"TfprPrefetchingStrategy",1823,0,0,0,True
