datetime,cpu,mem
Mon Aug  3 18:35:33 GMT 2020,7.6,14472
Mon Aug  3 18:35:33 GMT 2020,7.6,76266
Mon Aug  3 18:35:34 GMT 2020,7.6,76144
Mon Aug  3 18:35:34 GMT 2020,7.6,93353
Mon Aug  3 18:35:34 GMT 2020,7.6,137376
Mon Aug  3 18:35:35 GMT 2020,7.6,197210
Mon Aug  3 18:35:35 GMT 2020,7.6,215027
Mon Aug  3 18:35:36 GMT 2020,7.6,209872
Mon Aug  3 18:35:36 GMT 2020,7.6,191607
Mon Aug  3 18:35:37 GMT 2020,24,217974
Mon Aug  3 18:35:37 GMT 2020,24,227496
Mon Aug  3 18:35:37 GMT 2020,24,227639
Mon Aug  3 18:35:38 GMT 2020,24,227691
Mon Aug  3 18:35:38 GMT 2020,24,227698
Mon Aug  3 18:35:39 GMT 2020,24,227711
Mon Aug  3 18:35:39 GMT 2020,24,227709
Mon Aug  3 18:35:40 GMT 2020,24,228477
Mon Aug  3 18:35:40 GMT 2020,24,220909
Mon Aug  3 18:35:41 GMT 2020,24,244934
Mon Aug  3 18:35:41 GMT 2020,0,240763
Mon Aug  3 18:35:42 GMT 2020,0,240779
Mon Aug  3 18:35:43 GMT 2020,0,240771
Mon Aug  3 18:35:43 GMT 2020,0,240777
Mon Aug  3 18:35:44 GMT 2020,0,240777
Mon Aug  3 18:35:45 GMT 2020,0,240759
Mon Aug  3 18:35:45 GMT 2020,0,233194
Mon Aug  3 18:35:46 GMT 2020,0,247826
Mon Aug  3 18:35:46 GMT 2020,0,242786
Mon Aug  3 18:35:47 GMT 2020,-21.3,244034
Mon Aug  3 18:35:47 GMT 2020,-21.3,244034
Mon Aug  3 18:35:48 GMT 2020,-21.3,244040
Mon Aug  3 18:35:49 GMT 2020,-21.3,244040
Mon Aug  3 18:35:49 GMT 2020,-21.3,244033
Mon Aug  3 18:35:50 GMT 2020,-21.3,210183
Mon Aug  3 18:35:50 GMT 2020,-21.3,226708
Mon Aug  3 18:35:51 GMT 2020,-21.3,226713
Mon Aug  3 18:35:51 GMT 2020,29,243526
Mon Aug  3 18:35:52 GMT 2020,29,241928
Mon Aug  3 18:35:52 GMT 2020,29,253711
Mon Aug  3 18:35:53 GMT 2020,29,250411
Mon Aug  3 18:35:54 GMT 2020,29,250408
Mon Aug  3 18:35:54 GMT 2020,29,229703
Mon Aug  3 18:35:55 GMT 2020,29,229297
Mon Aug  3 18:35:56 GMT 2020,29,229294
Mon Aug  3 18:35:56 GMT 2020,0,246188
Mon Aug  3 18:35:57 GMT 2020,0,229757
Mon Aug  3 18:35:58 GMT 2020,0,229769
Mon Aug  3 18:35:58 GMT 2020,0,229761
Mon Aug  3 18:35:59 GMT 2020,0,229716
Mon Aug  3 18:36:00 GMT 2020,0,229057
Mon Aug  3 18:36:00 GMT 2020,0,228949
Mon Aug  3 18:36:01 GMT 2020,0,228914
Mon Aug  3 18:36:01 GMT 2020,31,231810
Mon Aug  3 18:36:02 GMT 2020,31,229806
Mon Aug  3 18:36:03 GMT 2020,31,229824
Mon Aug  3 18:36:03 GMT 2020,31,247288
Mon Aug  3 18:36:04 GMT 2020,31,247288
Mon Aug  3 18:36:05 GMT 2020,31,247292
Mon Aug  3 18:36:05 GMT 2020,31,247289
Mon Aug  3 18:36:06 GMT 2020,31,229727
Mon Aug  3 18:36:07 GMT 2020,30,229376
Mon Aug  3 18:36:07 GMT 2020,30,229141
Mon Aug  3 18:36:08 GMT 2020,30,262363
Mon Aug  3 18:36:08 GMT 2020,30,229312
Mon Aug  3 18:36:09 GMT 2020,30,229306
Mon Aug  3 18:36:10 GMT 2020,30,246099
Mon Aug  3 18:36:10 GMT 2020,30,247182
Mon Aug  3 18:36:11 GMT 2020,30,247210
Mon Aug  3 18:36:12 GMT 2020,30,247210
Mon Aug  3 18:36:12 GMT 2020,30,247102
Mon Aug  3 18:36:13 GMT 2020,30,247118
Mon Aug  3 18:36:14 GMT 2020,30,247094
Mon Aug  3 18:36:14 GMT 2020,30,247091
Mon Aug  3 18:36:15 GMT 2020,30,231007
Mon Aug  3 18:36:16 GMT 2020,30,231202
Mon Aug  3 18:36:16 GMT 2020,30,231202
Mon Aug  3 18:36:17 GMT 2020,28,248942
Mon Aug  3 18:36:18 GMT 2020,28,247590
Mon Aug  3 18:36:18 GMT 2020,28,247594
Mon Aug  3 18:36:19 GMT 2020,28,247595
Mon Aug  3 18:36:20 GMT 2020,28,230192
Mon Aug  3 18:36:20 GMT 2020,28,229805
Mon Aug  3 18:36:21 GMT 2020,28,229662
Mon Aug  3 18:36:22 GMT 2020,31,229816
Mon Aug  3 18:36:22 GMT 2020,31,229661
Mon Aug  3 18:36:23 GMT 2020,31,229678
Mon Aug  3 18:36:24 GMT 2020,31,249654
Mon Aug  3 18:36:24 GMT 2020,31,249930
Mon Aug  3 18:36:25 GMT 2020,31,299251
Mon Aug  3 18:36:25 GMT 2020,31,386696
Mon Aug  3 18:36:26 GMT 2020,31,386404
Mon Aug  3 18:36:27 GMT 2020,34,386441
Mon Aug  3 18:36:28 GMT 2020,34,371409
Mon Aug  3 18:36:28 GMT 2020,34,387678
Mon Aug  3 18:36:29 GMT 2020,34,387697
Mon Aug  3 18:36:30 GMT 2020,34,387685
Mon Aug  3 18:36:30 GMT 2020,34,387685
Mon Aug  3 18:36:31 GMT 2020,34,387685
Mon Aug  3 18:36:32 GMT 2020,26,387677
Mon Aug  3 18:36:33 GMT 2020,26,371033
Mon Aug  3 18:36:33 GMT 2020,26,370957
Mon Aug  3 18:36:34 GMT 2020,26,387576
Mon Aug  3 18:36:35 GMT 2020,26,437868
Mon Aug  3 18:36:35 GMT 2020,26,426823
Mon Aug  3 18:36:36 GMT 2020,26,434828
Mon Aug  3 18:36:37 GMT 2020,35,434888
Mon Aug  3 18:36:37 GMT 2020,35,443771
Mon Aug  3 18:36:38 GMT 2020,35,378935
Mon Aug  3 18:36:39 GMT 2020,35,371901
Mon Aug  3 18:36:40 GMT 2020,35,397654
Mon Aug  3 18:36:41 GMT 2020,35,397952
Mon Aug  3 18:36:41 GMT 2020,0.1,381786
Mon Aug  3 18:36:42 GMT 2020,0.1,411297
Mon Aug  3 18:36:43 GMT 2020,0.1,398520
Mon Aug  3 18:36:44 GMT 2020,0.1,408118
Mon Aug  3 18:36:45 GMT 2020,0.1,402453
Mon Aug  3 18:36:45 GMT 2020,0.1,402373
Mon Aug  3 18:36:46 GMT 2020,0.1,402373
Mon Aug  3 18:36:47 GMT 2020,50,402373
Mon Aug  3 18:36:48 GMT 2020,50,402370
Mon Aug  3 18:36:48 GMT 2020,50,385504
Mon Aug  3 18:36:49 GMT 2020,50,385321
Mon Aug  3 18:36:50 GMT 2020,50,385062
Mon Aug  3 18:36:51 GMT 2020,50,402438
Mon Aug  3 18:36:51 GMT 2020,50,387170
Mon Aug  3 18:36:52 GMT 2020,0.1,387070
Mon Aug  3 18:36:53 GMT 2020,0.1,386962
Mon Aug  3 18:36:53 GMT 2020,0.1,386966
Mon Aug  3 18:36:54 GMT 2020,0.1,386722
Mon Aug  3 18:36:55 GMT 2020,0.1,386735
Mon Aug  3 18:36:56 GMT 2020,0.1,385687
