STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2464010,0,0,5,True
"TfprPrefetchingStrategy",1815990,0,0,5,True
"TfprPrefetchingStrategy",1080313,0,1,2,True
"TfprPrefetchingStrategy",885,0,0,0,True
"TfprPrefetchingStrategy",1271719,0,1,2,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",2803438,0,1,2,True
"TfprPrefetchingStrategy",1406,0,0,0,True
"TfprPrefetchingStrategy",1562,0,0,0,True
"TfprPrefetchingStrategy",1805417,0,0,5,True
"TfprPrefetchingStrategy",1083541,0,1,2,True
"TfprPrefetchingStrategy",1354,0,0,0,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1718,0,0,0,True
"TfprPrefetchingStrategy",4062,0,0,0,True
"TfprPrefetchingStrategy",1458,0,0,0,True
"TfprPrefetchingStrategy",1719,0,0,0,True
