Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
58,2308436,59,0,0,31,5
130,2309624,130,0,0,129,30
230,2310372,231,0,0,229,19
335,2310084,336,0,0,333,10
433,2310192,434,0,0,431,10
531,2311804,532,0,0,531,23
631,2315976,632,0,0,631,32
738,2324280,739,0,0,737,30
834,2336792,835,0,0,833,34
933,2354956,934,0,0,932,35
1034,2374980,1035,0,0,1033,33
1134,2399048,1135,0,0,1133,37
1238,2425080,1239,0,0,1237,32
1336,2426256,1337,0,0,1335,33
1435,2428496,1436,0,0,1434,35
1536,2435212,1537,0,0,1535,45
1636,2437928,1636,0,0,1635,33
1737,2441828,1737,0,0,1736,15
1837,2450180,1838,0,0,1836,19
1937,2453116,1938,0,0,1936,28
2045,2453736,2046,0,0,2042,18
2145,2454008,2146,0,0,2143,26
2242,2414612,2243,0,0,2241,14
2342,2423412,2343,0,0,2341,38
2443,2430304,2443,0,0,2442,40
2543,2426488,2544,0,0,2542,36
2644,2429752,2644,0,0,2642,20
2744,2437352,2744,0,0,2743,38
2794,2442476,2795,0,0,2793,51
2894,2446568,2895,0,0,2893,35
2995,2447820,2995,0,0,2994,32
3096,2448372,3096,0,0,3094,12
3197,2451004,3197,0,0,3195,31
3297,2452224,3297,0,0,3296,25
3397,2453516,3397,0,0,3395,16
3499,2458036,3500,0,0,3497,20
3598,2459204,3599,0,0,3597,22
3698,2459672,3699,0,0,3697,31
3798,2459092,3799,0,0,3797,28
3899,2458496,3899,0,0,3898,0
4000,2459552,4001,0,0,3999,27
4103,2459552,4104,0,0,4101,22
4203,2459800,4205,0,0,4202,25
4304,2459052,4305,0,0,4301,15
4401,2459516,4403,0,0,4400,16
4502,2459984,4502,0,0,4501,28
4605,2459840,4606,0,0,4603,23
4703,2468300,4703,0,0,4702,35
4802,2472564,4803,0,0,4802,28
4905,2480372,4906,0,0,4904,26
5004,2459724,5005,0,0,5003,26
5107,2459576,5108,0,0,5105,24
5207,2459576,5209,0,0,5205,21
5308,2458984,5309,0,0,5306,9
5407,2459676,5407,0,0,5405,13
5506,2459836,5507,0,0,5505,22
5607,2460104,5608,0,0,5606,17
5709,2460180,5710,0,0,5707,22
5812,2459284,5814,0,0,5810,16
5908,2457656,5909,0,0,5908,21
6008,2458940,6009,0,0,6008,35
6112,2459192,6113,526607,526607,6110,30
6212,2460184,6213,526607,526607,6210,37
6314,2459248,6317,526607,526607,6311,30
6411,2460812,6412,526607,526607,6410,23
6511,2463036,6511,526607,526607,6510,39
6611,2463440,6611,526607,526607,6610,19
6711,2458492,6711,526607,526607,6710,16
6812,2467996,6812,526607,526607,6811,30
6912,2471360,6912,526607,526607,6911,25
7012,2468336,7013,526607,526607,7011,39
7115,2468188,7115,526607,526607,7112,28
7213,2473756,7213,526607,526607,7212,41
7313,2469544,7314,526607,526607,7312,42
7419,2472020,7419,526607,526607,7415,12
7514,2475220,7514,526607,526607,7513,34
7615,2471844,7615,526607,526607,7614,23
7715,2471500,7715,526607,526607,7714,21
