TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,0.0,0.0,0,0,3
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,6,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,7,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,8,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,9,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,10,0.5,0.5,3,0,6
nappagreedy,Materialistic,io.github.hidroh.materialistic,1,0.011267605633802816,0.011267605633802818,2,0,351
nappagreedy,Materialistic,io.github.hidroh.materialistic,2,0.011396011396011397,0.011396011396011397,2,0,347
nappagreedy,Materialistic,io.github.hidroh.materialistic,3,0.012422360248447204,0.012422360248447204,2,0,318
nappagreedy,Materialistic,io.github.hidroh.materialistic,4,0.012307692307692308,0.012307692307692308,2,0,321
nappagreedy,Materialistic,io.github.hidroh.materialistic,5,0.012012012012012012,0.012012012012012012,2,0,329
nappagreedy,Materialistic,io.github.hidroh.materialistic,6,0.012903225806451613,0.012903225806451613,2,0,306
nappagreedy,Materialistic,io.github.hidroh.materialistic,7,0.013071895424836602,0.013071895424836602,2,0,302
nappagreedy,Materialistic,io.github.hidroh.materialistic,8,0.012987012987012988,0.012987012987012988,2,0,304
nappagreedy,Materialistic,io.github.hidroh.materialistic,9,0.012121212121212121,0.012121212121212121,2,0,326
nappagreedy,Materialistic,io.github.hidroh.materialistic,10,0.012383900928792569,0.01238390092879257,2,0,319
nappagreedy,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,99
nappagreedy,RedReader,org.quantumbadger.redreader,4,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,5,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,6,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,7,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,8,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,9,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,10,0.0,0.0,0,0,100
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,0.0,0.0,0,0,3
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,2,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,4,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,5,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,6,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,7,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,8,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,9,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,10,0.5,0.5,3,0,6
nappatfpr,Materialistic,io.github.hidroh.materialistic,1,0.012269938650306747,0.012269938650306749,2,0,322
nappatfpr,Materialistic,io.github.hidroh.materialistic,2,0.011560693641618497,0.011560693641618497,2,0,342
nappatfpr,Materialistic,io.github.hidroh.materialistic,3,0.011904761904761906,0.011904761904761904,2,0,332
nappatfpr,Materialistic,io.github.hidroh.materialistic,4,0.011869436201780414,0.011869436201780416,2,0,333
nappatfpr,Materialistic,io.github.hidroh.materialistic,5,0.012048192771084336,0.012048192771084338,2,0,328
nappatfpr,Materialistic,io.github.hidroh.materialistic,6,0.01146131805157593,0.011461318051575931,2,0,345
nappatfpr,Materialistic,io.github.hidroh.materialistic,7,0.012084592145015106,0.012084592145015106,2,0,327
nappatfpr,Materialistic,io.github.hidroh.materialistic,8,0.011331444759206801,0.0113314447592068,2,0,349
nappatfpr,Materialistic,io.github.hidroh.materialistic,9,0.012048192771084336,0.012048192771084338,2,0,328
nappatfpr,Materialistic,io.github.hidroh.materialistic,10,0.012048192771084338,0.012048192771084338,2,1,327
nappatfpr,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,4,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,5,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,6,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,7,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,8,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,9,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,10,0.0,0.0,0,0,100
nappagreedy,Hillffair,appteam.nith.hillffair,1,0.19999999999999998,0.2,1,0,8
nappagreedy,Hillffair,appteam.nith.hillffair,2,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,3,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,4,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,5,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,6,0.36363636363636365,0.36363636363636365,2,1,6
