datetime,cpu,mem
Tue Aug  4 11:38:37 GMT 2020,1,98432
Tue Aug  4 11:38:37 GMT 2020,1,98748
Tue Aug  4 11:38:38 GMT 2020,1,98792
Tue Aug  4 11:38:38 GMT 2020,1,98812
Tue Aug  4 11:38:38 GMT 2020,1,98812
Tue Aug  4 11:38:39 GMT 2020,1,98808
Tue Aug  4 11:38:39 GMT 2020,1,98812
Tue Aug  4 11:38:40 GMT 2020,1,98812
Tue Aug  4 11:38:40 GMT 2020,16,98399
Tue Aug  4 11:38:40 GMT 2020,16,98432
Tue Aug  4 11:38:41 GMT 2020,16,98432
Tue Aug  4 11:38:41 GMT 2020,16,98432
Tue Aug  4 11:38:41 GMT 2020,16,98431
Tue Aug  4 11:38:42 GMT 2020,16,98530
Tue Aug  4 11:38:42 GMT 2020,16,87412
Tue Aug  4 11:38:42 GMT 2020,16,104412
Tue Aug  4 11:38:43 GMT 2020,16,109578
Tue Aug  4 11:38:43 GMT 2020,16,113472
Tue Aug  4 11:38:44 GMT 2020,16,121058
Tue Aug  4 11:38:44 GMT 2020,16,121080
Tue Aug  4 11:38:44 GMT 2020,16,121098
Tue Aug  4 11:38:45 GMT 2020,16,120683
Tue Aug  4 11:38:45 GMT 2020,16,120700
Tue Aug  4 11:38:46 GMT 2020,16,120708
Tue Aug  4 11:38:46 GMT 2020,16,120712
Tue Aug  4 11:38:46 GMT 2020,16,120716
Tue Aug  4 11:38:47 GMT 2020,16,120716
Tue Aug  4 11:38:47 GMT 2020,16,120716
Tue Aug  4 11:38:48 GMT 2020,16,120720
Tue Aug  4 11:38:48 GMT 2020,16,120720
Tue Aug  4 11:38:48 GMT 2020,16,120722
Tue Aug  4 11:38:49 GMT 2020,16,120722
Tue Aug  4 11:38:49 GMT 2020,16,120722
Tue Aug  4 11:38:50 GMT 2020,16,120722
Tue Aug  4 11:38:50 GMT 2020,16,120694
Tue Aug  4 11:38:51 GMT 2020,16,120710
Tue Aug  4 11:38:51 GMT 2020,16,120714
Tue Aug  4 11:38:51 GMT 2020,16,120718
Tue Aug  4 11:38:52 GMT 2020,16,120722
Tue Aug  4 11:38:52 GMT 2020,16,120722
Tue Aug  4 11:38:53 GMT 2020,16,120940
Tue Aug  4 11:38:53 GMT 2020,17,167402
Tue Aug  4 11:38:53 GMT 2020,17,184409
Tue Aug  4 11:38:54 GMT 2020,17,194709
Tue Aug  4 11:38:54 GMT 2020,17,197188
Tue Aug  4 11:38:55 GMT 2020,17,196722
Tue Aug  4 11:38:55 GMT 2020,17,196718
Tue Aug  4 11:38:56 GMT 2020,17,193978
Tue Aug  4 11:38:56 GMT 2020,17,193994
Tue Aug  4 11:38:57 GMT 2020,17,193998
Tue Aug  4 11:38:57 GMT 2020,17,194015
Tue Aug  4 11:38:58 GMT 2020,17,194015
Tue Aug  4 11:38:58 GMT 2020,17,194015
Tue Aug  4 11:38:59 GMT 2020,17,194015
Tue Aug  4 11:38:59 GMT 2020,17,194015
Tue Aug  4 11:38:59 GMT 2020,-37.9,194015
Tue Aug  4 11:39:00 GMT 2020,-37.9,194015
Tue Aug  4 11:39:00 GMT 2020,-37.9,193987
Tue Aug  4 11:39:01 GMT 2020,-37.9,194003
Tue Aug  4 11:39:01 GMT 2020,-37.9,194007
Tue Aug  4 11:39:02 GMT 2020,-37.9,194011
Tue Aug  4 11:39:02 GMT 2020,-37.9,194015
Tue Aug  4 11:39:03 GMT 2020,-37.9,194022
Tue Aug  4 11:39:03 GMT 2020,-37.9,194030
Tue Aug  4 11:39:04 GMT 2020,-37.9,194006
Tue Aug  4 11:39:04 GMT 2020,-37.9,194006
Tue Aug  4 11:39:05 GMT 2020,-37.9,194006
Tue Aug  4 11:39:05 GMT 2020,-37.9,192851
Tue Aug  4 11:39:05 GMT 2020,16,193449
Tue Aug  4 11:39:06 GMT 2020,16,188722
Tue Aug  4 11:39:06 GMT 2020,16,188171
Tue Aug  4 11:39:07 GMT 2020,16,187863
Tue Aug  4 11:39:07 GMT 2020,16,179093
Tue Aug  4 11:39:08 GMT 2020,16,202968
Tue Aug  4 11:39:08 GMT 2020,16,203600
Tue Aug  4 11:39:09 GMT 2020,16,203692
Tue Aug  4 11:39:09 GMT 2020,16,203688
Tue Aug  4 11:39:10 GMT 2020,16,203464
Tue Aug  4 11:39:10 GMT 2020,16,203240
Tue Aug  4 11:39:11 GMT 2020,16,201886
Tue Aug  4 11:39:11 GMT 2020,16,201625
Tue Aug  4 11:39:12 GMT 2020,0,201173
Tue Aug  4 11:39:12 GMT 2020,0,191664
Tue Aug  4 11:39:13 GMT 2020,0,191651
Tue Aug  4 11:39:13 GMT 2020,0,222719
Tue Aug  4 11:39:14 GMT 2020,0,190459
Tue Aug  4 11:39:14 GMT 2020,0,189795
Tue Aug  4 11:39:15 GMT 2020,0,190178
Tue Aug  4 11:39:15 GMT 2020,0,191282
Tue Aug  4 11:39:16 GMT 2020,0,190681
Tue Aug  4 11:39:16 GMT 2020,0,190213
Tue Aug  4 11:39:17 GMT 2020,0,190285
Tue Aug  4 11:39:17 GMT 2020,0,190289
Tue Aug  4 11:39:18 GMT 2020,0,190289
Tue Aug  4 11:39:18 GMT 2020,0,190289
Tue Aug  4 11:39:19 GMT 2020,0,190293
Tue Aug  4 11:39:19 GMT 2020,0,190293
Tue Aug  4 11:39:20 GMT 2020,0,190293
Tue Aug  4 11:39:20 GMT 2020,0,190293
Tue Aug  4 11:39:21 GMT 2020,0,190245
Tue Aug  4 11:39:22 GMT 2020,0,190261
Tue Aug  4 11:39:22 GMT 2020,0,190265
Tue Aug  4 11:39:23 GMT 2020,0,190269
Tue Aug  4 11:39:23 GMT 2020,0,190234
Tue Aug  4 11:39:24 GMT 2020,0,190234
Tue Aug  4 11:39:24 GMT 2020,0,190234
Tue Aug  4 11:39:25 GMT 2020,0,190234
Tue Aug  4 11:39:25 GMT 2020,0,190234
Tue Aug  4 11:39:26 GMT 2020,0,190090
Tue Aug  4 11:39:26 GMT 2020,23,212124
Tue Aug  4 11:39:26 GMT 2020,23,199836
Tue Aug  4 11:39:27 GMT 2020,23,201660
Tue Aug  4 11:39:27 GMT 2020,23,202104
Tue Aug  4 11:39:28 GMT 2020,23,202804
Tue Aug  4 11:39:28 GMT 2020,23,202312
Tue Aug  4 11:39:29 GMT 2020,23,202268
Tue Aug  4 11:39:29 GMT 2020,23,201520
Tue Aug  4 11:39:30 GMT 2020,23,201478
Tue Aug  4 11:39:30 GMT 2020,23,201248
Tue Aug  4 11:39:31 GMT 2020,23,201016
Tue Aug  4 11:39:31 GMT 2020,23,192847
Tue Aug  4 11:39:32 GMT 2020,23,192866
Tue Aug  4 11:39:32 GMT 2020,24,224054
Tue Aug  4 11:39:33 GMT 2020,24,191813
Tue Aug  4 11:39:33 GMT 2020,24,191289
Tue Aug  4 11:39:34 GMT 2020,24,191696
Tue Aug  4 11:39:34 GMT 2020,24,192807
Tue Aug  4 11:39:35 GMT 2020,24,192713
Tue Aug  4 11:39:35 GMT 2020,24,195457
Tue Aug  4 11:39:36 GMT 2020,24,195593
Tue Aug  4 11:39:36 GMT 2020,24,195605
Tue Aug  4 11:39:37 GMT 2020,24,195125
Tue Aug  4 11:39:37 GMT 2020,24,195141
Tue Aug  4 11:39:38 GMT 2020,24,195149
Tue Aug  4 11:39:39 GMT 2020,24,195149
Tue Aug  4 11:39:39 GMT 2020,24,195149
Tue Aug  4 11:39:40 GMT 2020,24,195149
Tue Aug  4 11:39:40 GMT 2020,24,195149
Tue Aug  4 11:39:41 GMT 2020,24,195145
Tue Aug  4 11:39:41 GMT 2020,24,195145
Tue Aug  4 11:39:42 GMT 2020,24,195145
Tue Aug  4 11:39:42 GMT 2020,24,195121
Tue Aug  4 11:39:43 GMT 2020,24,195137
Tue Aug  4 11:39:43 GMT 2020,24,195141
Tue Aug  4 11:39:44 GMT 2020,24,195333
Tue Aug  4 11:39:44 GMT 2020,24,195283
Tue Aug  4 11:39:45 GMT 2020,24,195681
Tue Aug  4 11:39:45 GMT 2020,25,170780
Tue Aug  4 11:39:46 GMT 2020,25,204172
Tue Aug  4 11:39:46 GMT 2020,25,204172
Tue Aug  4 11:39:47 GMT 2020,25,205588
Tue Aug  4 11:39:47 GMT 2020,25,205400
Tue Aug  4 11:39:48 GMT 2020,25,205232
Tue Aug  4 11:39:48 GMT 2020,25,205040
Tue Aug  4 11:39:49 GMT 2020,25,204852
Tue Aug  4 11:39:50 GMT 2020,25,204852
Tue Aug  4 11:39:50 GMT 2020,25,204852
Tue Aug  4 11:39:51 GMT 2020,25,204812
Tue Aug  4 11:39:51 GMT 2020,25,204812
Tue Aug  4 11:39:52 GMT 2020,25,204812
Tue Aug  4 11:39:52 GMT 2020,25,204812
Tue Aug  4 11:39:53 GMT 2020,25,204788
Tue Aug  4 11:39:53 GMT 2020,25,204748
Tue Aug  4 11:39:54 GMT 2020,25,204752
Tue Aug  4 11:39:55 GMT 2020,25,204756
Tue Aug  4 11:39:55 GMT 2020,25,204756
Tue Aug  4 11:39:56 GMT 2020,25,204756
Tue Aug  4 11:39:56 GMT 2020,25,204756
Tue Aug  4 11:39:57 GMT 2020,25,204756
Tue Aug  4 11:39:57 GMT 2020,25,204720
Tue Aug  4 11:39:58 GMT 2020,25,204341
Tue Aug  4 11:39:58 GMT 2020,0,205128
Tue Aug  4 11:39:58 GMT 2020,0,196706
Tue Aug  4 11:39:59 GMT 2020,0,196752
Tue Aug  4 11:39:59 GMT 2020,0,196886
Tue Aug  4 11:40:00 GMT 2020,0,173463
Tue Aug  4 11:40:00 GMT 2020,0,217991
Tue Aug  4 11:40:01 GMT 2020,0,217791
Tue Aug  4 11:40:01 GMT 2020,0,218991
Tue Aug  4 11:40:02 GMT 2020,0,218983
Tue Aug  4 11:40:03 GMT 2020,0,215111
Tue Aug  4 11:40:03 GMT 2020,0,214107
Tue Aug  4 11:40:04 GMT 2020,0,214056
Tue Aug  4 11:40:04 GMT 2020,0,228516
Tue Aug  4 11:40:05 GMT 2020,0,213635
Tue Aug  4 11:40:05 GMT 2020,0,198775
Tue Aug  4 11:40:06 GMT 2020,0,198678
Tue Aug  4 11:40:06 GMT 2020,0,181873
Tue Aug  4 11:40:07 GMT 2020,0,198097
Tue Aug  4 11:40:07 GMT 2020,0,197495
Tue Aug  4 11:40:08 GMT 2020,0,197422
Tue Aug  4 11:40:08 GMT 2020,0,198561
Tue Aug  4 11:40:09 GMT 2020,0,198645
Tue Aug  4 11:40:09 GMT 2020,0,198685
Tue Aug  4 11:40:10 GMT 2020,0,198733
Tue Aug  4 11:40:10 GMT 2020,0,198733
Tue Aug  4 11:40:11 GMT 2020,0,198733
Tue Aug  4 11:40:12 GMT 2020,0,198733
Tue Aug  4 11:40:12 GMT 2020,0,198733
Tue Aug  4 11:40:13 GMT 2020,0,198717
Tue Aug  4 11:40:13 GMT 2020,0,198593
Tue Aug  4 11:40:14 GMT 2020,0,198597
Tue Aug  4 11:40:14 GMT 2020,0,198601
Tue Aug  4 11:40:15 GMT 2020,0,198605
Tue Aug  4 11:40:15 GMT 2020,0,198605
Tue Aug  4 11:40:16 GMT 2020,0,198605
Tue Aug  4 11:40:16 GMT 2020,0,198605
Tue Aug  4 11:40:17 GMT 2020,0,198605
Tue Aug  4 11:40:18 GMT 2020,0,198605
Tue Aug  4 11:40:18 GMT 2020,0,198527
Tue Aug  4 11:40:19 GMT 2020,0,198633
Tue Aug  4 11:40:19 GMT 2020,24,174343
Tue Aug  4 11:40:19 GMT 2020,24,208123
Tue Aug  4 11:40:20 GMT 2020,24,208083
Tue Aug  4 11:40:20 GMT 2020,24,209423
Tue Aug  4 11:40:21 GMT 2020,24,209423
Tue Aug  4 11:40:22 GMT 2020,24,209159
Tue Aug  4 11:40:22 GMT 2020,24,208963
Tue Aug  4 11:40:23 GMT 2020,24,208729
Tue Aug  4 11:40:23 GMT 2020,24,208267
Tue Aug  4 11:40:24 GMT 2020,24,208915
Tue Aug  4 11:40:24 GMT 2020,24,200321
Tue Aug  4 11:40:25 GMT 2020,24,200390
Tue Aug  4 11:40:25 GMT 2020,24,200290
Tue Aug  4 11:40:26 GMT 2020,24,198894
Tue Aug  4 11:40:26 GMT 2020,24,197270
Tue Aug  4 11:40:27 GMT 2020,24,197815
Tue Aug  4 11:40:27 GMT 2020,24,197677
Tue Aug  4 11:40:28 GMT 2020,24,197876
