Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,109888,2607459.47080292,1234706.621350365,1234706.621350365,23.197992700729927,1490350.7235682819,1490350.7235682819
2,109086,2576991.4306703396,10447.497704315887,10447.497704315887,19.834710743801654,455093.0,455093.0
3,110183,2530217.5127272727,739450.8390909091,739450.8390909091,23.71181818181818,873679.8313641245,873679.8313641245
4,109781,2558795.686131387,400566.87591240875,400566.87591240875,22.472627737226276,440784.4337349398,440784.4337349398
5,109596,2443038.614259598,1031617.4552102376,556376.9926873858,22.1582614493548,1031617.4552102376,556376.9926873858
6,110291,2355747.302452316,1068815.327883742,1068815.327883742,23.295435327969535,1850260.496855346,1850260.496855346
7,109983,2586871.4353369763,775351.4981785064,775351.4981785064,22.91985428051002,914431.7346938775,914431.7346938775
8,110051,2439088.9581056465,895541.9535519126,895541.9535519126,23.28870673952641,1425079.8043478262,1425079.8043478262
9,109569,2489055.835466179,660400.521403935,660400.521403935,20.13081575086311,1384057.7977316186,1384057.7977316186
10,110892,2382683.86630533,942708.7841011743,805534.0614272809,24.26287262872629,942708.7841011743,805534.0614272809
