Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
42,2470932,43,0,0,92,53
93,2444000,94,0,0,192,43
192,2453396,193,0,0,292,27
292,2451768,293,0,0,392,33
393,2454828,393,0,0,493,36
494,2459020,494,0,0,594,37
594,2464060,594,0,0,695,43
696,2472956,696,0,0,795,42
796,2477688,796,0,0,896,28
896,2475372,896,0,0,997,16
998,2477184,999,0,0,1097,27
1098,2479448,1099,0,0,1197,27
1197,2483792,1197,0,0,1297,25
1298,2484296,1298,0,0,1398,15
1398,2484708,1398,0,0,1499,21
1500,2486028,1501,0,0,1599,26
1599,2486516,1600,0,0,1699,21
1700,2485600,1700,0,0,1800,21
1800,2485600,1800,0,0,1901,8
1902,2485208,1903,0,0,2001,19
2002,2485752,2002,0,0,2101,12
2102,2486208,2102,0,0,2202,17
2202,2486456,2202,0,0,2302,20
2303,2486472,2303,0,0,2403,3
2404,2485888,2405,0,0,2504,22
2505,2486208,2505,0,0,2604,17
2604,2486120,2605,0,0,2704,20
2704,2485924,2705,0,0,2804,19
2805,2485532,2805,0,0,2905,5
2906,2485332,2907,0,0,3006,23
3006,2490896,3007,0,0,3105,29
3106,2507020,3106,0,0,3206,26
3206,2506084,3206,0,0,3306,8
3307,2484704,3308,0,0,3407,15
3408,2484940,3408,0,0,3507,18
3508,2484972,3508,0,0,3608,17
3609,2484972,3609,0,0,3708,20
3709,2485036,3709,0,0,3811,7
3812,2484632,3813,0,0,3911,17
3912,2485188,3912,0,0,4011,17
4012,2485396,4012,0,0,4111,19
4112,2485396,4112,0,0,4212,21
4213,2485232,4213,0,0,4313,21
4314,2485124,4314,0,0,4414,29
4415,2486008,4416,0,0,4513,26
4514,2486320,4515,0,0,4614,19
4615,2486320,4615,0,0,4715,7
4716,2483968,4717,0,0,4816,13
4817,2484588,4817,0,0,4916,12
4917,2485100,4917,0,0,5016,16
5017,2485100,5017,0,0,5117,13
5118,2484708,5118,0,0,5218,7
5219,2484908,5220,0,0,5319,17
5319,2485568,5320,0,0,5419,20
5420,2485772,5420,0,0,5519,18
5520,2485576,5520,0,0,5620,15
5621,2484468,5622,0,0,5721,12
5722,2484716,5723,0,0,5821,20
5822,2485808,5823,0,0,5922,17
5922,2485808,5923,0,0,6022,16
6023,2485808,6023,0,0,6123,14
6124,2485024,6124,0,0,6224,19
6224,2485960,6225,0,0,6323,18
