datetime,cpu,mem
Tue Aug  4 11:17:47 GMT 2020,0,76841
Tue Aug  4 11:17:48 GMT 2020,0,76324
Tue Aug  4 11:17:48 GMT 2020,0,76344
Tue Aug  4 11:17:48 GMT 2020,0,76344
Tue Aug  4 11:17:49 GMT 2020,0,76344
Tue Aug  4 11:17:49 GMT 2020,0,76344
Tue Aug  4 11:17:50 GMT 2020,0,76356
Tue Aug  4 11:17:50 GMT 2020,0,76356
Tue Aug  4 11:17:50 GMT 2020,0,75113
Tue Aug  4 11:17:51 GMT 2020,0,75129
Tue Aug  4 11:17:51 GMT 2020,0,75142
Tue Aug  4 11:17:51 GMT 2020,0,75142
Tue Aug  4 11:17:52 GMT 2020,0,75142
Tue Aug  4 11:17:52 GMT 2020,0,91796
Tue Aug  4 11:17:52 GMT 2020,0,80782
Tue Aug  4 11:17:53 GMT 2020,0,131017
Tue Aug  4 11:17:53 GMT 2020,0,125733
Tue Aug  4 11:17:54 GMT 2020,0,125983
Tue Aug  4 11:17:54 GMT 2020,0,126030
Tue Aug  4 11:17:54 GMT 2020,0,126797
Tue Aug  4 11:17:55 GMT 2020,0,129361
Tue Aug  4 11:17:55 GMT 2020,0,131209
Tue Aug  4 11:17:56 GMT 2020,0,134661
Tue Aug  4 11:17:56 GMT 2020,0,119155
Tue Aug  4 11:17:57 GMT 2020,0,119139
Tue Aug  4 11:17:57 GMT 2020,0,119175
Tue Aug  4 11:17:58 GMT 2020,0,119175
Tue Aug  4 11:17:59 GMT 2020,0,119175
Tue Aug  4 11:17:59 GMT 2020,0,132869
Tue Aug  4 11:18:00 GMT 2020,0,133347
Tue Aug  4 11:18:00 GMT 2020,0,133423
Tue Aug  4 11:18:01 GMT 2020,0,120204
Tue Aug  4 11:18:01 GMT 2020,0,165076
Tue Aug  4 11:18:02 GMT 2020,0,188210
Tue Aug  4 11:18:02 GMT 2020,0,188159
Tue Aug  4 11:18:03 GMT 2020,0,188155
Tue Aug  4 11:18:03 GMT 2020,0,193718
Tue Aug  4 11:18:04 GMT 2020,0,193674
Tue Aug  4 11:18:04 GMT 2020,0,193674
Tue Aug  4 11:18:05 GMT 2020,0,194212
Tue Aug  4 11:18:05 GMT 2020,0,175662
Tue Aug  4 11:18:06 GMT 2020,0,178246
Tue Aug  4 11:18:06 GMT 2020,0,178254
Tue Aug  4 11:18:07 GMT 2020,0,178221
Tue Aug  4 11:18:07 GMT 2020,0,164512
Tue Aug  4 11:18:08 GMT 2020,0,164470
Tue Aug  4 11:18:08 GMT 2020,0,164474
Tue Aug  4 11:18:09 GMT 2020,0,164431
Tue Aug  4 11:18:09 GMT 2020,0,166374
Tue Aug  4 11:18:09 GMT 2020,0,166534
Tue Aug  4 11:18:10 GMT 2020,0,166502
Tue Aug  4 11:18:10 GMT 2020,0,166522
Tue Aug  4 11:18:11 GMT 2020,0,155200
Tue Aug  4 11:18:11 GMT 2020,0,193302
Tue Aug  4 11:18:12 GMT 2020,0,194502
Tue Aug  4 11:18:12 GMT 2020,0,195750
Tue Aug  4 11:18:13 GMT 2020,0,196682
Tue Aug  4 11:18:14 GMT 2020,0,197379
Tue Aug  4 11:18:14 GMT 2020,0,197346
Tue Aug  4 11:18:15 GMT 2020,0,181854
Tue Aug  4 11:18:16 GMT 2020,0,181902
Tue Aug  4 11:18:16 GMT 2020,0,179606
Tue Aug  4 11:18:17 GMT 2020,0,179577
Tue Aug  4 11:18:18 GMT 2020,0,222243
Tue Aug  4 11:18:18 GMT 2020,0,223139
Tue Aug  4 11:18:19 GMT 2020,0,223078
Tue Aug  4 11:18:20 GMT 2020,0,179532
Tue Aug  4 11:18:20 GMT 2020,0,179484
Tue Aug  4 11:18:21 GMT 2020,0,201983
Tue Aug  4 11:18:22 GMT 2020,0,214272
Tue Aug  4 11:18:22 GMT 2020,0,214215
Tue Aug  4 11:18:23 GMT 2020,0,213842
Tue Aug  4 11:18:23 GMT 2020,0,179514
Tue Aug  4 11:18:24 GMT 2020,0,179475
Tue Aug  4 11:18:25 GMT 2020,0,193242
Tue Aug  4 11:18:25 GMT 2020,0,193322
Tue Aug  4 11:18:26 GMT 2020,0,180029
Tue Aug  4 11:18:27 GMT 2020,0,165004
Tue Aug  4 11:18:27 GMT 2020,0,182578
Tue Aug  4 11:18:28 GMT 2020,0,182451
Tue Aug  4 11:18:29 GMT 2020,0,182344
Tue Aug  4 11:18:29 GMT 2020,0,182328
Tue Aug  4 11:18:30 GMT 2020,0,182328
Tue Aug  4 11:18:30 GMT 2020,0,182335
Tue Aug  4 11:18:31 GMT 2020,0,182444
Tue Aug  4 11:18:31 GMT 2020,0,172586
Tue Aug  4 11:18:32 GMT 2020,0,172598
Tue Aug  4 11:18:33 GMT 2020,0,172558
Tue Aug  4 11:18:33 GMT 2020,0,156002
Tue Aug  4 11:18:34 GMT 2020,0,222587
Tue Aug  4 11:18:34 GMT 2020,0,200383
Tue Aug  4 11:18:35 GMT 2020,0,201843
Tue Aug  4 11:18:35 GMT 2020,0,202833
Tue Aug  4 11:18:36 GMT 2020,0,203509
Tue Aug  4 11:18:37 GMT 2020,0,187919
Tue Aug  4 11:18:37 GMT 2020,0,183451
Tue Aug  4 11:18:38 GMT 2020,0,183455
Tue Aug  4 11:18:39 GMT 2020,0,183459
Tue Aug  4 11:18:40 GMT 2020,0,183505
Tue Aug  4 11:18:40 GMT 2020,0,195187
Tue Aug  4 11:18:41 GMT 2020,0,195164
Tue Aug  4 11:18:42 GMT 2020,0,169326
Tue Aug  4 11:18:42 GMT 2020,0,168035
Tue Aug  4 11:18:43 GMT 2020,0,186226
Tue Aug  4 11:18:44 GMT 2020,0,185818
Tue Aug  4 11:18:44 GMT 2020,0,185826
Tue Aug  4 11:18:45 GMT 2020,0,185826
Tue Aug  4 11:18:46 GMT 2020,0,185748
Tue Aug  4 11:18:46 GMT 2020,0,185400
Tue Aug  4 11:18:47 GMT 2020,0,185817
Tue Aug  4 11:18:47 GMT 2020,0,176185
Tue Aug  4 11:18:48 GMT 2020,0,176154
Tue Aug  4 11:18:48 GMT 2020,0,182874
Tue Aug  4 11:18:49 GMT 2020,0,182962
Tue Aug  4 11:18:49 GMT 2020,0,182946
Tue Aug  4 11:18:50 GMT 2020,0,183054
Tue Aug  4 11:18:50 GMT 2020,0,182922
Tue Aug  4 11:18:51 GMT 2020,0,182634
Tue Aug  4 11:18:52 GMT 2020,0,182634
Tue Aug  4 11:18:52 GMT 2020,0,182571
Tue Aug  4 11:18:53 GMT 2020,0,182499
