Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
25,2532612,26,0,0,91,24
93,2532860,94,0,0,191,23
192,2534388,192,0,0,291,13
293,2534600,293,0,0,394,10
396,2534456,397,0,0,493,18
494,2535388,495,0,0,593,19
595,2535484,595,0,0,696,17
698,2534700,699,0,0,797,8
799,2534936,800,0,0,894,18
895,2535576,896,0,0,998,15
1000,2535900,1001,0,0,1098,17
1100,2535556,1101,0,0,1197,10
1199,2534832,1200,0,0,1296,15
1297,2534804,1298,0,0,1399,18
1401,2535028,1402,0,0,1500,8
1502,2533792,1504,0,0,1601,11
1603,2534792,1604,0,0,1698,15
1699,2535132,1700,0,0,1800,14
1801,2535132,1802,0,0,1902,7
1904,2534480,1905,0,0,2001,11
2004,2534840,2005,0,0,2101,16
2102,2535084,2103,0,0,2203,15
2205,2534936,2206,0,0,2306,7
2309,2533956,2311,0,0,2403,14
2404,2534516,2405,0,0,2504,17
2506,2535024,2507,0,0,2603,16
2605,2534240,2606,0,0,2706,8
2707,2534488,2708,0,0,2803,19
2804,2535112,2805,0,0,2903,25
2904,2550340,2905,0,0,3004,15
3005,2547492,3006,0,0,3105,15
3106,2532840,3106,0,0,3207,17
3208,2532840,3209,0,0,3306,14
3307,2532320,3307,0,0,3408,5
3411,2532568,3413,0,0,3506,15
3507,2532668,3508,0,0,3609,13
3611,2532752,3612,0,0,3708,14
3709,2532020,3710,0,0,3808,23
3809,2532764,3810,0,0,3908,29
3909,2533796,3909,0,0,4011,21
4013,2534040,4014,0,0,4110,21
4112,2535016,4112,0,0,4213,31
4214,2538076,4214,0,0,4310,44
4310,2538720,4311,0,0,4410,15
4411,2540096,4411,0,0,4511,22
4512,2535812,4513,0,0,4611,32
4611,2536112,4611,0,0,4711,22
4712,2542580,4713,0,0,4812,41
4813,2557116,4814,0,0,4912,32
4913,2567260,4913,0,0,5012,30
5013,2563800,5013,0,0,5113,19
5114,2564296,5114,0,0,5214,36
5215,2564952,5215,0,0,5313,33
5314,2564828,5314,0,0,5414,28
5414,2564656,5414,0,0,5515,24
5515,2564992,5516,0,0,5615,37
5616,2565860,5617,0,0,5715,34
5715,2565296,5715,0,0,5815,30
5816,2564740,5816,0,0,5916,19
5917,2564732,5918,0,0,6017,35
6018,2566184,6018,0,0,6116,36
6117,2566128,6117,0,0,6217,34
6217,2566248,6217,0,0,6317,25
6317,2565680,6318,0,0,6418,31
6419,2566024,6419,0,0,6518,36
6519,2568224,6519,0,0,6618,33
6619,2566044,6619,0,0,6719,29
6719,2566400,6719,0,0,6819,21
6819,2566544,6820,0,0,6919,29
6920,2567708,6920,0,0,7020,36
7021,2568516,7021,0,0,7120,32
7120,2569136,7120,0,0,7220,21
7221,2568824,7221,0,0,7321,25
7322,2569620,7323,0,0,7421,30
7421,2572184,7422,0,0,7521,29
7522,2572136,7522,0,0,7622,30
7622,2571684,7622,0,0,7722,17
7722,2571624,7723,0,0,7823,26
7824,2573324,7825,0,0,7923,31
7924,2573212,7924,0,0,8023,14
8024,2558292,8024,0,0,8124,15
8124,2557508,8125,0,0,8224,2
8225,2557272,8225,0,0,8325,16
8326,2557748,8326,0,0,8426,17
8427,2558252,8427,0,0,8526,14
8526,2558252,8527,0,0,8626,13
8627,2558252,8627,0,0,8727,7
8727,2557860,8728,0,0,8828,7
8829,2557764,8829,0,0,8928,13
8929,2558540,8929,0,0,9028,16
9029,2558416,9029,0,0,9129,13
9129,2558452,9130,0,0,9229,14
9230,2558452,9230,0,0,9330,3
9331,2558060,9331,0,0,9432,9
9433,2558308,9434,0,0,9531,24
9532,2559196,9532,0,0,9631,15
9632,2559000,9632,0,0,9732,17
9733,2559000,9733,0,0,9833,12
9833,2558412,9833,0,0,9934,7
9935,2558216,9935,0,0,10034,18
10035,2558876,10035,0,0,10136,16
10138,2559124,10138,0,0,10235,14
10235,2559124,10236,0,0,10336,16
10336,2559124,10337,0,0,10436,5
10437,2558928,10437,0,0,10537,24
10538,2559776,10538,0,0,10637,26
10638,2560432,10638,0,0,10738,27
10739,2561424,10739,0,0,10839,26
10839,2562036,10839,0,0,10939,16
10940,2563496,10940,0,0,11039,32
11040,2563248,11040,0,0,11141,24
11141,2559020,11141,3429295,3429295,11241,22
11242,2558948,11242,3429295,3429295,11342,14
11342,2558744,11342,3429295,3429295,11442,43
11443,2561528,11443,3429295,3429295,11542,33
11543,2563496,11544,3429295,3429295,11643,38
11643,2559184,11644,3429295,3429295,11743,34
11744,2528588,11744,3429295,3429295,11843,10
11844,2527616,11844,3429295,3429295,11944,8
11946,2528420,11947,3429295,3429295,12044,14
12045,2528660,12045,3429295,3429295,12144,18
12145,2529124,12145,3429295,3429295,12245,25
12245,2530116,12245,3429295,3429295,12345,17
12346,2530716,12346,3429295,3429295,12445,23
12446,2531944,12447,3429295,3429295,12546,30
12547,2530204,12547,3429295,3429295,12646,36
12647,2532820,12647,3429295,3429295,12747,34
12747,2529108,12748,3429295,3429295,12847,40
12848,2534268,12848,3429295,3429295,12948,49
12949,2541776,12949,3429295,3429295,13048,35
13049,2542612,13050,3429295,3429295,13149,39
13150,2544008,13150,3429295,3429295,13249,35
13249,2543808,13250,3429295,3429295,13349,21
13350,2543320,13350,3429295,3429295,13449,18
13450,2545288,13451,3429295,3429295,13550,39
13551,2547856,13552,3429295,3429295,13650,30
13651,2549276,13652,3429295,3429295,13751,24
13752,2549144,13752,3429295,3429295,13851,18
13852,2547892,13852,3429295,3429295,13952,1
13953,2547844,13954,3429295,3429295,14052,20
14054,2548812,14054,3429295,3429295,14153,18
14154,2548868,14154,3429295,3429295,14253,13
14254,2548868,14255,3429295,3429295,14354,0
14355,2547992,14355,3429295,3429295,14455,7
14456,2548232,14457,3429295,3429295,14555,14
14556,2548456,14556,3429295,3429295,14657,18
14659,2548720,14659,3429295,3429295,14756,31
14757,2548700,14757,3429295,3429295,14857,28
14858,2547904,14858,3429295,3429295,14958,20
14958,2547924,14959,3429295,3429295,15058,19
15059,2547200,15059,3429295,3429295,15159,23
15159,2548024,15160,3429295,3429295,15259,30
15259,2547848,15260,3429295,3429295,15359,28
15360,2547800,15360,3429295,3429295,15460,8
15461,2546764,15462,3429295,3429295,15561,15
15562,2547112,15563,3429295,3429295,15661,20
15662,2548332,15662,3429295,3429295,15761,18
15762,2548480,15763,3429295,3429295,15862,16
15863,2548384,15863,3429295,3429295,15963,17
15963,2547500,15964,3429295,3429295,16064,13
16065,2547588,16065,3429295,3429295,16164,17
16165,2548384,16166,3429295,3429295,16264,17
16265,2548688,16265,3429295,3429295,16364,16
16365,2548636,16365,3429295,3429295,16465,20
16465,2548188,16466,3429295,3429295,16566,15
16567,2548940,16567,3429295,3429295,16666,29
16667,2550016,16668,3429295,3429295,16767,31
16767,2550912,16768,3429295,3429295,16866,34
16867,2551752,16868,3429295,3429295,16967,31
