Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,147460,2521069.9320652173,986200.4198369565,986200.4198369565,22.37660422081758,1168830.1272141708,1168830.1272141708
2,147529,2433183.231500339,1436662.914460285,1436662.914460285,22.972136151565472,2116204.473,2116204.473
3,147069,2589851.961852861,1476208.1021798365,653142.658719346,21.705040871934607,2384019.2453245325,1054800.2453245325
4,147367,2598451.072739633,272780.5269980558,272780.5269980558,22.061862678450034,479402.813875914,479402.813875914
5,146336,2457974.6091718003,1017175.1505817933,1017175.1505817933,21.334921511664678,1973562.941567065,1973562.941567065
6,147940,2520913.6303317538,158235.08666215301,158235.08666215301,22.693079028516237,479903.94866529776,479903.94866529776
7,152184,2568816.589861751,522800.78933508886,522800.78933508886,25.972979520759864,634292.6509584665,634292.6509584665
8,153200,2553261.815565729,701603.035971223,42.115107913669064,27.13734466971877,1195932.0423634336,71.78818283166109
9,152487,2565157.957950066,283787.82325886993,283787.82325886993,26.12483574244415,1720817.0,1720817.0
10,151986,2511856.0975609757,1001424.7020435069,1001424.7020435069,26.273075654557076,1558114.126153846,1558114.126153846
