datetime,cpu,mem
Tue Aug  4 09:22:27 GMT 2020,22,117905
Tue Aug  4 09:22:27 GMT 2020,22,117462
Tue Aug  4 09:22:27 GMT 2020,22,117498
Tue Aug  4 09:22:28 GMT 2020,22,117542
Tue Aug  4 09:22:28 GMT 2020,22,117530
Tue Aug  4 09:22:29 GMT 2020,22,117526
Tue Aug  4 09:22:29 GMT 2020,22,117526
Tue Aug  4 09:22:30 GMT 2020,22,115686
Tue Aug  4 09:22:30 GMT 2020,22,115706
Tue Aug  4 09:22:31 GMT 2020,22,115710
Tue Aug  4 09:22:31 GMT 2020,22,115727
Tue Aug  4 09:22:31 GMT 2020,22,115659
Tue Aug  4 09:22:32 GMT 2020,22,121852
Tue Aug  4 09:22:32 GMT 2020,22,121829
Tue Aug  4 09:22:33 GMT 2020,22,122817
Tue Aug  4 09:22:33 GMT 2020,22,105152
Tue Aug  4 09:22:33 GMT 2020,22,124188
Tue Aug  4 09:22:34 GMT 2020,22,126863
Tue Aug  4 09:22:34 GMT 2020,22,128115
Tue Aug  4 09:22:35 GMT 2020,22,127927
Tue Aug  4 09:22:35 GMT 2020,22,127463
Tue Aug  4 09:22:36 GMT 2020,22,127463
Tue Aug  4 09:22:36 GMT 2020,22,127467
Tue Aug  4 09:22:37 GMT 2020,22,127820
Tue Aug  4 09:22:37 GMT 2020,22,206881
Tue Aug  4 09:22:38 GMT 2020,22,182104
Tue Aug  4 09:22:38 GMT 2020,22,187218
Tue Aug  4 09:22:39 GMT 2020,22,203696
Tue Aug  4 09:22:39 GMT 2020,22,207856
Tue Aug  4 09:22:40 GMT 2020,22,213455
Tue Aug  4 09:22:40 GMT 2020,22,250866
Tue Aug  4 09:22:40 GMT 2020,22,266338
Tue Aug  4 09:22:41 GMT 2020,22,266286
Tue Aug  4 09:22:41 GMT 2020,22,265498
Tue Aug  4 09:22:42 GMT 2020,22,252098
Tue Aug  4 09:22:42 GMT 2020,22,253386
Tue Aug  4 09:22:43 GMT 2020,22,252454
Tue Aug  4 09:22:44 GMT 2020,22,253242
Tue Aug  4 09:22:44 GMT 2020,22,261006
Tue Aug  4 09:22:45 GMT 2020,22,268094
Tue Aug  4 09:22:45 GMT 2020,22,269505
Tue Aug  4 09:22:46 GMT 2020,22,268186
Tue Aug  4 09:22:46 GMT 2020,22,267830
Tue Aug  4 09:22:47 GMT 2020,22,260282
Tue Aug  4 09:22:47 GMT 2020,22,260216
Tue Aug  4 09:22:48 GMT 2020,22,260166
Tue Aug  4 09:22:49 GMT 2020,22,196670
Tue Aug  4 09:22:49 GMT 2020,22,195410
Tue Aug  4 09:22:50 GMT 2020,22,195370
Tue Aug  4 09:22:50 GMT 2020,22,210937
Tue Aug  4 09:22:50 GMT 2020,22,232795
Tue Aug  4 09:22:51 GMT 2020,22,236411
Tue Aug  4 09:22:52 GMT 2020,22,236787
Tue Aug  4 09:22:52 GMT 2020,22,237023
Tue Aug  4 09:22:53 GMT 2020,22,236435
Tue Aug  4 09:22:53 GMT 2020,22,244997
Tue Aug  4 09:22:54 GMT 2020,22,247753
Tue Aug  4 09:22:54 GMT 2020,22,248382
Tue Aug  4 09:22:55 GMT 2020,22,255632
Tue Aug  4 09:22:56 GMT 2020,22,259005
Tue Aug  4 09:22:56 GMT 2020,22,259628
Tue Aug  4 09:22:57 GMT 2020,22,259088
Tue Aug  4 09:22:58 GMT 2020,22,258910
Tue Aug  4 09:22:58 GMT 2020,22,259926
Tue Aug  4 09:22:59 GMT 2020,22,259868
Tue Aug  4 09:23:00 GMT 2020,22,208966
Tue Aug  4 09:23:00 GMT 2020,22,207354
Tue Aug  4 09:23:01 GMT 2020,22,238130
Tue Aug  4 09:23:02 GMT 2020,22,240139
Tue Aug  4 09:23:02 GMT 2020,22,247491
Tue Aug  4 09:23:03 GMT 2020,22,246835
Tue Aug  4 09:23:03 GMT 2020,22,247752
Tue Aug  4 09:23:04 GMT 2020,22,247208
Tue Aug  4 09:23:05 GMT 2020,22,246660
Tue Aug  4 09:23:05 GMT 2020,22,246618
Tue Aug  4 09:23:06 GMT 2020,22,247646
Tue Aug  4 09:23:07 GMT 2020,22,249467
Tue Aug  4 09:23:07 GMT 2020,22,254237
Tue Aug  4 09:23:08 GMT 2020,22,252123
Tue Aug  4 09:23:08 GMT 2020,22,251419
Tue Aug  4 09:23:09 GMT 2020,22,251247
Tue Aug  4 09:23:10 GMT 2020,22,251255
Tue Aug  4 09:23:10 GMT 2020,22,252180
Tue Aug  4 09:23:11 GMT 2020,22,210995
Tue Aug  4 09:23:11 GMT 2020,22,209123
Tue Aug  4 09:23:12 GMT 2020,22,209079
Tue Aug  4 09:23:13 GMT 2020,22,233956
Tue Aug  4 09:23:13 GMT 2020,22,254645
Tue Aug  4 09:23:14 GMT 2020,22,257925
Tue Aug  4 09:23:15 GMT 2020,22,264489
Tue Aug  4 09:23:15 GMT 2020,22,308317
Tue Aug  4 09:23:16 GMT 2020,22,307069
Tue Aug  4 09:23:17 GMT 2020,22,307793
Tue Aug  4 09:23:18 GMT 2020,22,294986
Tue Aug  4 09:23:18 GMT 2020,22,297524
Tue Aug  4 09:23:19 GMT 2020,22,294419
Tue Aug  4 09:23:20 GMT 2020,22,291140
Tue Aug  4 09:23:21 GMT 2020,22,290304
Tue Aug  4 09:23:21 GMT 2020,22,288674
Tue Aug  4 09:23:22 GMT 2020,22,251656
Tue Aug  4 09:23:23 GMT 2020,22,222642
Tue Aug  4 09:23:24 GMT 2020,22,222598
Tue Aug  4 09:23:24 GMT 2020,22,238807
Tue Aug  4 09:23:25 GMT 2020,22,236619
Tue Aug  4 09:23:25 GMT 2020,22,236579
Tue Aug  4 09:23:26 GMT 2020,22,254043
Tue Aug  4 09:23:26 GMT 2020,22,252219
Tue Aug  4 09:23:27 GMT 2020,22,235903
Tue Aug  4 09:23:28 GMT 2020,22,253621
Tue Aug  4 09:23:28 GMT 2020,22,256423
Tue Aug  4 09:23:29 GMT 2020,22,256291
Tue Aug  4 09:23:29 GMT 2020,22,256207
Tue Aug  4 09:23:30 GMT 2020,22,256123
Tue Aug  4 09:23:31 GMT 2020,22,243659
Tue Aug  4 09:23:31 GMT 2020,22,223271
Tue Aug  4 09:23:32 GMT 2020,22,253060
Tue Aug  4 09:23:33 GMT 2020,22,254116
Tue Aug  4 09:23:33 GMT 2020,22,257716
Tue Aug  4 09:23:34 GMT 2020,22,301864
Tue Aug  4 09:23:34 GMT 2020,22,301960
Tue Aug  4 09:23:35 GMT 2020,22,301938
Tue Aug  4 09:23:36 GMT 2020,22,255901
Tue Aug  4 09:23:37 GMT 2020,22,220487
Tue Aug  4 09:23:37 GMT 2020,22,220277
Tue Aug  4 09:23:38 GMT 2020,22,237297
Tue Aug  4 09:23:39 GMT 2020,22,236244
Tue Aug  4 09:23:39 GMT 2020,22,236202
Tue Aug  4 09:23:40 GMT 2020,22,253855
Tue Aug  4 09:23:40 GMT 2020,22,252052
Tue Aug  4 09:23:41 GMT 2020,22,269752
Tue Aug  4 09:23:41 GMT 2020,22,235349
Tue Aug  4 09:23:42 GMT 2020,22,235365
Tue Aug  4 09:23:43 GMT 2020,22,235327
Tue Aug  4 09:23:43 GMT 2020,22,252134
Tue Aug  4 09:23:44 GMT 2020,22,253032
Tue Aug  4 09:23:45 GMT 2020,22,253753
Tue Aug  4 09:23:45 GMT 2020,22,239909
Tue Aug  4 09:23:46 GMT 2020,22,240920
Tue Aug  4 09:23:46 GMT 2020,22,245617
Tue Aug  4 09:23:47 GMT 2020,22,244377
Tue Aug  4 09:23:48 GMT 2020,22,244384
Tue Aug  4 09:23:49 GMT 2020,22,236109
Tue Aug  4 09:23:49 GMT 2020,22,238970
Tue Aug  4 09:23:50 GMT 2020,22,241462
