Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
74,2484532,74,0,0,73,20
174,2485596,174,0,0,173,18
276,2486852,276,0,0,275,21
375,2486852,375,0,0,374,17
476,2486068,476,0,0,475,15
577,2486328,578,0,0,576,9
677,2486480,677,0,0,676,16
777,2487284,777,0,0,776,19
877,2487572,878,0,0,876,14
978,2487380,978,0,0,977,10
1079,2487532,1080,0,0,1078,11
1179,2487992,1180,0,0,1178,16
1283,2487992,1284,0,0,1280,15
1380,2487992,1380,0,0,1379,17
1481,2484856,1482,0,0,1480,6
1582,2484308,1583,0,0,1581,11
1682,2483928,1682,0,0,1681,18
1782,2484232,1782,0,0,1781,14
1882,2483748,1882,0,0,1881,15
1984,2483748,1985,0,0,1983,5
2084,2483424,2084,0,0,2083,17
2185,2483848,2185,0,0,2183,13
2284,2483848,2284,0,0,2283,19
2386,2483456,2386,0,0,2384,9
2485,2483304,2486,0,0,2484,8
2586,2483808,2587,0,0,2585,20
2686,2483808,2687,0,0,2685,18
2787,2484012,2787,0,0,2786,17
2889,2483620,2889,0,0,2887,3
2988,2484208,2989,0,0,2987,13
3089,2484944,3089,0,0,3087,15
3189,2485192,3189,0,0,3187,15
3289,2484604,3289,0,0,3288,8
3390,2484604,3391,0,0,3389,8
3490,2483732,3491,0,0,3489,16
3590,2484024,3591,0,0,3589,14
3690,2498572,3690,0,0,3689,36
3791,2495300,3792,0,0,3790,23
3891,2482876,3892,0,0,3890,31
3992,2483820,3992,0,0,3990,26
4092,2483820,4092,0,0,4091,26
4194,2484364,4195,0,0,4192,16
4294,2486628,4294,0,0,4292,33
4394,2490824,4394,0,0,4393,25
4494,2486176,4495,0,0,4493,25
4595,2487712,4595,0,0,4594,26
4696,2489248,4696,0,0,4695,39
4796,2489136,4796,0,0,4795,39
4897,2491332,4898,0,0,4896,20
4997,2490600,4998,0,0,4996,25
5099,2486968,5099,0,0,5097,27
5198,2488252,5199,0,0,5197,27
5299,2488096,5300,0,0,5298,12
5399,2489144,5400,0,0,5398,24
5501,2486568,5501,0,0,5499,33
5599,2462324,5599,0,0,5599,31
5699,2461740,5700,0,0,5699,23
5801,2461392,5801,0,0,5800,19
5901,2462700,5902,0,0,5901,29
6000,2463000,6001,0,0,6000,33
6101,2484260,6101,0,0,6100,34
6202,2484348,6203,0,0,6202,6
6302,2485420,6303,0,0,6302,19
6402,2485892,6403,0,0,6402,13
6503,2485696,6503,0,0,6502,33
6603,2485156,6603,0,0,6602,8
6704,2485736,6705,0,0,6703,26
6805,2487764,6805,0,0,6804,33
6905,2489320,6905,0,0,6904,33
7005,2489844,7006,0,0,7005,21
7107,2497776,7108,0,0,7106,18
7207,2499412,7208,0,0,7206,20
7307,2498628,7307,0,0,7306,22
