Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,156083,2626512.8709055874,138407.63583815028,138407.63583815028,26.519588953114965,347022.04347826086,347022.04347826086
2,156387,2600011.341025641,1198268.8262820514,1183675.8262820514,26.824358974358976,1198268.8262820514,1183675.8262820514
3,156464,2383596.80921895,650540.1600512164,650540.1600512164,26.46798975672215,1638941.5,1638941.5
4,153502,2437685.054830287,1255638.7552219322,1255638.7552219322,23.883812010443865,1648362.1019708654,1648362.1019708654
5,156458,2637115.1236386932,1217220.2120435617,974959.9128763613,26.185137732222934,1795917.534026465,1438480.551984877
6,156309,2590410.6974358973,1024433.2807692308,1024433.2807692308,26.41025641025641,1801709.0394588502,1801709.0394588502
7,157620,2553602.820089002,384235.2981563891,384235.2981563891,27.188175460902734,974842.135483871,974842.135483871
8,162707,2403755.5566502465,624239.2918719212,338669.210591133,31.982735870804923,827562.9469387755,448978.61061224487
9,159442,2634408.7844123193,416055.2445003143,416055.2445003143,29.100617434413643,771496.37995338,771496.37995338
10,158583,2511456.1591914087,766507.5047378396,97446.08464939987,28.656348704990524,1337796.4498346196,170074.0374862183
