Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
22,2352680,23,0,0,86,20
88,2352696,88,0,0,186,22
187,2354172,188,0,0,286,18
288,2354448,288,0,0,388,13
390,2353680,391,0,0,493,11
497,2353540,498,0,0,589,20
590,2354200,590,0,0,689,17
690,2354440,691,0,0,793,9
797,2354356,799,0,0,890,16
893,2354816,893,0,0,991,17
993,2355384,994,0,0,1093,15
1095,2355384,1097,0,0,1193,10
1195,2355172,1196,0,0,1293,14
1295,2355524,1296,0,0,1392,16
1394,2354512,1394,0,0,1495,16
1497,2352112,1499,0,0,1596,6
1599,2337804,1601,0,0,1695,16
1697,2332384,1699,0,0,1794,19
1796,2332404,1796,0,0,1897,13
1900,2332396,1901,0,0,1996,11
1997,2330100,1998,0,0,2095,11
2097,2330212,2097,0,0,2198,15
2201,2330016,2201,0,0,2299,15
2301,2329428,2302,0,0,2400,6
2403,2329696,2405,0,0,2497,19
2500,2329884,2500,0,0,2599,15
2601,2330336,2602,0,0,2700,16
2703,2329748,2704,0,0,2802,6
2805,2329748,2807,0,0,2899,20
2901,2330724,2902,0,0,3000,15
3002,2330688,3003,0,0,3102,14
3104,2330116,3105,0,0,3203,7
3207,2330112,3209,0,0,3301,15
3303,2331364,3303,0,0,3401,24
3403,2331364,3403,0,0,3502,11
3503,2330580,3503,0,0,3603,3
3607,2330580,3608,0,0,3703,17
3704,2331112,3705,0,0,3803,23
3804,2331028,3804,0,0,3906,17
3909,2331296,3911,0,0,4003,37
4005,2346760,4005,0,0,4104,41
4105,2346316,4105,0,0,4204,34
4205,2331092,4205,0,0,4304,25
4305,2334116,4306,0,0,4404,24
4405,2329308,4405,0,0,4505,31
4505,2330708,4505,0,0,4605,28
4605,2333188,4606,0,0,4705,36
4706,2341736,4706,0,0,4806,30
4806,2357020,4806,0,0,4907,25
4908,2372308,4908,0,0,5007,34
5008,2388128,5008,0,0,5107,31
5107,2371044,5108,0,0,5207,30
5207,2379736,5208,0,0,5308,24
5309,2396944,5309,0,0,5408,35
5409,2375260,5409,0,0,5508,31
5509,2375088,5510,0,0,5608,24
5609,2374124,5609,0,0,5710,26
5711,2375296,5711,0,0,5809,33
5810,2376524,5810,0,0,5910,29
5910,2375980,5910,0,0,6010,21
6011,2375560,6011,0,0,6111,25
6112,2376392,6112,0,0,6211,30
6212,2376912,6212,0,0,6311,32
6312,2376272,6312,0,0,6411,25
6412,2375524,6412,0,0,6512,20
6513,2375644,6514,0,0,6613,31
6614,2376828,6614,0,0,6712,32
6713,2377364,6713,0,0,6813,32
6813,2377348,6814,0,0,6913,24
6914,2376512,6914,0,0,7014,28
7015,2373040,7016,0,0,7114,34
7115,2374192,7115,0,0,7214,35
7215,2374200,7215,0,0,7315,35
7315,2374924,7316,0,0,7415,18
7416,2374576,7416,0,0,7519,32
7520,2375896,7520,0,0,7618,34
7619,2376844,7619,0,0,7719,38
7719,2376692,7719,0,0,7819,31
7819,2375908,7820,0,0,7920,20
7921,2376080,7921,0,0,8020,32
8021,2378156,8021,0,0,8120,0
8121,2379136,8121,0,0,8220,29
8221,2363300,8222,0,0,8321,15
8322,2363300,8322,0,0,8421,11
8422,2362624,8423,0,0,8522,8
8522,2362808,8523,0,0,8623,16
8624,2363888,8625,0,0,8724,14
8727,2364180,8728,0,0,8824,14
8825,2363984,8825,0,0,8925,15
8926,2364128,8926,0,0,9025,13
9026,2363744,9026,0,0,9126,4
9128,2363768,9128,0,0,9226,20
9227,2364364,9228,0,0,9327,18
9329,2364628,9329,0,0,9427,15
9428,2364528,9429,0,0,9528,16
9529,2364528,9529,0,0,9628,20
9629,2363936,9630,0,0,9729,5
9731,2363640,9731,0,0,9830,25
9831,2364804,9832,0,0,9930,15
9931,2364708,9931,0,0,10030,18
10031,2364732,10031,0,0,10131,15
10132,2364948,10132,0,0,10231,20
10232,2364968,10233,0,0,10332,11
10333,2364624,10333,0,0,10433,21
10434,2364596,10434,0,0,10533,31
10534,2365560,10534,0,0,10633,30
10634,2365960,10634,0,0,10733,31
10735,2366704,10735,0,0,10834,32
10835,2367172,10835,0,0,10935,23
10936,2368264,10936,0,0,11035,31
11036,2369676,11036,0,0,11135,32
11137,2369980,11137,0,0,11236,34
11236,2366036,11237,0,0,11336,31
11337,2366136,11337,0,0,11437,17
11439,2365396,11440,0,0,11538,22
11539,2365432,11540,0,0,11638,53
11639,2366488,11640,0,0,11738,57
11739,2366808,11739,0,0,11839,68
11840,2370592,11840,0,0,11939,61
11940,2371576,11940,0,0,12040,46
12041,2364224,12041,0,0,12140,44
12141,2365936,12141,0,0,12240,44
12241,2366792,12241,0,0,12340,55
12341,2368260,12341,0,0,12441,60
12441,2376096,12442,0,0,12541,55
12542,2379372,12542,0,0,12641,82
12642,2381744,12642,0,0,12742,60
12743,2383224,12743,0,0,12842,54
12843,2385396,12843,0,0,12943,56
12943,2381044,12944,0,0,13043,73
13044,2382616,13045,0,0,13144,60
13144,2389252,13145,0,0,13244,42
13245,2390956,13245,0,0,13344,55
13345,2392072,13346,0,0,13445,55
13445,2392784,13446,0,0,13545,53
13546,2393528,13546,0,0,13645,48
13646,2393640,13647,0,0,13745,56
13746,2395204,13747,0,0,13846,53
13847,2397888,13847,0,0,13946,58
13947,2398612,13947,0,0,14051,0
14052,2405156,14052,0,0,14151,65
14152,2405100,14152,0,0,14251,64
14252,2404152,14253,0,0,14352,47
14353,2404444,14353,0,0,14452,78
14453,2407520,14454,0,0,14553,55
14554,2407636,14554,0,0,14653,61
14654,2407192,14654,0,0,14753,39
14754,2407396,14754,0,0,14855,28
14856,2407556,14857,0,0,14958,11
14960,2406576,14962,0,0,15058,18
15059,2396856,15060,0,0,15157,30
15161,2397224,15162,0,0,15257,36
15259,2397224,15260,0,0,15358,33
15360,2397264,15361,0,0,15460,26
15461,2397296,15462,0,0,15563,27
15565,2397448,15568,0,0,15664,28
15667,2396424,15668,0,0,15761,42
15763,2396876,15764,0,0,15862,38
15863,2398008,15863,0,0,15963,22
15963,2398672,15964,0,0,16065,21
16066,2398436,16067,0,0,16165,26
16167,2398512,16168,0,0,16265,27
16267,2397768,16268,0,0,16367,13
16370,2398000,16371,0,0,16465,19
16466,2399008,16467,0,0,16565,22
16567,2399104,16567,0,0,16667,22
16669,2398956,16669,0,0,16770,21
16772,2397476,16774,0,0,16868,25
16869,2397500,16870,0,0,16969,25
16971,2396852,16972,0,0,17069,25
17072,2395944,17073,0,0,17168,46
17169,2395028,17170,0,0,17271,40
17273,2395128,17275,0,0,17371,43
17373,2395872,17374,0,0,17472,65
17474,2392804,17475,0,0,17573,48
17575,2393436,17576,0,0,17673,46
17675,2393412,17676,0,0,17773,43
17773,2394116,17774,0,0,17873,28
17874,2393960,17875,0,0,17973,27
17974,2389808,17974,0,0,18074,19
18074,2389660,18075,0,0,18174,10
18175,2388656,18175,0,0,18274,8
18275,2388968,18276,0,0,18375,23
18375,2390052,18376,0,0,18476,22
18477,2390052,18479,0,0,18575,22
18576,2390052,18577,0,0,18676,18
18677,2389904,18677,0,0,18776,13
18777,2388868,18777,0,0,18877,5
18878,2389012,18879,0,0,18977,35
18978,2389888,18978,0,0,19078,37
19079,2390632,19080,0,0,19178,38
19179,2391128,19180,0,0,19279,37
19280,2391724,19281,0,0,19381,44
19383,2391724,19384,0,0,19482,47
19484,2392472,19485,0,0,19581,57
19582,2394832,19583,0,0,19681,43
19682,2394216,19682,0,0,19782,31
19783,2393924,19784,0,0,19882,29
19882,2389360,19883,0,0,19982,16
19983,2388924,19983,0,0,20083,3
20084,2388624,20084,0,0,20183,24
20184,2389824,20184,0,0,20284,16
20286,2389824,20286,0,0,20384,20
20385,2389528,20385,0,0,20484,20
20485,2389580,20485,0,0,20584,18
20585,2389312,20585,0,0,20684,1
20685,2389008,20686,0,0,20785,21
20786,2389596,20786,0,0,20886,31
20886,2390156,20887,0,0,20986,35
20987,2390688,20987,0,0,21086,35
21088,2391308,21088,0,0,21187,38
21188,2391260,21188,0,0,21291,21
21298,2391756,21300,0,0,21388,42
