datetime,cpu,mem
Tue Aug  4 10:14:08 GMT 2020,7.4,49796
Tue Aug  4 10:14:09 GMT 2020,7.4,86490
Tue Aug  4 10:14:09 GMT 2020,7.4,86375
Tue Aug  4 10:14:10 GMT 2020,7.4,104706
Tue Aug  4 10:14:10 GMT 2020,7.4,105122
Tue Aug  4 10:14:10 GMT 2020,7.4,105122
Tue Aug  4 10:14:11 GMT 2020,7.4,105122
Tue Aug  4 10:14:11 GMT 2020,7.4,104746
Tue Aug  4 10:14:12 GMT 2020,7.4,104734
Tue Aug  4 10:14:12 GMT 2020,7.4,104734
Tue Aug  4 10:14:12 GMT 2020,7.4,104738
Tue Aug  4 10:14:13 GMT 2020,7.4,104738
Tue Aug  4 10:14:13 GMT 2020,7.4,104694
Tue Aug  4 10:14:14 GMT 2020,7.4,105451
Tue Aug  4 10:14:14 GMT 2020,7.4,105738
Tue Aug  4 10:14:14 GMT 2020,7.4,105738
Tue Aug  4 10:14:15 GMT 2020,7.4,105738
Tue Aug  4 10:14:15 GMT 2020,7.4,105887
Tue Aug  4 10:14:15 GMT 2020,7.4,105922
Tue Aug  4 10:14:16 GMT 2020,7.4,107777
Tue Aug  4 10:14:16 GMT 2020,7.4,93276
Tue Aug  4 10:14:16 GMT 2020,7.4,93495
Tue Aug  4 10:14:17 GMT 2020,7.4,93399
Tue Aug  4 10:14:17 GMT 2020,7.4,93385
Tue Aug  4 10:14:17 GMT 2020,7.4,110961
Tue Aug  4 10:14:18 GMT 2020,7.4,111279
Tue Aug  4 10:14:18 GMT 2020,7.4,128844
Tue Aug  4 10:14:18 GMT 2020,7.4,111850
Tue Aug  4 10:14:19 GMT 2020,7.4,112500
Tue Aug  4 10:14:19 GMT 2020,7.4,113372
Tue Aug  4 10:14:20 GMT 2020,7.4,113317
Tue Aug  4 10:14:20 GMT 2020,7.4,113273
Tue Aug  4 10:14:20 GMT 2020,7.4,113281
Tue Aug  4 10:14:21 GMT 2020,7.4,113242
Tue Aug  4 10:14:21 GMT 2020,7.4,95743
Tue Aug  4 10:14:21 GMT 2020,7.4,95084
Tue Aug  4 10:14:22 GMT 2020,7.4,95092
Tue Aug  4 10:14:22 GMT 2020,7.4,95114
Tue Aug  4 10:14:22 GMT 2020,7.4,111913
Tue Aug  4 10:14:23 GMT 2020,7.4,112000
Tue Aug  4 10:14:23 GMT 2020,7.4,112008
Tue Aug  4 10:14:24 GMT 2020,7.4,112008
Tue Aug  4 10:14:24 GMT 2020,7.4,112003
Tue Aug  4 10:14:24 GMT 2020,7.4,113504
Tue Aug  4 10:14:25 GMT 2020,7.4,113888
Tue Aug  4 10:14:25 GMT 2020,7.4,113832
Tue Aug  4 10:14:25 GMT 2020,7.4,113834
Tue Aug  4 10:14:26 GMT 2020,7.4,116308
Tue Aug  4 10:14:26 GMT 2020,7.4,117559
Tue Aug  4 10:14:27 GMT 2020,7.4,121000
Tue Aug  4 10:14:27 GMT 2020,7.4,122795
Tue Aug  4 10:14:27 GMT 2020,7.4,125560
Tue Aug  4 10:14:28 GMT 2020,7.4,125568
Tue Aug  4 10:14:28 GMT 2020,7.4,125604
Tue Aug  4 10:14:29 GMT 2020,7.4,125604
Tue Aug  4 10:14:29 GMT 2020,7.4,125608
Tue Aug  4 10:14:30 GMT 2020,7.4,125608
Tue Aug  4 10:14:30 GMT 2020,7.4,125608
Tue Aug  4 10:14:31 GMT 2020,7.4,125612
Tue Aug  4 10:14:31 GMT 2020,7.4,125612
Tue Aug  4 10:14:32 GMT 2020,7.4,125404
Tue Aug  4 10:14:32 GMT 2020,7.4,125424
Tue Aug  4 10:14:32 GMT 2020,7.4,125402
Tue Aug  4 10:14:33 GMT 2020,7.4,126501
Tue Aug  4 10:14:33 GMT 2020,7.4,130601
Tue Aug  4 10:14:34 GMT 2020,7.4,131013
Tue Aug  4 10:14:34 GMT 2020,7.4,134605
Tue Aug  4 10:14:34 GMT 2020,7.4,132193
Tue Aug  4 10:14:35 GMT 2020,7.4,132901
Tue Aug  4 10:14:35 GMT 2020,7.4,132901
Tue Aug  4 10:14:36 GMT 2020,7.4,132901
Tue Aug  4 10:14:36 GMT 2020,7.4,132901
Tue Aug  4 10:14:37 GMT 2020,7.4,132393
Tue Aug  4 10:14:37 GMT 2020,7.4,133470
Tue Aug  4 10:14:38 GMT 2020,7.4,134866
Tue Aug  4 10:14:38 GMT 2020,7.4,134438
Tue Aug  4 10:14:38 GMT 2020,7.4,134418
Tue Aug  4 10:14:39 GMT 2020,7.4,134418
Tue Aug  4 10:14:39 GMT 2020,7.4,134422
Tue Aug  4 10:14:40 GMT 2020,7.4,134422
Tue Aug  4 10:14:40 GMT 2020,7.4,134422
Tue Aug  4 10:14:41 GMT 2020,7.4,134422
Tue Aug  4 10:14:41 GMT 2020,7.4,134415
Tue Aug  4 10:14:42 GMT 2020,7.4,134139
Tue Aug  4 10:14:42 GMT 2020,7.4,117440
Tue Aug  4 10:14:43 GMT 2020,7.4,116748
Tue Aug  4 10:14:43 GMT 2020,7.4,116746
Tue Aug  4 10:14:43 GMT 2020,7.4,133321
Tue Aug  4 10:14:44 GMT 2020,7.4,135616
Tue Aug  4 10:14:44 GMT 2020,7.4,150915
Tue Aug  4 10:14:45 GMT 2020,7.4,149907
Tue Aug  4 10:14:45 GMT 2020,7.4,151112
Tue Aug  4 10:14:46 GMT 2020,7.4,151008
Tue Aug  4 10:14:46 GMT 2020,7.4,151292
Tue Aug  4 10:14:47 GMT 2020,7.4,147552
Tue Aug  4 10:14:47 GMT 2020,7.4,143737
Tue Aug  4 10:14:48 GMT 2020,7.4,143733
Tue Aug  4 10:14:49 GMT 2020,7.4,154393
Tue Aug  4 10:14:49 GMT 2020,7.4,153683
Tue Aug  4 10:14:50 GMT 2020,7.4,153963
