STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",789427,0,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49271,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",588021,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62708,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",470573,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36354,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",356094,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35625,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",380885,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38438,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",465208,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79427,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",566927,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50937,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",628646,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52708,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",672083,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53750,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",408802,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68386,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1428177,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42761,0,0,0,True
