RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",350573,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55052,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47343,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",736562,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47708,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1263802,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53385,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50937,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39010,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1456094,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3797344,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51354,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62812,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60417,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44011,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",98073,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48386,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1833698,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46511,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58906,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",112136,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68073,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2084375,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",81146,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3463229,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5035989,2,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56927,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",674010,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2989271,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49322,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2459688,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60573,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2041666,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64480,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61094,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41406,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1937709,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2766250,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47239,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",509375,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",412761,0,2,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",171407,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7960625,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47344,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3208334,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48385,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",313490,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6028802,2,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65156,0,0,0,True
