STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",954479,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6423854,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46979,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7040573,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46667,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6710781,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46198,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47865,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43854,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4691511,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5750156,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70520,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",601511,0,3,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",437604,0,2,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",302292,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6725104,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63437,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",8067500,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59375,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",305521,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7287084,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43281,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",15272083,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60677,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",10835781,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",7704427,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65000,0,0,0,True
