Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,174480,2543295.5519816196,1905605.683515221,1905605.683515221,46.01952900631821,2021730.3443022547,2021730.3443022547
2,174489,2638014.267662263,1192647.2171165997,1192647.2171165997,42.59596295842968,1649244.483717236,1649244.483717236
3,174845,2635259.493119266,2217325.267201835,0.0,40.919151376146786,2217325.267201835,0.0
4,173836,2635239.331412104,1407575.6224783862,987534.8167146974,42.395602986487724,1568493.0667951189,1100432.1817597945
5,173887,2638377.459365994,1062753.441498559,1057168.7902017292,41.218556088000064,1062753.441498559,1057168.7902017292
6,178734,2619789.579360628,1073071.0802019069,1073071.0802019069,51.38887272423012,1231993.390856407,1231993.390856407
7,219228,2474976.1921317475,781090.7063129003,781090.7063129003,37.90250923074476,1443334.1369399831,1443334.1369399831
8,174230,2544826.0149511215,629282.1771132835,134896.93559516963,39.82507313695451,629282.1771132835,134896.93559516963
9,176667,2569227.5666477596,882842.3460011345,879458.8803176404,46.81055019852524,1735173.9754738016,1728523.9754738016
10,176174,2626963.0739476676,1558122.901592719,15291.354948805461,46.36196564769408,1693988.9059987632,16624.73840445269
