Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
43,2655612,44,5994,0,90,36
99,2656592,100,5994,0,191,29
192,2657260,193,5994,0,292,29
293,2658080,294,5994,0,393,24
394,2657672,396,5994,0,494,20
496,2658048,496,5994,0,593,30
594,2660696,595,5994,0,693,30
694,2660976,695,5994,0,793,19
793,2660512,794,5994,0,893,28
894,2660924,895,5994,0,994,38
995,2663892,998,5994,0,1094,28
1095,2669616,1096,5994,0,1194,19
1196,2688328,1196,5994,0,1298,19
1299,2693924,1300,5994,0,1395,24
1396,2692044,1397,5994,0,1495,26
1496,2691260,1497,5994,0,1598,18
1600,2691260,1601,5994,0,1699,3
1702,2690476,1704,5994,0,1798,20
1800,2688936,1801,5994,0,1898,13
1901,2689472,1901,5994,0,1999,18
2001,2689276,2002,5994,0,2100,15
2102,2689488,2104,5994,0,2200,6
2201,2688508,2202,5994,0,2300,12
2302,2689400,2303,5994,0,2399,15
2400,2689632,2401,5994,0,2501,17
2503,2689508,2504,5994,0,2602,12
2604,2688956,2605,5994,0,2703,9
2706,2689140,2707,5994,0,2802,17
2804,2689936,2805,5994,0,2903,16
2906,2690216,2907,5994,0,3004,16
3006,2690216,3008,5994,0,3105,13
3107,2689236,3108,5994,0,3205,6
3209,2689236,3211,5994,0,3305,16
3307,2689676,3308,5994,0,3405,19
3408,2689760,3409,5994,0,3506,17
3507,2689760,3508,5994,0,3608,18
3610,2689700,3611,5994,0,3707,12
3709,2690172,3710,5994,0,3806,30
3808,2690704,3808,5994,0,3907,25
3908,2690576,3909,5994,0,4009,29
4011,2691904,4012,5994,0,4110,22
4113,2692164,4114,5994,0,4209,26
4211,2692520,4212,5994,0,4308,32
4310,2695132,4310,5994,0,4408,29
4409,2693776,4409,5994,0,4508,21
4509,2687424,4510,5994,0,4609,32
4610,2688568,4610,5994,0,4709,37
4710,2689228,4711,5994,0,4810,37
4810,2690204,4811,5994,0,4910,24
4911,2691784,4911,5994,0,5011,26
5011,2691648,5012,5994,0,5111,24
5112,2692300,5112,5994,0,5211,26
5212,2688124,5212,5994,0,5311,24
5312,2688664,5313,5994,0,5413,17
5414,2688704,5415,5994,0,5512,31
5513,2690196,5514,5994,0,5612,34
5613,2704460,5613,5994,0,5713,29
5715,2697576,5715,5994,0,5814,22
5815,2651756,5815,5994,0,5914,42
5916,2653752,5917,5994,0,6015,20
6016,2653796,6017,5994,0,6115,20
6117,2652816,6117,5994,0,6216,22
6219,2655680,6220,5994,0,6316,37
6317,2657228,6318,5994,0,6416,35
6418,2657780,6418,5994,0,6517,28
6518,2658048,6519,5994,0,6617,28
6618,2672516,6618,5994,0,6718,19
6720,2676400,6720,5994,0,6818,26
6821,2687228,6821,5994,0,6918,28
6920,2687648,6921,5994,0,7019,25
7021,2687648,7022,5994,0,7120,10
7122,2687452,7122,5994,0,7220,17
7222,2687800,7223,5994,0,7320,21
7322,2688792,7322,5994,0,7420,16
7423,2688608,7423,5994,0,7520,13
7522,2688608,7523,5994,0,7622,8
7623,2688020,7624,5994,0,7723,6
7724,2687824,7725,5994,0,7822,19
7823,2688556,7823,5994,0,7925,13
7928,2688360,7929,5994,0,8028,17
8030,2688360,8031,5994,0,8126,17
8128,2687376,8130,5994,0,8228,7
8230,2687636,8232,5994,0,8325,12
8326,2688208,8326,5994,0,8427,17
8428,2689116,8429,5994,0,8528,14
8529,2688920,8530,5994,0,8628,15
8630,2688920,8631,5994,0,8729,5
8731,2688332,8732,5994,0,8828,13
8829,2688548,8830,5994,0,8928,15
8928,2688780,8929,5994,0,9030,14
9032,2688780,9033,5994,0,9131,15
9133,2688780,9135,5994,0,9229,22
9230,2688648,9231,5994,0,9332,17
9333,2689120,9335,5994,0,9430,29
9431,2690940,9432,1264741,1258747,9532,26
9534,2691776,9536,1264741,1258747,9631,37
9632,2692284,9632,1264741,1258747,9731,12
9731,2692336,9731,1264741,1258747,9831,11
9832,2687792,9832,1264741,1258747,9931,28
9932,2691712,9932,1264741,1258747,10031,41
10032,2691408,10032,1264741,1258747,10132,45
10132,2693252,10133,1264741,1258747,10232,38
10233,2696604,10233,1264741,1258747,10333,40
10333,2701760,10334,1264741,1258747,10433,35
10434,2677824,10434,1264741,1258747,10533,28
10534,2673988,10535,1264741,1258747,10634,25
10634,2673400,10634,1264741,1258747,10735,43
10735,2676240,10735,1264741,1258747,10835,28
10836,2678416,10836,1264741,1258747,10935,20
10936,2678900,10936,1264741,1258747,11035,26
11036,2679248,11036,1264741,1258747,11136,15
11137,2678904,11137,1264741,1258747,11236,21
11237,2681672,11238,1264741,1258747,11336,52
11337,2691104,11337,1264741,1258747,11437,37
11438,2695032,11438,1264741,1258747,11538,27
11538,2695848,11539,1264741,1258747,11637,33
11638,2697356,11638,1264741,1258747,11738,35
11738,2697592,11739,1264741,1258747,11838,41
11839,2698440,11839,1264741,1258747,11939,39
11940,2698332,11940,1264741,1258747,12040,46
12040,2698796,12041,1264741,1258747,12142,40
12142,2700928,12142,1264741,1258747,12243,34
12244,2706804,12244,1264741,1258747,12343,48
12344,2706412,12345,1264741,1258747,12443,46
12445,2706476,12445,1264741,1258747,12544,36
12546,2706944,12546,1264741,1258747,12644,34
12645,2706760,12646,1264741,1258747,12747,22
12749,2712092,12749,1264741,1258747,12846,59
12847,2701780,12848,1264741,1258747,12945,51
12946,2710296,12947,1264741,1258747,13046,45
13047,2708952,13048,1264741,1258747,13146,42
13147,2708608,13147,1264741,1258747,13246,29
13248,2710964,13248,1264741,1258747,13347,28
13348,2711272,13349,1264741,1258747,13448,31
13449,2711272,13450,1264741,1258747,13548,29
13550,2711112,13551,1264741,1258747,13648,0
13649,2710720,13650,1264741,1258747,13749,27
13750,2711692,13750,1264741,1258747,13851,21
13853,2711692,13854,1264741,1258747,13952,18
13954,2711544,13955,1264741,1258747,14052,15
14055,2711544,14056,1264741,1258747,14153,16
14157,2710804,14159,1264741,1258747,14253,11
14258,2711368,14258,1264741,1258747,14352,19
14353,2711948,14354,1264741,1258747,14461,17
14470,2709716,14472,1264741,1258747,14553,30
14554,2708132,14555,1264741,1258747,14656,19
14657,2708132,14659,1264741,1258747,14758,20
14760,2707096,14761,1264741,1258747,14858,9
14860,2693332,14862,1264741,1258747,14955,19
14956,2693500,14957,1264741,1258747,15056,20
15058,2694096,15058,1264741,1258747,15159,18
15161,2694344,15162,1264741,1258747,15259,16
15260,2694344,15261,1264741,1258747,15357,60
15357,2695560,15358,1264741,1258747,15458,11
15459,2694228,15459,1264741,1258747,15558,11
15559,2694084,15559,1264741,1258747,15660,16
15661,2694180,15662,1264741,1258747,15761,21
15763,2694180,15764,1264741,1258747,15859,24
15860,2694764,15861,1264741,1258747,15959,32
15960,2695012,15961,1264741,1258747,16062,27
16063,2686344,16064,1264741,1258747,16166,22
16185,2687892,16186,1264741,1258747,16261,31
16262,2688492,16262,1264741,1258747,16361,30
16362,2691032,16362,1264741,1258747,16461,43
16461,2688060,16462,1264741,1258747,16561,44
16562,2690348,16562,1264741,1258747,16661,43
16662,2689248,16663,1264741,1258747,16762,39
16763,2691280,16764,1264741,1258747,16863,57
16864,2695072,16864,1264741,1258747,16963,46
16964,2699980,16965,1264741,1258747,17063,47
17065,2706336,17065,1264741,1258747,17164,46
17166,2707584,17166,1264741,1258747,17266,50
17268,2709048,17268,1264741,1258747,17385,43
17387,2712512,17387,1264741,1258747,17466,23
17467,2709964,17467,1264741,1258747,17567,37
17568,2710476,17568,1264741,1258747,17667,45
17669,2710932,17669,1264741,1258747,17767,28
17770,2710628,17770,1264741,1258747,17868,53
17869,2710976,17870,1264741,1258747,17968,55
17970,2710928,17970,1264741,1258747,18069,26
18073,2710284,18073,1264741,1258747,18169,41
18171,2711824,18171,1264741,1258747,18269,24
18272,2711892,18272,1264741,1258747,18370,32
18372,2711752,18373,1264741,1258747,18471,23
18473,2711308,18473,1264741,1258747,18572,16
18575,2711160,18575,1264741,1258747,18672,17
18675,2710564,18675,1264741,1258747,18773,27
18776,2711096,18777,1264741,1258747,18874,23
18877,2711496,18877,1264741,1258747,18974,25
18977,2711348,18977,1264741,1258747,19074,20
19077,2711348,19077,1264741,1258747,19175,20
19178,2711472,19179,1264741,1258747,19275,28
19278,2711532,19278,1264741,1258747,19376,14
19379,2710484,19379,1264741,1258747,19477,13
19480,2710912,19481,1264741,1258747,19577,45
19579,2709992,19579,1264741,1258747,19677,18
19680,2705404,19680,1264741,1258747,19778,32
19781,2705404,19781,1264741,1258747,19878,24
19881,2705404,19881,1264741,1258747,19978,20
19981,2705404,19982,1264741,1258747,20079,13
20084,2704656,20084,1264741,1258747,20180,18
20183,2704584,20184,1264741,1258747,20280,19
20281,2704584,20281,1264741,1258747,20380,21
20381,2704408,20381,1264741,1258747,20481,22
20482,2704408,20482,1264741,1258747,20581,20
20582,2704284,20583,1264741,1258747,20682,36
20682,2704056,20683,1264741,1258747,20782,20
20783,2707184,20783,1264741,1258747,20882,55
20884,2708112,20884,1264741,1258747,20983,75
20984,2711280,20984,1264741,1258747,21084,56
21086,2708872,21087,1264741,1258747,21184,51
21185,2709372,21186,1264741,1258747,21284,53
21285,2710868,21285,1264741,1258747,21384,55
21385,2710244,21385,1264741,1258747,21484,28
21486,2706188,21486,1264741,1258747,21585,38
21586,2685448,21586,1264741,1258747,21685,21
21687,2685604,21687,1264741,1258747,21785,24
21786,2685604,21787,1264741,1258747,21845,56
21846,2614860,21846,1264741,1258747,21945,47
21946,2612492,21946,1264741,1258747,22046,1
22047,2611308,22047,1264741,1258747,22147,15
22147,2611216,22148,1264741,1258747,22247,17
22248,2611116,22248,1264741,1258747,22348,16
22348,2611164,22349,1264741,1258747,22447,17
22448,2610748,22448,1264741,1258747,22548,15
22548,2610748,22549,1264741,1258747,22648,22
22648,2611124,22649,1264741,1258747,22749,17
22750,2611868,22750,1264741,1258747,22849,30
