datetime,cpu,mem
Tue Aug  4 10:11:11 GMT 2020,21,80573
Tue Aug  4 10:11:11 GMT 2020,21,80003
Tue Aug  4 10:11:12 GMT 2020,21,80049
Tue Aug  4 10:11:12 GMT 2020,21,80049
Tue Aug  4 10:11:12 GMT 2020,21,80049
Tue Aug  4 10:11:13 GMT 2020,21,80049
Tue Aug  4 10:11:13 GMT 2020,21,80049
Tue Aug  4 10:11:14 GMT 2020,21,80049
Tue Aug  4 10:11:14 GMT 2020,21,80049
Tue Aug  4 10:11:14 GMT 2020,21,80045
Tue Aug  4 10:11:15 GMT 2020,21,78745
Tue Aug  4 10:11:15 GMT 2020,21,78761
Tue Aug  4 10:11:15 GMT 2020,21,78773
Tue Aug  4 10:11:16 GMT 2020,16,99034
Tue Aug  4 10:11:16 GMT 2020,16,95061
Tue Aug  4 10:11:16 GMT 2020,16,163677
Tue Aug  4 10:11:17 GMT 2020,16,146514
Tue Aug  4 10:11:17 GMT 2020,16,147084
Tue Aug  4 10:11:18 GMT 2020,16,147226
Tue Aug  4 10:11:18 GMT 2020,16,147219
Tue Aug  4 10:11:18 GMT 2020,16,149409
Tue Aug  4 10:11:19 GMT 2020,16,151015
Tue Aug  4 10:11:19 GMT 2020,16,153678
Tue Aug  4 10:11:20 GMT 2020,16,139579
Tue Aug  4 10:11:21 GMT 2020,16,139595
Tue Aug  4 10:11:21 GMT 2020,16,139655
Tue Aug  4 10:11:22 GMT 2020,16,139655
Tue Aug  4 10:11:22 GMT 2020,16,139640
Tue Aug  4 10:11:23 GMT 2020,16,153519
Tue Aug  4 10:11:23 GMT 2020,25,153531
Tue Aug  4 10:11:24 GMT 2020,25,153512
Tue Aug  4 10:11:24 GMT 2020,25,181149
Tue Aug  4 10:11:25 GMT 2020,25,189286
Tue Aug  4 10:11:25 GMT 2020,25,210792
Tue Aug  4 10:11:26 GMT 2020,25,210716
Tue Aug  4 10:11:26 GMT 2020,25,210841
Tue Aug  4 10:11:27 GMT 2020,25,216268
Tue Aug  4 10:11:27 GMT 2020,25,216264
Tue Aug  4 10:11:28 GMT 2020,25,216232
Tue Aug  4 10:11:29 GMT 2020,0,197476
Tue Aug  4 10:11:29 GMT 2020,0,209868
Tue Aug  4 10:11:30 GMT 2020,0,209868
Tue Aug  4 10:11:30 GMT 2020,0,209818
Tue Aug  4 10:11:31 GMT 2020,0,187848
Tue Aug  4 10:11:31 GMT 2020,0,187828
Tue Aug  4 10:11:32 GMT 2020,0,187797
Tue Aug  4 10:11:32 GMT 2020,0,188793
Tue Aug  4 10:11:33 GMT 2020,0,189805
Tue Aug  4 10:11:33 GMT 2020,0,189745
Tue Aug  4 10:11:34 GMT 2020,0,189703
Tue Aug  4 10:11:34 GMT 2020,25,240802
Tue Aug  4 10:11:35 GMT 2020,25,211948
Tue Aug  4 10:11:35 GMT 2020,25,213115
Tue Aug  4 10:11:36 GMT 2020,25,209847
Tue Aug  4 10:11:36 GMT 2020,25,212367
Tue Aug  4 10:11:37 GMT 2020,25,214809
Tue Aug  4 10:11:38 GMT 2020,25,201276
Tue Aug  4 10:11:39 GMT 2020,25,201268
Tue Aug  4 10:11:39 GMT 2020,25,201344
Tue Aug  4 10:11:40 GMT 2020,25,201364
Tue Aug  4 10:11:41 GMT 2020,25,243909
Tue Aug  4 10:11:41 GMT 2020,25,244271
Tue Aug  4 10:11:42 GMT 2020,25,244234
Tue Aug  4 10:11:43 GMT 2020,25,201475
Tue Aug  4 10:11:43 GMT 2020,25,200571
Tue Aug  4 10:11:44 GMT 2020,25,200505
Tue Aug  4 10:11:45 GMT 2020,25,235434
Tue Aug  4 10:11:46 GMT 2020,25,235452
Tue Aug  4 10:11:46 GMT 2020,25,234664
Tue Aug  4 10:11:47 GMT 2020,25,200984
Tue Aug  4 10:11:48 GMT 2020,25,200930
Tue Aug  4 10:11:48 GMT 2020,25,214490
