RUN_NUMBER,REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
1,990,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
1,319,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
1,323,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
1,330,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
1,322,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
1,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
2,800,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
2,282,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
2,318,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
2,391,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
2,336,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
2,4,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
3,1312,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
3,308,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
3,316,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
3,310,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
3,346,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
3,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
4,1031,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
4,239,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
4,316,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
4,347,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
4,329,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
4,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
5,811,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
5,285,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
5,327,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
5,291,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
5,323,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
5,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
6,999,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
6,249,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
6,328,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
6,250,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
6,324,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
6,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
7,797,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
7,272,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
7,338,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
7,345,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
7,323,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
7,1,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
8,805,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
8,293,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
8,330,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
8,301,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
8,334,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
8,3,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
9,1293,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
9,276,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
9,334,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
9,303,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
9,346,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
9,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
10,989,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
10,292,0,TRUE,200,"GET",5404,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=BD002&course=CFIEFAAF%2F02AA%2F0%2FFT&level=ALL+Courses"
10,328,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
10,354,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
10,328,0,TRUE,200,"GET",7859794,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/courses"
10,2,0,TRUE,200,"GET",8106,-2,"http/1.1","https://uob-timetable-api.adriankeenan.co.uk/sessions?dept=CM010&course=BSAIFAAF%2F02AA%2F0%2FFT&level=Foundation+Year"
