Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
59,2591716,60,5993,0,32,2
135,2592896,135,5993,0,133,28
234,2593324,235,5993,0,233,17
337,2593140,338,5993,0,335,16
439,2592872,440,5993,0,435,2
536,2593532,537,5993,0,535,18
638,2594532,638,5993,0,636,13
737,2593364,737,5993,0,735,20
840,2593612,841,5993,0,838,5
938,2594744,938,5993,0,936,21
1039,2594992,1040,5993,0,1037,16
1144,2594404,1145,5993,0,1139,12
1242,2594308,1243,5993,0,1240,17
1340,2593104,1340,5993,0,1338,20
1440,2592908,1441,5993,0,1439,13
1540,2592164,1541,5993,0,1539,2
1643,2593152,1643,5993,0,1641,14
1745,2592500,1745,5993,0,1742,15
1846,2590040,1848,5993,0,1843,14
1943,2588080,1943,5993,0,1941,11
2043,2588772,2044,5993,0,2042,12
2145,2589148,2146,5993,0,2143,18
2247,2588356,2249,5993,0,2245,12
2350,2588104,2352,5993,0,2346,5
2446,2588768,2447,5993,0,2444,15
2547,2588816,2548,5993,0,2545,15
2648,2588032,2649,5993,0,2646,18
2750,2588032,2751,5993,0,2748,3
2847,2589104,2848,5993,0,2846,17
2948,2589160,2949,5993,0,2947,13
3049,2588572,3050,5993,0,3048,15
3158,2588252,3160,5993,0,3155,3
3249,2589204,3249,5993,0,3248,15
3298,2588696,3299,5993,0,3297,18
3400,2588696,3402,5993,0,3399,14
3502,2587716,3503,5993,0,3500,12
3600,2588036,3601,5993,0,3599,7
3700,2589112,3700,5993,0,3699,25
3800,2588968,3801,5993,0,3799,27
3903,2588868,3904,5993,0,3901,16
4001,2598780,4001,5993,0,4000,35
4101,2610268,4101,5993,0,4100,38
4200,2588144,4201,5993,0,4200,38
4301,2590960,4302,5993,0,4301,19
4401,2586540,4402,5993,0,4401,20
4502,2587656,4502,5993,0,4501,29
4603,2588068,4603,5993,0,4602,10
4704,2588068,4705,5993,0,4703,20
4803,2588068,4803,5993,0,4803,24
4904,2587668,4904,5993,0,4903,10
5005,2589480,5006,5993,0,5004,22
5105,2591900,5105,5993,0,5104,31
5205,2600036,5205,5993,0,5204,32
5306,2615644,5307,5993,0,5305,23
5406,2629148,5406,5993,0,5405,32
5506,2646260,5506,5993,0,5505,22
5607,2628696,5607,5993,0,5606,29
5706,2637072,5707,5993,0,5706,32
5808,2656644,5809,5993,0,5807,21
5909,2633924,5910,5993,0,5908,43
6008,2634184,6009,5993,0,6008,33
6109,2633436,6109,5993,0,6108,25
6210,2633628,6210,5993,0,6209,26
6310,2634780,6310,5993,0,6309,32
6410,2634268,6410,5993,0,6409,34
6510,2633708,6511,5993,0,6510,28
6612,2633820,6612,5993,0,6611,18
6712,2634840,6713,5993,0,6711,28
6811,2634356,6812,5993,0,6811,33
6912,2629496,6912,5993,0,6911,30
7013,2629340,7013,5993,0,7012,17
7113,2630236,7114,5993,0,7112,30
7213,2630764,7213,5993,0,7212,31
7313,2631556,7313,5993,0,7312,36
7413,2631240,7413,5993,0,7412,25
7515,2632308,7515,5993,0,7514,26
7614,2633496,7614,5993,0,7613,29
7714,2633060,7715,5993,0,7714,35
7814,2633140,7815,5993,0,7814,30
7915,2633616,7915,5993,0,7914,20
8016,2635448,8017,5993,0,8015,33
8116,2637420,8116,5993,0,8115,33
8216,2636904,8216,5993,0,8215,35
8316,2636716,8317,5993,0,8315,30
8417,2636276,8417,5993,0,8416,24
8518,2637604,8519,5993,0,8517,34
8618,2638576,8618,5993,0,8617,31
8718,2623196,8718,5993,0,8717,28
8819,2623196,8819,5993,0,8818,17
8921,2622604,8921,5993,0,8919,3
9021,2623800,9022,5993,0,9020,10
9121,2624108,9122,5993,0,9120,12
9221,2623976,9221,5993,0,9220,13
9322,2624092,9322,5993,0,9321,15
9422,2623696,9423,5993,0,9421,10
9524,2623652,9525,5993,0,9523,3
9624,2624600,9624,5993,0,9623,14
9725,2624848,9725,5993,0,9723,15
9824,2624848,9825,5993,0,9823,16
9925,2624848,9925,5993,0,9924,16
10026,2624456,10027,5993,0,10025,9
10128,2624380,10128,5993,0,10126,10
10228,2625108,10229,5993,0,10227,18
10328,2624980,10328,5993,0,10326,16
10427,2625288,10428,5993,0,10427,19
10528,2625744,10528,5993,0,10527,25
10631,2626292,10632,5993,0,10629,17
10729,2627648,10729,5993,0,10728,30
10830,2629796,10831,5993,0,10829,27
10932,2627940,10932,5993,0,10930,31
11031,2626112,11031,5993,0,11029,30
11133,2624936,11133,5993,0,11131,14
11232,2625096,11233,5993,0,11231,26
11332,2625596,11333,5993,0,11331,30
11432,2625700,11432,5993,0,11431,28
11533,2625568,11533,5993,0,11532,24
11633,2626840,11633,5993,0,11632,33
11733,2628284,11734,5993,0,11732,17
11834,2630072,11834,5993,0,11833,32
11934,2620888,11934,5993,0,11933,28
12034,2620888,12035,5993,0,12033,19
12135,2621908,12135,5993,0,12134,24
12235,2623352,12236,5993,0,12234,20
12335,2624772,12336,5993,0,12334,28
12436,2625860,12436,5993,0,12435,29
12536,2625956,12536,5993,0,12535,35
12637,2625356,12637,5993,0,12636,28
12736,2625412,12737,5993,0,12736,44
12837,2632440,12837,5993,0,12836,30
12937,2632548,12938,5993,0,12937,17
13038,2632924,13038,5993,0,13037,37
13138,2632924,13139,5993,0,13137,20
13239,2635704,13239,5993,0,13238,31
13339,2639092,13339,5993,0,13338,31
13439,2638132,13439,5993,0,13438,32
13540,2655480,13540,5993,0,13539,36
13640,2656100,13640,5993,0,13639,35
13741,2657592,13741,5993,0,13740,23
13841,2658104,13841,5993,0,13840,32
13942,2658004,13942,5993,0,13941,24
14042,2658672,14042,5993,0,14041,28
14142,2658188,14142,5993,0,14141,18
14244,2658080,14244,5993,0,14243,0
14344,2658492,14344,5993,0,14343,17
14445,2659236,14445,5993,0,14443,15
14544,2659360,14544,5993,0,14543,15
14645,2659252,14645,5993,0,14644,15
14748,2659056,14748,5993,0,14745,6
14846,2659712,14846,5993,0,14845,37
14947,2660156,14948,5993,0,14945,23
15047,2659884,15047,5993,0,15045,25
15147,2658272,15147,5993,0,15146,18
15249,2658232,15250,5993,0,15248,20
15351,2659476,15352,5993,0,15350,35
15449,2659800,15449,5993,0,15448,21
15549,2659868,15550,5993,0,15548,15
15650,2659168,15650,5993,0,15649,14
15751,2659168,15752,5993,0,15750,2
