Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
36,2637568,37,367357,0,91,27
93,2638372,94,367357,0,191,17
193,2639412,193,367357,0,291,23
292,2635388,293,367357,0,393,2
396,2635636,396,367357,0,492,18
494,2636032,494,367357,0,596,20
598,2635996,600,367357,0,695,13
699,2636056,701,367357,0,796,11
799,2636676,801,367357,0,894,17
896,2637260,897,367357,0,994,28
996,2635612,996,367357,0,1096,19
1098,2635508,1100,367357,0,1198,24
1200,2635740,1201,367357,0,1296,16
1298,2635792,1299,367357,0,1397,16
1398,2636064,1399,367357,0,1499,6
1501,2635280,1501,367357,0,1598,8
1601,2636916,1601,367357,0,1698,20
1700,2639292,1700,367357,0,1800,13
1802,2639292,1802,367357,0,1902,13
1905,2638784,1906,367357,0,2000,9
2003,2639232,2004,367357,0,2100,16
2102,2639884,2102,367357,0,2203,12
2206,2639884,2208,367357,0,2303,20
2306,2639100,2308,367357,0,2404,8
2406,2639152,2407,367357,0,2504,20
2506,2640008,2506,367357,0,2605,16
2606,2640104,2607,367357,0,2707,13
2709,2639460,2710,367357,0,2810,6
2816,2639224,2818,367357,0,2906,20
2909,2640032,2910,367357,0,3006,16
3008,2640144,3009,367357,0,3108,17
3111,2639556,3112,367357,0,3210,5
3216,2639360,3217,367357,0,3308,20
3312,2640736,3313,367357,0,3407,24
3409,2649940,3409,367357,0,3507,28
3509,2653992,3509,367357,0,3608,13
3610,2660388,3610,367357,0,3708,28
3710,2639272,3711,367357,0,3809,22
3810,2639644,3810,367357,0,3912,20
3914,2640092,3915,367357,0,4011,22
4014,2641108,4015,367357,0,4110,38
4112,2643332,4112,367357,0,4210,25
4211,2644520,4211,367357,0,4310,9
4312,2643932,4312,367357,0,4411,23
4412,2638836,4413,367357,0,4511,25
4513,2638052,4513,367357,0,4611,20
4612,2638352,4612,367357,0,4712,8
4713,2638684,4713,367357,0,4812,16
4813,2639640,4813,367357,0,4912,14
4913,2639640,4913,367357,0,5013,3
5013,2639248,5013,367357,0,5114,11
5115,2639488,5116,367357,0,5214,14
5215,2640068,5215,367357,0,5315,15
5315,2640068,5315,367357,0,5414,5
5415,2639896,5415,367357,0,5515,24
5515,2641156,5516,367357,0,5615,28
5615,2642308,5616,367357,0,5715,20
5716,2642380,5716,367357,0,5816,24
5816,2642816,5816,367357,0,5916,28
5917,2641788,5917,367357,0,6016,19
6017,2641596,6017,367357,0,6117,19
6118,2637572,6118,367357,0,6217,37
6218,2639388,6218,367357,0,6318,32
6318,2639740,6318,367357,0,6418,22
6419,2640976,6419,367357,0,6518,36
6519,2641736,6519,367357,0,6619,30
6619,2643560,6619,367357,0,6719,9
6720,2638396,6720,367357,0,6820,24
6820,2637592,6821,367357,0,6920,35
6920,2640400,6921,367357,0,7020,30
7020,2641032,7021,367357,0,7120,12
7120,2640836,7121,367357,0,7221,25
7223,2641404,7223,367357,0,7321,24
7322,2641460,7322,367357,0,7421,15
7422,2640676,7422,367357,0,7523,2
7524,2640428,7525,367357,0,7623,15
7624,2641332,7624,367357,0,7723,20
7723,2641864,7724,367357,0,7823,24
7824,2643116,7824,367357,0,7924,14
7926,2643912,7926,367357,0,8024,28
8025,2645064,8025,367357,0,8124,36
8125,2644548,8125,367357,0,8225,27
8225,2645584,8225,367357,0,8325,14
8326,2641588,8326,367357,0,8425,27
8426,2642388,8427,367357,0,8526,23
8526,2643020,8527,367357,0,8626,14
8628,2644336,8628,367357,0,8726,29
8727,2647544,8727,367357,0,8827,35
8827,2647748,8828,367357,0,8927,18
8928,2646904,8928,367357,0,9028,32
9029,2645352,9029,367357,0,9129,44
9130,2647080,9130,367357,0,9229,37
9230,2647628,9231,367357,0,9330,27
9331,2648964,9332,367357,0,9430,48
9431,2646804,9431,367357,0,9530,31
9531,2648168,9531,367357,0,9631,25
9632,2644520,9632,367357,0,9731,22
9732,2645944,9732,367357,0,9833,35
9833,2647296,9834,367357,0,9933,37
9934,2648424,9934,367357,0,10034,21
10035,2649672,10035,367357,0,10134,16
10135,2651108,10135,367357,0,10234,20
10235,2646600,10236,367357,0,10335,0
10335,2645984,10336,367357,0,10436,5
10436,2645832,10436,367357,0,10536,24
10536,2646164,10537,367357,0,10636,16
10637,2646060,10637,367357,0,10736,15
10737,2646052,10737,367357,0,10838,2
10839,2641640,10839,367357,0,10938,10
10938,2641828,10939,367357,0,11038,15
11039,2641732,11039,367357,0,11138,23
11139,2641968,11139,367357,0,11238,12
11239,2641660,11239,367357,0,11340,21
11341,2642332,11342,367357,0,11439,31
11440,2643860,11440,367357,0,11539,30
11540,2644540,11540,367357,0,11640,28
11641,2644784,11641,367357,0,11740,37
11741,2646696,11741,367357,0,11840,30
11841,2647464,11841,367357,0,11941,25
11941,2647784,11942,367357,0,12041,25
12042,2642204,12042,367357,0,12143,11
12144,2642056,12145,367357,0,12243,31
12243,2641928,12244,367357,0,12343,23
12343,2641780,12344,367357,0,12443,14
12444,2640892,12444,367357,0,12544,9
12545,2640808,12546,367357,0,12644,17
12645,2641616,12646,367357,0,12744,18
12745,2641508,12745,367357,0,12844,17
12845,2641160,12845,367357,0,12946,6
12947,2641260,12948,367357,0,13046,32
13047,2642128,13048,367357,0,13146,30
13147,2643120,13148,367357,0,13247,28
13248,2642628,13248,367357,0,13348,20
13350,2643372,13350,367357,0,13448,32
13448,2646000,13449,367357,0,13548,33
13548,2645064,13549,367357,0,13648,16
13648,2645556,13649,367357,0,13748,15
13749,2640372,13749,367357,0,13849,28
13849,2640456,13850,367357,0,13949,27
13950,2640528,13950,367357,0,14049,16
14050,2640736,14051,367357,0,14150,10
14151,2640956,14152,367357,0,14251,19
14252,2642416,14252,367357,0,14350,15
14351,2642268,14352,367357,0,14451,29
14451,2642040,14451,367357,0,14551,24
14552,2642604,14552,367357,0,14651,43
14652,2643888,14652,367357,0,14752,34
14752,2645552,14753,367357,0,14852,21
14853,2645828,14853,367357,0,14953,21
14954,2647124,14954,367357,0,15053,35
15054,2648232,15054,367357,0,15153,33
15154,2648728,15155,367357,0,15254,41
15256,2650208,15256,367357,0,15355,30
15357,2649388,15358,367357,0,15455,37
15456,2651284,15457,367357,0,15555,30
15556,2645904,15557,367357,0,15656,14
15658,2645916,15658,367357,0,15757,32
15758,2646324,15758,367357,0,15857,27
15858,2646852,15858,367357,0,15957,24
15958,2646404,15958,367357,0,16058,15
16059,2646888,16060,367357,0,16159,27
16160,2648076,16160,367357,0,16258,16
16260,2647928,16260,367357,0,16359,13
16359,2647484,16359,367357,0,16459,6
16460,2647748,16460,367357,0,16559,30
16560,2649028,16560,367357,0,16660,30
16660,2649836,16660,367357,0,16760,22
16760,2650028,16761,367357,0,16860,21
16861,2650956,16861,367357,0,16961,32
16961,2652720,16962,367357,0,17061,41
17062,2653084,17062,367357,0,17162,16
17162,2653152,17162,367357,0,17262,19
17263,2648420,17263,367357,0,17362,31
17363,2649364,17363,367357,0,17463,20
17464,2649364,17464,367357,0,17564,17
17564,2649336,17565,367357,0,17664,28
17665,2651584,17665,367357,0,17764,41
17765,2651956,17765,367357,0,17865,22
17866,2651980,17866,367357,0,17965,31
17966,2653684,17966,367357,0,18067,30
18068,2668980,18068,367357,0,18167,35
18168,2650324,18168,367357,0,18267,30
18268,2652572,18268,367357,0,18367,6
18368,2652124,18369,367357,0,18469,7
18470,2652948,18471,367357,0,18568,17
18569,2653172,18569,367357,0,18669,19
18670,2653096,18670,367357,0,18769,17
18770,2652872,18771,367357,0,18871,2
18872,2652872,18873,367357,0,18971,17
18973,2653320,18973,367357,0,19071,24
19071,2649352,19072,367357,0,19171,17
19172,2649576,19173,367357,0,19273,12
19275,2649132,19275,367357,0,19374,22
19375,2649500,19376,367357,0,19474,30
19475,2649924,19475,367357,0,19574,22
19575,2649860,19576,367357,0,19675,24
19676,2650088,19676,367357,0,19776,23
19777,2648832,19778,367357,0,19877,14
19878,2649128,19879,367357,0,19977,15
19978,2649128,19979,367357,0,20077,16
20079,2648980,20079,367357,0,20178,14
20179,2648536,20179,367357,0,20279,7
20279,2648620,20280,367357,0,20379,20
20380,2649428,20380,367357,0,20480,15
20482,2649652,20483,367357,0,20580,25
20581,2647852,20581,367357,0,20680,10
20682,2647380,20682,367357,0,20781,13
20782,2647804,20782,367357,0,20881,18
20882,2648000,20882,367357,0,20982,16
20983,2648000,20983,367357,0,21082,21
21083,2647852,21083,367357,0,21182,14
21183,2647408,21184,367357,0,21283,5
21283,2647408,21284,367357,0,21383,22
21384,2648348,21385,367357,0,21484,15
21486,2648576,21486,367357,0,21584,17
21585,2648352,21585,367357,0,21685,14
21686,2648080,21686,367357,0,21786,9
21787,2648136,21787,367357,0,21886,14
21887,2648240,21888,367357,0,21986,17
21987,2648240,21987,367357,0,22087,20
22087,2648240,22088,367357,0,22188,8
22190,2647852,22190,367357,0,22288,0
22289,2648364,22290,367357,0,22389,17
22390,2648640,22391,367357,0,22489,21
22489,2648888,22490,367357,0,22589,11
22590,2648600,22590,367357,0,22690,7
22691,2648664,22692,367357,0,22790,16
22791,2649208,22792,367357,0,22891,16
22892,2649208,22893,367357,0,22991,15
22992,2649208,22992,367357,0,23092,7
23093,2648620,23093,367357,0,23193,10
23194,2648620,23195,367357,0,23293,25
23294,2649732,23294,367357,0,23393,28
23394,2650444,23394,0,0,23494,28
23494,2651292,23495,0,0,23597,20
23600,2651632,23600,0,0,23695,31
23696,2654336,23696,0,0,23796,23
23796,2651824,23797,0,0,23896,12
