Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,157892,2459932.5126903555,854928.8439086295,854928.8439086295,27.93718274111675,1938658.7884892086,1938658.7884892086
2,156706,2639366.3222506396,1749581.5664961636,690209.418797954,30.6045940142987,2182093.7559808614,860835.3516746411
3,148339,2653598.4243243244,758675.9979729729,755379.6195945946,20.293243243243243,758675.9979729729,755379.6195945946
4,156117,2595608.59563543,793178.241335045,793178.241335045,27.00448470027569,1989970.5314009662,1989970.5314009662
5,162709,2581215.8103448274,430109.5671182266,430109.5671182266,33.34256283518164,945193.4194857916,945193.4194857916
6,162205,2468304.7985166875,238751.46971646234,238751.46971646234,31.652430704634664,377614.73900414084,377614.73900414084
7,161227,2554873.904288378,381798.3325046613,381798.3325046613,31.172251640766802,659134.6748927039,659134.6748927039
8,159612,2440351.4802259887,949575.5455116133,949575.5455116133,29.78327972071788,1337465.8213969937,1337465.8213969937
9,159698,2471704.4190715184,219811.51944792975,219811.51944792975,30.32578844128468,641720.8095238095,641720.8095238095
10,159208,2482656.062932662,222549.27123977343,222549.27123977343,29.715983193137525,1140744.4903225806,1140744.4903225806
