datetime,cpu,mem
Tue Aug  4 19:16:59 GMT 2020,0.1,102383
Tue Aug  4 19:17:00 GMT 2020,0.1,106677
Tue Aug  4 19:17:00 GMT 2020,0.1,106984
Tue Aug  4 19:17:00 GMT 2020,0.1,107191
Tue Aug  4 19:17:01 GMT 2020,0.1,107191
Tue Aug  4 19:17:01 GMT 2020,0.1,107191
Tue Aug  4 19:17:01 GMT 2020,0.1,107191
Tue Aug  4 19:17:02 GMT 2020,0.1,107191
Tue Aug  4 19:17:02 GMT 2020,0.1,107191
Tue Aug  4 19:17:03 GMT 2020,0.1,107187
Tue Aug  4 19:17:03 GMT 2020,0.1,107187
Tue Aug  4 19:17:04 GMT 2020,0.1,107187
Tue Aug  4 19:17:04 GMT 2020,0.1,106723
Tue Aug  4 19:17:04 GMT 2020,0.1,109635
Tue Aug  4 19:17:05 GMT 2020,0.1,94237
Tue Aug  4 19:17:05 GMT 2020,0.1,111405
Tue Aug  4 19:17:05 GMT 2020,0.1,115870
Tue Aug  4 19:17:06 GMT 2020,0.1,118089
Tue Aug  4 19:17:06 GMT 2020,0.1,117998
Tue Aug  4 19:17:06 GMT 2020,0.1,117986
Tue Aug  4 19:17:07 GMT 2020,0.1,117987
Tue Aug  4 19:17:07 GMT 2020,0.1,117967
Tue Aug  4 19:17:08 GMT 2020,0.1,117943
Tue Aug  4 19:17:08 GMT 2020,0.1,117943
Tue Aug  4 19:17:09 GMT 2020,0.1,117095
Tue Aug  4 19:17:09 GMT 2020,0.1,117115
Tue Aug  4 19:17:09 GMT 2020,0.1,117128
Tue Aug  4 19:17:10 GMT 2020,0.1,117137
Tue Aug  4 19:17:10 GMT 2020,0.1,117141
Tue Aug  4 19:17:11 GMT 2020,0.1,117141
Tue Aug  4 19:17:11 GMT 2020,0.1,117145
Tue Aug  4 19:17:12 GMT 2020,0.1,117145
Tue Aug  4 19:17:12 GMT 2020,0.1,117145
Tue Aug  4 19:17:12 GMT 2020,0.1,117145
Tue Aug  4 19:17:13 GMT 2020,0.1,117145
Tue Aug  4 19:17:13 GMT 2020,0.1,117149
Tue Aug  4 19:17:14 GMT 2020,0.1,117121
Tue Aug  4 19:17:14 GMT 2020,0.1,117137
Tue Aug  4 19:17:15 GMT 2020,0.1,117074
Tue Aug  4 19:17:15 GMT 2020,0.1,119728
Tue Aug  4 19:17:15 GMT 2020,0.1,143378
Tue Aug  4 19:17:16 GMT 2020,0.1,188202
Tue Aug  4 19:17:16 GMT 2020,0.1,188978
Tue Aug  4 19:17:17 GMT 2020,0.1,189004
Tue Aug  4 19:17:17 GMT 2020,0.1,189260
Tue Aug  4 19:17:18 GMT 2020,0.1,188160
Tue Aug  4 19:17:18 GMT 2020,0.1,188416
Tue Aug  4 19:17:19 GMT 2020,0.1,188636
Tue Aug  4 19:17:19 GMT 2020,0.1,188142
Tue Aug  4 19:17:20 GMT 2020,0.1,188178
Tue Aug  4 19:17:20 GMT 2020,0.1,188194
Tue Aug  4 19:17:21 GMT 2020,0.1,188222
Tue Aug  4 19:17:22 GMT 2020,0.1,188278
Tue Aug  4 19:17:22 GMT 2020,0.1,188286
Tue Aug  4 19:17:23 GMT 2020,0.1,188370
Tue Aug  4 19:17:24 GMT 2020,0.1,188370
Tue Aug  4 19:17:24 GMT 2020,0.1,188046
Tue Aug  4 19:17:25 GMT 2020,0.1,188062
Tue Aug  4 19:17:25 GMT 2020,0.1,188070
Tue Aug  4 19:17:26 GMT 2020,0.1,188074
Tue Aug  4 19:17:26 GMT 2020,0.1,188074
Tue Aug  4 19:17:27 GMT 2020,0.1,188033
Tue Aug  4 19:17:27 GMT 2020,0.1,187247
Tue Aug  4 19:17:28 GMT 2020,0.1,187010
Tue Aug  4 19:17:28 GMT 2020,0.1,188923
Tue Aug  4 19:17:29 GMT 2020,0.1,188105
Tue Aug  4 19:17:29 GMT 2020,0.1,187471
Tue Aug  4 19:17:30 GMT 2020,0.1,190781
Tue Aug  4 19:17:30 GMT 2020,0.1,192429
Tue Aug  4 19:17:31 GMT 2020,0.1,192795
Tue Aug  4 19:17:31 GMT 2020,0.1,193099
Tue Aug  4 19:17:32 GMT 2020,0.1,193355
Tue Aug  4 19:17:33 GMT 2020,0.1,193515
Tue Aug  4 19:17:33 GMT 2020,0.1,193511
Tue Aug  4 19:17:34 GMT 2020,0.1,193458
Tue Aug  4 19:17:35 GMT 2020,0.1,192199
Tue Aug  4 19:17:35 GMT 2020,0.1,192071
Tue Aug  4 19:17:36 GMT 2020,0.1,192108
Tue Aug  4 19:17:36 GMT 2020,0.1,191662
Tue Aug  4 19:17:37 GMT 2020,0.1,192262
Tue Aug  4 19:17:38 GMT 2020,0.1,192492
Tue Aug  4 19:17:38 GMT 2020,0.1,208433
Tue Aug  4 19:17:39 GMT 2020,0.1,192510
Tue Aug  4 19:17:39 GMT 2020,0.1,192494
Tue Aug  4 19:17:40 GMT 2020,0.1,192274
