datetime,cpu,mem
Mon Aug  3 23:49:43 GMT 2020,0,73933
Mon Aug  3 23:49:43 GMT 2020,0,76888
Mon Aug  3 23:49:44 GMT 2020,0,93609
Mon Aug  3 23:49:44 GMT 2020,0,135749
Mon Aug  3 23:49:45 GMT 2020,0,197033
Mon Aug  3 23:49:45 GMT 2020,0,215340
Mon Aug  3 23:49:46 GMT 2020,0,208355
Mon Aug  3 23:49:46 GMT 2020,0,201723
Mon Aug  3 23:49:46 GMT 2020,0,221888
Mon Aug  3 23:49:47 GMT 2020,0,228570
Mon Aug  3 23:49:47 GMT 2020,0,227314
Mon Aug  3 23:49:48 GMT 2020,0,227362
Mon Aug  3 23:49:48 GMT 2020,0,226126
Mon Aug  3 23:49:49 GMT 2020,0,226147
Mon Aug  3 23:49:49 GMT 2020,0,226229
Mon Aug  3 23:49:50 GMT 2020,0,226231
Mon Aug  3 23:49:50 GMT 2020,0,227241
Mon Aug  3 23:49:50 GMT 2020,0,240482
Mon Aug  3 23:49:51 GMT 2020,0,240621
Mon Aug  3 23:49:51 GMT 2020,0,239821
Mon Aug  3 23:49:52 GMT 2020,0,239825
Mon Aug  3 23:49:52 GMT 2020,0,239825
Mon Aug  3 23:49:53 GMT 2020,0,239825
Mon Aug  3 23:49:53 GMT 2020,0,239815
Mon Aug  3 23:49:54 GMT 2020,0,239699
Mon Aug  3 23:49:54 GMT 2020,0,239741
Mon Aug  3 23:49:55 GMT 2020,0,240372
Mon Aug  3 23:49:55 GMT 2020,0,232071
Mon Aug  3 23:49:56 GMT 2020,0,254991
Mon Aug  3 23:49:56 GMT 2020,0,243296
Mon Aug  3 23:49:57 GMT 2020,0,244004
Mon Aug  3 23:49:57 GMT 2020,0,244396
Mon Aug  3 23:49:58 GMT 2020,0,244392
Mon Aug  3 23:49:58 GMT 2020,0,244392
Mon Aug  3 23:49:59 GMT 2020,0,243292
Mon Aug  3 23:49:59 GMT 2020,0,243289
Mon Aug  3 23:50:00 GMT 2020,0,226301
Mon Aug  3 23:50:00 GMT 2020,0,242590
Mon Aug  3 23:50:01 GMT 2020,0,242591
Mon Aug  3 23:50:01 GMT 2020,0,242958
Mon Aug  3 23:50:02 GMT 2020,0,260034
Mon Aug  3 23:50:02 GMT 2020,0,253631
Mon Aug  3 23:50:03 GMT 2020,0,249303
Mon Aug  3 23:50:04 GMT 2020,0,249092
Mon Aug  3 23:50:04 GMT 2020,0,215771
Mon Aug  3 23:50:05 GMT 2020,0,211735
Mon Aug  3 23:50:05 GMT 2020,0,211287
Mon Aug  3 23:50:06 GMT 2020,0,211273
Mon Aug  3 23:50:06 GMT 2020,0,228506
Mon Aug  3 23:50:07 GMT 2020,0,228490
Mon Aug  3 23:50:07 GMT 2020,0,228490
Mon Aug  3 23:50:08 GMT 2020,0,228486
Mon Aug  3 23:50:08 GMT 2020,0,228466
Mon Aug  3 23:50:09 GMT 2020,0,210954
Mon Aug  3 23:50:09 GMT 2020,0,227626
Mon Aug  3 23:50:10 GMT 2020,0,227619
Mon Aug  3 23:50:10 GMT 2020,0,245466
Mon Aug  3 23:50:11 GMT 2020,0,229654
Mon Aug  3 23:50:12 GMT 2020,0,229651
Mon Aug  3 23:50:12 GMT 2020,0,246347
Mon Aug  3 23:50:13 GMT 2020,0,247407
Mon Aug  3 23:50:13 GMT 2020,0,247407
Mon Aug  3 23:50:14 GMT 2020,0,247407
Mon Aug  3 23:50:14 GMT 2020,0,246343
Mon Aug  3 23:50:15 GMT 2020,0,246303
Mon Aug  3 23:50:16 GMT 2020,0,228907
Mon Aug  3 23:50:16 GMT 2020,0,228511
Mon Aug  3 23:50:17 GMT 2020,0,228512
Mon Aug  3 23:50:17 GMT 2020,0,228691
Mon Aug  3 23:50:17 GMT 2020,0,228659
Mon Aug  3 23:50:18 GMT 2020,0,228657
Mon Aug  3 23:50:19 GMT 2020,0,245577
Mon Aug  3 23:50:19 GMT 2020,0,245543
Mon Aug  3 23:50:20 GMT 2020,0,245443
Mon Aug  3 23:50:20 GMT 2020,0,245451
Mon Aug  3 23:50:21 GMT 2020,0,245455
Mon Aug  3 23:50:21 GMT 2020,0,245455
Mon Aug  3 23:50:22 GMT 2020,0,245451
Mon Aug  3 23:50:23 GMT 2020,0,245447
Mon Aug  3 23:50:23 GMT 2020,0,245410
Mon Aug  3 23:50:24 GMT 2020,0,231716
Mon Aug  3 23:50:24 GMT 2020,0,230028
Mon Aug  3 23:50:25 GMT 2020,0,230040
Mon Aug  3 23:50:25 GMT 2020,0,247764
Mon Aug  3 23:50:26 GMT 2020,0,247764
Mon Aug  3 23:50:27 GMT 2020,0,247764
Mon Aug  3 23:50:27 GMT 2020,0,247768
Mon Aug  3 23:50:28 GMT 2020,0,247769
Mon Aug  3 23:50:28 GMT 2020,0,212776
Mon Aug  3 23:50:29 GMT 2020,0,228936
Mon Aug  3 23:50:29 GMT 2020,0,228921
Mon Aug  3 23:50:30 GMT 2020,0,228607
Mon Aug  3 23:50:30 GMT 2020,0,228792
Mon Aug  3 23:50:31 GMT 2020,0,228780
Mon Aug  3 23:50:32 GMT 2020,0,245360
Mon Aug  3 23:50:32 GMT 2020,0,248739
Mon Aug  3 23:50:33 GMT 2020,0,278398
Mon Aug  3 23:50:33 GMT 2020,0,378897
Mon Aug  3 23:50:34 GMT 2020,0,384873
Mon Aug  3 23:50:34 GMT 2020,0,384869
Mon Aug  3 23:50:35 GMT 2020,0,384666
Mon Aug  3 23:50:36 GMT 2020,0,369552
Mon Aug  3 23:50:36 GMT 2020,0,369596
Mon Aug  3 23:50:37 GMT 2020,0,369592
Mon Aug  3 23:50:38 GMT 2020,0,369588
Mon Aug  3 23:50:39 GMT 2020,0,369588
Mon Aug  3 23:50:39 GMT 2020,0,369586
Mon Aug  3 23:50:40 GMT 2020,0,369427
Mon Aug  3 23:50:41 GMT 2020,0,369592
Mon Aug  3 23:50:41 GMT 2020,0,369576
Mon Aug  3 23:50:42 GMT 2020,0,386213
Mon Aug  3 23:50:42 GMT 2020,0,436545
Mon Aug  3 23:50:43 GMT 2020,0,425464
Mon Aug  3 23:50:43 GMT 2020,0,433760
Mon Aug  3 23:50:44 GMT 2020,0,434017
Mon Aug  3 23:50:45 GMT 2020,0,450843
Mon Aug  3 23:50:45 GMT 2020,0,428102
Mon Aug  3 23:50:46 GMT 2020,0,378018
Mon Aug  3 23:50:47 GMT 2020,0,371181
Mon Aug  3 23:50:47 GMT 2020,0,359937
Mon Aug  3 23:50:48 GMT 2020,0,380213
Mon Aug  3 23:50:49 GMT 2020,0,396633
Mon Aug  3 23:50:49 GMT 2020,0,380573
Mon Aug  3 23:50:50 GMT 2020,0,397025
Mon Aug  3 23:50:51 GMT 2020,0,397603
Mon Aug  3 23:50:51 GMT 2020,0,408915
Mon Aug  3 23:50:52 GMT 2020,0,404655
Mon Aug  3 23:50:53 GMT 2020,0,404643
Mon Aug  3 23:50:54 GMT 2020,0,404643
Mon Aug  3 23:50:54 GMT 2020,0,404623
Mon Aug  3 23:50:55 GMT 2020,0,404619
Mon Aug  3 23:50:56 GMT 2020,0,383323
Mon Aug  3 23:50:56 GMT 2020,0,382923
Mon Aug  3 23:50:57 GMT 2020,0,399524
Mon Aug  3 23:50:58 GMT 2020,0,432451
Mon Aug  3 23:50:59 GMT 2020,0,384079
Mon Aug  3 23:50:59 GMT 2020,0,384079
Mon Aug  3 23:51:00 GMT 2020,0,384079
Mon Aug  3 23:51:01 GMT 2020,0,383679
Mon Aug  3 23:51:01 GMT 2020,0,383695
Mon Aug  3 23:51:02 GMT 2020,0,383592
Mon Aug  3 23:51:03 GMT 2020,0,383066
Mon Aug  3 23:51:04 GMT 2020,0,382246
Mon Aug  3 23:51:04 GMT 2020,0,398831
Mon Aug  3 23:51:05 GMT 2020,0,420646
Mon Aug  3 23:51:05 GMT 2020,0,431793
Mon Aug  3 23:51:06 GMT 2020,0,450729
Mon Aug  3 23:51:07 GMT 2020,0,450393
Mon Aug  3 23:51:07 GMT 2020,0,450397
Mon Aug  3 23:51:08 GMT 2020,0,450739
Mon Aug  3 23:51:09 GMT 2020,0,460185
Mon Aug  3 23:51:09 GMT 2020,0,459305
Mon Aug  3 23:51:10 GMT 2020,0,459837
Mon Aug  3 23:51:11 GMT 2020,0,460037
Mon Aug  3 23:51:11 GMT 2020,0,459690
Mon Aug  3 23:51:12 GMT 2020,0,459766
Mon Aug  3 23:51:13 GMT 2020,0,459734
Mon Aug  3 23:51:13 GMT 2020,0,420514
Mon Aug  3 23:51:14 GMT 2020,0,415774
Mon Aug  3 23:51:15 GMT 2020,0,452067
Mon Aug  3 23:51:16 GMT 2020,0,452706
Mon Aug  3 23:51:16 GMT 2020,0,447639
Mon Aug  3 23:51:17 GMT 2020,0,447371
Mon Aug  3 23:51:18 GMT 2020,0,447120
Mon Aug  3 23:51:19 GMT 2020,0,447656
Mon Aug  3 23:51:19 GMT 2020,0,447753
Mon Aug  3 23:51:20 GMT 2020,0,457204
Mon Aug  3 23:51:21 GMT 2020,0,457200
Mon Aug  3 23:51:22 GMT 2020,0,457232
Mon Aug  3 23:51:22 GMT 2020,0,457422
Mon Aug  3 23:51:23 GMT 2020,0,456824
Mon Aug  3 23:51:24 GMT 2020,0,456744
Mon Aug  3 23:51:25 GMT 2020,0,456744
Mon Aug  3 23:51:26 GMT 2020,0,456744
Mon Aug  3 23:51:26 GMT 2020,0,456748
Mon Aug  3 23:51:27 GMT 2020,0,456669
Mon Aug  3 23:51:28 GMT 2020,0,440108
Mon Aug  3 23:51:29 GMT 2020,0,440077
Mon Aug  3 23:51:29 GMT 2020,0,462745
Mon Aug  3 23:51:30 GMT 2020,0,531516
Mon Aug  3 23:51:31 GMT 2020,0,502988
Mon Aug  3 23:51:31 GMT 2020,0,502860
Mon Aug  3 23:51:32 GMT 2020,0,502989
Mon Aug  3 23:51:33 GMT 2020,0,496084
Mon Aug  3 23:51:33 GMT 2020,0,446005
Mon Aug  3 23:51:34 GMT 2020,0,439077
Mon Aug  3 23:51:35 GMT 2020,0,448033
Mon Aug  3 23:51:36 GMT 2020,0,468339
Mon Aug  3 23:51:36 GMT 2020,0,448295
Mon Aug  3 23:51:37 GMT 2020,0,448571
Mon Aug  3 23:51:38 GMT 2020,0,464984
Mon Aug  3 23:51:39 GMT 2020,0,449922
Mon Aug  3 23:51:40 GMT 2020,0,449950
Mon Aug  3 23:51:41 GMT 2020,0,449930
Mon Aug  3 23:51:41 GMT 2020,0,449930
Mon Aug  3 23:51:42 GMT 2020,0,449890
Mon Aug  3 23:51:43 GMT 2020,0,449794
Mon Aug  3 23:51:44 GMT 2020,0,449698
Mon Aug  3 23:51:44 GMT 2020,0,449101
Mon Aug  3 23:51:45 GMT 2020,0,466263
Mon Aug  3 23:51:46 GMT 2020,0,450699
Mon Aug  3 23:51:47 GMT 2020,0,450703
Mon Aug  3 23:51:47 GMT 2020,0,450535
Mon Aug  3 23:51:48 GMT 2020,0,450551
Mon Aug  3 23:51:49 GMT 2020,0,450555
Mon Aug  3 23:51:50 GMT 2020,0,450493
Mon Aug  3 23:51:51 GMT 2020,0,449518
Mon Aug  3 23:51:51 GMT 2020,0,448786
Mon Aug  3 23:51:52 GMT 2020,0,465675
Mon Aug  3 23:51:53 GMT 2020,0,437199
Mon Aug  3 23:51:54 GMT 2020,0,470654
Mon Aug  3 23:51:54 GMT 2020,0,470658
Mon Aug  3 23:51:55 GMT 2020,0,470654
Mon Aug  3 23:51:56 GMT 2020,0,504694
Mon Aug  3 23:51:57 GMT 2020,0,479160
Mon Aug  3 23:51:57 GMT 2020,0,479552
Mon Aug  3 23:51:58 GMT 2020,0,479720
Mon Aug  3 23:51:59 GMT 2020,0,479802
Mon Aug  3 23:51:59 GMT 2020,0,479862
Mon Aug  3 23:52:00 GMT 2020,0,479846
Mon Aug  3 23:52:01 GMT 2020,0,462486
Mon Aug  3 23:52:02 GMT 2020,0,453299
Mon Aug  3 23:52:03 GMT 2020,0,469888
Mon Aug  3 23:52:04 GMT 2020,0,470407
Mon Aug  3 23:52:04 GMT 2020,0,465101
Mon Aug  3 23:52:05 GMT 2020,0,465049
Mon Aug  3 23:52:06 GMT 2020,0,464806
Mon Aug  3 23:52:07 GMT 2020,0,464790
