Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
23,2344316,23,0,0,89,22
90,2344316,91,0,0,189,18
190,2345520,191,0,0,289,17
291,2345784,291,0,0,392,13
394,2345392,395,0,0,492,8
496,2345392,497,0,0,591,27
592,2346924,596,0,0,691,31
692,2351472,692,0,0,792,39
793,2360328,794,0,0,897,28
899,2375768,901,0,0,992,41
995,2396416,996,0,0,1093,35
1094,2418236,1094,3220036,3220036,1194,37
1196,2441400,1196,3220036,3220036,1294,29
1297,2457740,1297,3220036,3220036,1394,28
1395,2460800,1396,3220036,3220036,1494,39
1495,2469180,1495,3220036,3220036,1594,29
1595,2471092,1596,3220036,3220036,1694,38
1696,2475696,1697,3220036,3220036,1795,17
1796,2481720,1797,3220036,3220036,1897,29
1898,2485456,1899,3220036,3220036,1997,19
1998,2485744,1998,3220036,3220036,2101,23
2104,2487468,2105,3220036,3220036,2200,43
2200,2482424,2201,3220036,3220036,2299,33
2300,2447296,2301,3220036,3220036,2400,33
2401,2450096,2402,3220036,3220036,2500,31
2501,2453924,2502,3220036,3220036,2601,30
2602,2458356,2602,3220036,3220036,2702,33
2704,2463060,2706,3220036,3220036,2802,35
2803,2470908,2803,3220036,3220036,2902,42
2902,2476232,2903,3220036,3220036,3002,33
3003,2476068,3003,3220036,3220036,3103,28
3104,2477924,3105,3220036,3220036,3203,12
3204,2479972,3205,3220036,3220036,3303,22
3304,2482260,3305,3220036,3220036,3403,32
3404,2484524,3405,3220036,3220036,3505,23
3506,2483980,3507,3220036,3220036,3607,14
3609,2486264,3610,3220036,3220036,3705,21
3706,2487232,3707,3220036,3220036,3806,32
3807,2487764,3808,3220036,3220036,3906,31
3907,2488180,3908,3220036,3220036,4008,21
4009,2487624,4010,3220036,3220036,4109,5
4111,2487624,4112,3220036,3220036,4207,20
4208,2488440,4209,3220036,3220036,4313,17
4314,2488440,4316,3220036,3220036,4410,22
4411,2488440,4414,3220036,3220036,4510,13
4514,2482952,4515,3220036,3220036,4610,11
4611,2482620,4612,3220036,3220036,4711,25
4712,2486688,4712,3220036,3220036,4810,28
4811,2500744,4812,3220036,3220036,4910,26
4911,2480300,4912,3220036,3220036,5012,8
5013,2480276,5014,3220036,3220036,5112,19
5113,2480216,5114,3220036,3220036,5214,23
5216,2480216,5216,3220036,3220036,5314,0
5316,2479744,5316,3220036,3220036,5415,12
5416,2478928,5417,3220036,3220036,5516,14
5517,2480000,5518,3220036,3220036,5615,16
5617,2480008,5617,3220036,3220036,5717,17
5718,2480008,5719,3220036,3220036,5816,26
5818,2480344,5819,3220036,3220036,5918,13
5920,2479392,5921,3220036,3220036,6018,23
6020,2479604,6021,3220036,3220036,6119,32
6120,2481416,6121,3220036,3220036,6221,30
6224,2482148,6225,3220036,3220036,6322,36
6324,2482892,6325,3220036,3220036,6422,33
6424,2482276,6425,3220036,3220036,6522,28
6524,2484032,6525,3220036,3220036,6621,42
6621,2485332,6622,3220036,3220036,6722,20
6725,2485916,6726,3220036,3220036,6823,30
6824,2480992,6825,3220036,3220036,6922,39
6923,2491304,6924,3220036,3220036,7023,23
7023,2489228,7024,2314970,2314970,7123,30
7124,2490580,7124,2314970,2314970,7223,30
7224,2491068,7224,2314970,2314970,7324,30
7325,2491404,7325,2314970,2314970,7425,42
7426,2491000,7426,2314970,2314970,7525,23
7525,2492384,7526,2314970,2314970,7625,31
7626,2498544,7627,2314970,2314970,7727,19
7730,2493436,7732,2314970,2314970,7826,25
7827,2494372,7827,2314970,2314970,7926,23
7927,2494120,7927,2314970,2314970,8027,12
8028,2494332,8029,2314970,2314970,8128,27
8129,2495380,8129,2314970,2314970,8228,19
8229,2495380,8229,2314970,2314970,8328,21
8329,2495380,8329,2314970,2314970,8428,20
8429,2495600,8430,2314970,2314970,8529,4
8530,2494996,8530,2314970,2314970,8630,19
8631,2495552,8632,2314970,2314970,8730,20
8731,2495944,8732,2314970,2314970,8831,18
8832,2496040,8832,2314970,2314970,8932,21
8933,2495856,8933,2314970,2314970,9032,11
9033,2495188,9034,2314970,2314970,9133,8
9135,2495648,9135,2314970,2314970,9234,15
9235,2496268,9236,2314970,2314970,9334,19
9336,2496424,9336,2314970,2314970,9435,22
9436,2496424,9436,2314970,2314970,9535,21
9536,2495684,9537,2314970,2314970,9636,9
9637,2495684,9637,2314970,2314970,9736,25
9737,2495980,9738,2314970,2314970,9836,18
9837,2496568,9838,2314970,2314970,9937,20
9938,2496324,9939,2314970,2314970,10038,22
10039,2496324,10040,2314970,2314970,10139,17
10140,2496028,10140,2314970,2314970,10240,14
10241,2496204,10242,2314970,2314970,10340,23
10341,2496856,10342,2314970,2314970,10440,21
10441,2496856,10442,2314970,2314970,10541,21
10542,2496708,10542,2314970,2314970,10641,22
10642,2496708,10643,2314970,2314970,10743,13
10744,2495948,10745,2314970,2314970,10843,34
10844,2497368,10844,2314970,2314970,10943,33
10944,2497708,10944,2314970,2314970,11043,41
11044,2498056,11044,2314970,2314970,11144,35
11145,2499048,11145,2314970,2314970,11244,27
11246,2499580,11246,2314970,2314970,11345,35
11346,2501660,11346,2314970,2314970,11446,21
11447,2501240,11447,2314970,2314970,11546,25
11547,2497104,11548,2314970,2314970,11646,35
11647,2499024,11647,2314970,2314970,11747,34
11748,2509152,11748,2314970,2314970,11847,26
11847,2500288,11847,2314970,2314970,11948,22
11948,2500792,11949,2314970,2314970,12047,26
12048,2500792,12048,2314970,2314970,12148,32
12148,2501924,12149,2314970,2314970,12248,31
12249,2500736,12249,2314970,2314970,12349,25
12349,2502000,12349,2314970,2314970,12449,30
12450,2503836,12450,2314970,2314970,12549,19
12550,2499144,12551,2314970,2314970,12650,17
