RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",2448,0,0,0,True
1,"TfprPrefetchingStrategy",833,0,0,0,True
1,"TfprPrefetchingStrategy",990,0,0,0,True
1,"TfprPrefetchingStrategy",1146,0,0,0,True
1,"TfprPrefetchingStrategy",1052657,0,1,1,True
1,"TfprPrefetchingStrategy",730,0,0,0,True
1,"TfprPrefetchingStrategy",393802,0,1,1,True
1,"TfprPrefetchingStrategy",573,0,0,0,True
1,"TfprPrefetchingStrategy",1640364,0,1,1,True
1,"TfprPrefetchingStrategy",886,0,0,0,True
1,"TfprPrefetchingStrategy",602916,1,1,1,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",708750,1,1,1,True
1,"TfprPrefetchingStrategy",835937,1,1,1,True
1,"TfprPrefetchingStrategy",1615,0,0,0,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",1666,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",959271,0,1,2,True
1,"TfprPrefetchingStrategy",885,0,0,0,True
1,"TfprPrefetchingStrategy",1458,0,0,0,True
1,"TfprPrefetchingStrategy",1823,0,0,0,True
1,"TfprPrefetchingStrategy",833,0,0,0,True
1,"TfprPrefetchingStrategy",740104,0,1,1,True
1,"TfprPrefetchingStrategy",938,0,0,0,True
1,"TfprPrefetchingStrategy",734479,0,1,1,True
1,"TfprPrefetchingStrategy",1198,0,0,0,True
1,"TfprPrefetchingStrategy",729635,0,1,1,True
1,"TfprPrefetchingStrategy",1407,0,0,0,True
1,"TfprPrefetchingStrategy",850469,0,1,1,True
1,"TfprPrefetchingStrategy",989,0,0,0,True
1,"TfprPrefetchingStrategy",1103802,0,1,1,True
1,"TfprPrefetchingStrategy",786094,0,1,1,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
2,"TfprPrefetchingStrategy",15597343,0,0,3,True
2,"TfprPrefetchingStrategy",1259323,0,1,1,True
2,"TfprPrefetchingStrategy",706510,1,1,1,True
2,"TfprPrefetchingStrategy",886,0,0,0,True
2,"TfprPrefetchingStrategy",565990,1,1,1,True
2,"TfprPrefetchingStrategy",781,0,0,0,True
2,"TfprPrefetchingStrategy",609844,1,1,1,True
2,"TfprPrefetchingStrategy",781,0,0,0,True
2,"TfprPrefetchingStrategy",583854,1,1,1,True
2,"TfprPrefetchingStrategy",1041,0,0,0,True
2,"TfprPrefetchingStrategy",727188,1,1,1,True
2,"TfprPrefetchingStrategy",1771,0,0,0,True
2,"TfprPrefetchingStrategy",700053,1,1,1,True
