Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,110786,2524185.439421338,1101975.6537070523,651769.6537070525,24.482820976491862,1101975.6537070523,651769.6537070525
2,109602,2543614.569075938,1860092.5645013724,1860092.5645013724,23.707227813357733,2181417.5675965664,2181417.5675965664
3,109907,2382687.9598906105,1911378.10118505,382753.11485870555,23.905195989061074,2279110.627173913,456391.4858695652
4,109792,2580889.229927007,656999.1879562044,656999.1879562044,23.35705818104321,879207.7045177046,879207.7045177046
5,110193,2359649.2545454544,585893.8,585893.8,24.65330082644628,1039489.0,1039489.0
6,108809,2513044.1252302025,573989.4134438306,573989.4134438306,20.106895393913494,1003788.2495974235,1003788.2495974235
7,110195,2536981.429090909,821294.0618181818,817299.0618181818,23.57959834710744,821294.0618181818,817299.0618181818
8,111944,2425460.2578334827,602033.8209489705,602033.8209489705,26.826320501342884,971780.0260115607,971780.0260115607
9,112104,2609204.2430741736,446390.2749885997,446390.2749885997,27.74326943579939,599652.7223436291,599652.7223436291
10,110791,2425855.439421338,507047.869801085,502386.869801085,25.654277670048952,507047.869801085,502386.869801085
