Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
26,2538300,27,0,0,90,14
91,2538300,92,0,0,190,21
191,2539348,192,0,0,290,14
292,2539808,292,0,0,393,10
395,2539584,397,0,0,493,11
495,2539588,496,0,0,591,24
593,2541264,593,0,0,692,32
693,2544380,694,0,0,794,36
796,2551776,798,0,0,894,28
895,2563088,897,0,0,993,37
995,2583908,995,0,0,1093,36
1094,2606988,1094,0,0,1194,34
1196,2624860,1197,0,0,1294,32
1294,2651388,1295,0,0,1396,24
1398,2654496,1400,0,0,1495,26
1497,2658468,1499,0,0,1595,41
1596,2665404,1596,0,0,1695,34
1696,2671552,1697,0,0,1796,28
1797,2677244,1797,0,0,1896,27
1897,2682764,1898,0,0,1997,22
1998,2684472,1998,0,0,2098,19
2100,2684508,2101,0,0,2198,50
2199,2684472,2199,0,0,2297,28
2302,2646248,2302,0,0,2398,40
2400,2652040,2400,0,0,2498,37
2499,2654704,2500,0,0,2598,34
2600,2654820,2600,0,0,2699,28
2700,2661996,2701,0,0,2800,32
2803,2668240,2804,0,0,2900,39
2901,2674560,2902,0,0,3000,41
3002,2678008,3003,0,0,3100,29
3102,2677784,3102,0,0,3201,20
3203,2681736,3204,0,0,3301,25
3303,2684080,3304,0,0,3401,25
3403,2684704,3403,0,0,3502,29
3504,2687892,3504,0,0,3604,12
3607,2687304,3608,0,0,3704,29
3706,2690608,3707,0,0,3804,35
3807,2690636,3807,0,0,3904,30
3906,2689264,3906,0,0,4006,23
4009,2688816,4012,0,0,4107,15
4109,2688616,4110,0,0,4206,21
4208,2688996,4209,0,0,4308,16
4310,2689224,4311,0,0,4408,18
4411,2689364,4412,0,0,4509,16
4511,2688580,4512,0,0,4609,12
4610,2687792,4611,0,0,4709,18
4710,2689336,4711,0,0,4809,28
4810,2704744,4811,0,0,4910,29
4910,2703920,4911,0,0,5010,7
5011,2686764,5012,0,0,5111,17
5112,2687132,5113,0,0,5211,22
5212,2687136,5213,0,0,5315,19
5317,2687100,5318,0,0,5414,17
5415,2686452,5416,0,0,5515,9
5517,2686452,5518,0,0,5613,19
5614,2687308,5615,0,0,5714,20
5715,2687828,5715,0,0,5816,23
5817,2687904,5818,0,0,5917,14
5918,2686916,5919,0,0,6016,17
6017,2687416,6018,0,0,6116,29
6116,2688356,6117,0,0,6218,26
6220,2689224,6221,0,0,6319,32
6320,2689668,6322,0,0,6419,20
6421,2691324,6423,0,0,6517,32
6518,2693800,6519,0,0,6617,18
6618,2691096,6619,0,0,6718,15
6718,2685804,6719,0,0,6818,24
6819,2690908,6819,0,0,6918,31
6919,2694144,6919,0,0,7018,29
7019,2694476,7019,0,0,7119,19
7121,2694672,7121,0,0,7219,19
7220,2693872,7220,0,0,7319,48
7320,2696296,7320,0,0,7420,32
7421,2696460,7421,0,0,7520,17
7521,2694880,7521,0,0,7620,9
7621,2691760,7622,0,0,7722,0
7723,2692396,7724,0,0,7822,26
7824,2693372,7825,0,0,7922,23
7923,2693224,7923,0,0,8022,18
8023,2693076,8023,0,0,8122,12
8123,2692780,8124,0,0,8223,16
8224,2692900,8225,0,0,8323,19
8324,2693056,8324,0,0,8424,17
8425,2692904,8425,0,0,8524,20
8525,2692904,8526,0,0,8625,18
8627,2692460,8627,0,0,8726,8
8727,2692460,8728,0,0,8827,19
8828,2693868,8828,0,0,8927,20
8928,2693868,8929,0,0,9028,20
9029,2693720,9029,0,0,9128,17
9129,2693720,9130,0,0,9229,8
9230,2692956,9230,0,0,9330,9
9331,2693180,9331,0,0,9430,16
9431,2693384,9431,0,0,9530,17
9532,2693384,9532,0,0,9631,17
9631,2693508,9632,0,0,9731,16
9732,2693064,9733,0,0,9833,11
9834,2693240,9834,0,0,9933,20
9934,2693660,9934,0,0,10033,19
10034,2693660,10034,0,0,10134,18
10134,2693660,10134,0,0,10234,19
10235,2693572,10235,0,0,10335,11
10336,2693164,10336,0,0,10436,14
10437,2693644,10437,0,0,10536,27
10536,2692200,10537,0,0,10636,17
10636,2692200,10637,0,0,10737,30
10737,2692764,10738,0,0,10839,25
10841,2692816,10842,0,0,10939,33
10941,2693560,10942,0,0,11038,33
11039,2694620,11039,0,0,11138,33
11139,2696236,11140,0,0,11238,42
11239,2696784,11239,0,0,11339,18
11339,2697004,11340,0,0,11439,8
11440,2692268,11441,0,0,11539,53
11540,2698760,11540,0,0,11640,41
11640,2709156,11641,0,0,11740,34
11741,2701212,11741,0,0,11840,28
11841,2700472,11841,0,0,11940,7
11941,2700324,11941,0,0,12041,33
12041,2706580,12042,0,0,12141,39
12142,2711320,12143,0,0,12241,33
12242,2703080,12242,0,0,12342,26
12343,2694484,12343,0,0,12442,2
12444,2693892,12444,0,0,12543,18
12544,2694228,12545,0,0,12643,23
12643,2694676,12644,0,0,12743,17
12744,2694676,12744,0,0,12843,16
12844,2694528,12845,0,0,12944,13
12945,2693492,12945,0,0,13044,11
13045,2693768,13045,0,0,13146,32
13147,2695340,13147,0,0,13246,25
13246,2695236,13247,0,0,13347,25
13348,2695304,13348,0,0,13447,23
13448,2695304,13449,0,0,13548,9
13549,2694712,13549,0,0,13649,13
13650,2695256,13650,0,0,13749,20
13749,2695436,13750,0,0,13849,20
13850,2695288,13850,0,0,13950,23
13950,2695288,13951,0,0,14050,17
14051,2694548,14052,0,0,14152,5
14153,2694652,14154,0,0,14252,23
14253,2695136,14254,0,0,14352,22
14353,2695052,14353,0,0,14453,26
14453,2695000,14454,0,0,14553,27
14554,2695000,14555,0,0,14654,17
14655,2694556,14655,0,0,14754,12
14755,2694612,14755,0,0,14855,25
14856,2695792,14856,0,0,14956,17
14956,2695792,14957,0,0,15055,26
15056,2695644,15057,0,0,15157,19
15158,2695348,15158,0,0,15258,13
15259,2694500,15259,0,0,15359,13
15360,2694648,15360,0,0,15459,27
15460,2695384,15461,0,0,15559,33
15560,2691480,15560,0,0,15659,37
15660,2691724,15661,0,0,15760,32
15761,2691676,15761,0,0,15861,17
15862,2692604,15863,0,0,15962,34
15963,2695352,15963,0,0,16063,18
16064,2695604,16065,0,0,16162,53
16162,2695520,16163,0,0,16262,25
16263,2690372,16263,0,0,16363,27
16363,2692920,16364,0,0,16463,33
16464,2697980,16464,0,0,16563,32
16564,2697500,16564,0,0,16664,33
16664,2699044,16664,0,0,16764,27
16765,2698228,16765,0,0,16865,27
16866,2701848,16867,0,0,16965,50
16966,2704200,16967,0,0,17066,30
17067,2701776,17067,0,0,17166,36
17167,2701936,17167,0,0,17267,25
17267,2702600,17268,0,0,17367,22
17371,2703104,17371,0,0,17467,32
17468,2705116,17469,0,0,17568,35
17569,2705216,17570,0,0,17672,38
17674,2703452,17675,0,0,17770,38
17770,2701752,17771,0,0,17870,8
17871,2702024,17871,0,0,17970,35
17971,2698128,17971,0,0,18071,51
18072,2705852,18072,769184,769184,18171,44
18173,2711212,18173,769184,769184,18271,30
18272,2701184,18273,769184,769184,18372,13
18372,2701456,18373,769184,769184,18473,30
18474,2708608,18474,769184,769184,18573,41
18573,2710144,18573,769184,769184,18673,37
18674,2708172,18674,769184,769184,18773,30
18774,2710008,18774,769184,769184,18874,18
18874,2704340,18875,769184,769184,18974,32
18975,2706712,18975,769184,769184,19074,28
19075,2710912,19076,769184,769184,19175,32
19175,2702816,19176,769184,769184,19275,39
19276,2705708,19276,769184,769184,19375,22
19376,2710300,19376,769184,769184,19476,30
19476,2703364,19477,769184,769184,19576,30
19577,2704340,19577,769184,769184,19677,0
19678,2700024,19678,769184,769184,19778,25
19778,2699876,19779,769184,769184,19878,30
19879,2699876,19880,769184,769184,19979,16
19979,2699972,19980,769184,769184,20079,34
20080,2701696,20080,769184,769184,20181,40
20183,2702340,20184,769184,769184,20280,45
20282,2702640,20282,769184,769184,20384,40
20386,2703300,20388,769184,769184,20482,47
20484,2703864,20485,769184,769184,20583,37
20585,2705360,20587,769184,769184,20682,33
20683,2705768,20683,769184,769184,20782,34
20784,2706740,20784,769184,769184,20882,47
20883,2697876,20883,769184,769184,20983,35
20983,2697580,20984,769184,769184,21083,40
21084,2697580,21084,769184,769184,21183,33
21184,2696032,21184,769184,769184,21284,10
21284,2696100,21285,769184,769184,21384,33
21385,2694724,21386,769184,769184,21485,21
21485,2694724,21486,769184,769184,21585,24
21586,2694576,21586,769184,769184,21685,21
21686,2694576,21686,769184,769184,21786,22
21787,2694280,21787,769184,769184,21886,10
21887,2694124,21887,769184,769184,21986,40
21988,2695436,21988,769184,769184,22088,36
22089,2695932,22089,769184,769184,22188,40
22189,2696420,22190,769184,769184,22289,39
22290,2697228,22291,769184,769184,22341,39
22343,2697204,22344,769184,769184,22441,39
22442,2697656,22444,769184,769184,22541,35
22543,2699128,22543,769184,769184,22641,55
22642,2699452,22642,769184,769184,22742,20
22743,2699716,22744,769184,769184,22842,42
22843,2695236,22843,769184,769184,22942,52
22944,2697148,22945,769184,769184,23042,31
23043,2696252,23044,769184,769184,23143,20
23144,2696612,23145,769184,769184,23243,37
23244,2696976,23244,769184,769184,23343,28
23344,2697104,23345,769184,769184,23444,22
23445,2697172,23445,769184,769184,23544,20
23545,2697172,23546,769184,769184,23645,18
23646,2696728,23646,769184,769184,23745,8
23746,2696736,23747,769184,769184,23846,25
23847,2697516,23847,769184,769184,23946,22
23947,2697516,23947,769184,769184,24046,22
24047,2697516,24047,769184,769184,24146,24
24147,2697516,24148,769184,769184,24247,24
24248,2697352,24248,769184,769184,24347,13
24348,2696896,24349,769184,769184,24448,26
24448,2697560,24449,769184,769184,24548,25
24549,2697736,24549,769184,769184,24649,26
24650,2697736,24651,769184,769184,24749,31
24750,2697984,24750,769184,769184,24849,44
24850,2698380,24851,769184,769184,24950,30
24951,2698756,24951,769184,769184,25050,31
25051,2699104,25052,769184,769184,25151,51
25151,2700108,25152,769184,769184,25251,43
25253,2698972,25254,769184,769184,25353,47
25355,2699956,25357,769184,769184,25454,51
25456,2701296,25458,490687,490687,25552,33
25553,2701444,25554,490687,490687,25654,38
25655,2698696,25655,490687,490687,25753,36
25754,2693280,25754,490687,490687,25854,28
25854,2693280,25855,490687,490687,25956,31
25958,2693524,25959,490687,490687,26056,24
26057,2693524,26057,490687,490687,26156,24
26157,2693596,26157,490687,490687,26256,9
26257,2693224,26258,490687,490687,26356,17
26357,2693296,26358,490687,490687,26457,22
26459,2693808,26460,490687,490687,26558,22
26560,2693808,26562,490687,490687,26657,27
26658,2693660,26659,490687,490687,26757,29
26758,2694072,26759,490687,490687,26858,26
26859,2694140,26860,490687,490687,26958,31
26960,2694932,26960,490687,490687,27060,63
27061,2697940,27062,490687,490687,27160,79
27161,2701972,27161,490687,490687,27261,55
27261,2704972,27262,490687,490687,27361,63
27362,2707688,27367,490687,490687,27461,46
27462,2706984,27462,490687,490687,27561,32
27562,2708368,27563,490687,490687,27662,55
27662,2704672,27663,490687,490687,27762,0
27762,2706232,27763,490687,490687,27862,28
27863,2706172,27863,490687,490687,27963,30
27965,2705432,27965,490687,490687,28063,6
28063,2705328,28064,490687,490687,28164,21
28165,2706564,28166,490687,490687,28264,14
28265,2706516,28265,490687,490687,28364,21
28365,2706624,28366,490687,490687,28465,16
28466,2706624,28466,490687,490687,28565,15
28566,2706180,28566,490687,490687,28667,8
28668,2706684,28669,490687,490687,28766,0
28767,2706488,28767,490687,490687,28867,23
28867,2706488,28868,490687,490687,28967,21
28968,2706488,28968,490687,490687,29067,20
29068,2706488,29068,490687,490687,29168,25
29169,2706272,29169,490687,490687,29268,17
29269,2706544,29269,490687,490687,29369,40
29370,2707156,29370,490687,490687,29469,30
29470,2707028,29470,490687,490687,29570,25
29571,2707028,29572,490687,490687,29670,30
29671,2707028,29672,490687,490687,29771,32
29772,2707028,29772,490687,490687,29872,25
29873,2706732,29873,490687,490687,29972,11
29973,2706584,29973,490687,490687,30073,22
30073,2706876,30074,490687,490687,30173,29
30174,2703940,30174,490687,490687,30274,30
30275,2704088,30275,490687,490687,30374,32
30375,2704004,30375,490687,490687,30474,26
30476,2703116,30476,490687,490687,30575,19
30576,2702228,30577,490687,490687,30676,12
30678,2698972,30678,490687,490687,30776,25
30778,2699768,30778,490687,490687,30876,26
30877,2699768,30878,490687,490687,30977,33
30978,2700016,30978,490687,490687,31078,29
31079,2700252,31079,490687,490687,31178,26
31179,2700252,31180,490687,490687,31279,17
31281,2699612,31281,490687,490687,31379,24
31380,2699656,31381,490687,490687,31479,25
31480,2700300,31480,490687,490687,31580,23
31581,2700300,31581,490687,490687,31682,41
31683,2701260,31684,490687,490687,31782,0
31784,2702004,31785,490687,490687,31881,51
31882,2702516,31883,490687,490687,31982,31
31983,2703644,31984,490687,490687,32083,36
32085,2706608,32086,490687,490687,32182,39
32183,2707000,32183,490687,490687,32283,43
32284,2707004,32285,490687,490687,32383,27
32384,2701952,32384,490687,490687,32484,21
32485,2702184,32485,490687,490687,32584,34
32584,2702020,32584,490687,490687,32684,19
32685,2702016,32685,490687,490687,32784,19
32785,2701720,32785,490687,490687,32885,12
32885,2701128,32886,490687,490687,32985,8
32986,2701308,32987,490687,490687,33086,17
33087,2701860,33087,490687,490687,33186,18
33187,2701840,33187,490687,490687,33286,19
33287,2701884,33287,490687,490687,33386,26
33387,2702512,33387,490687,490687,33487,18
33488,2702264,33488,490687,490687,33587,31
33588,2703856,33588,490687,490687,33687,34
33688,2704448,33688,490687,490687,33788,35
33789,2705420,33789,490687,490687,33888,37
33889,2707204,33889,490687,490687,33989,10
33990,2706016,33990,490687,490687,34089,44
34090,2707404,34091,490687,490687,34190,24
34190,2702388,34191,490687,490687,34291,21
34292,2702980,34293,490687,490687,34390,26
34391,2702880,34391,490687,490687,34491,7
34491,2702140,34492,490687,490687,34592,10
34592,2702504,34593,490687,490687,34692,14
34692,2702400,34693,490687,490687,34792,16
34793,2702400,34793,490687,490687,34892,19
34893,2702400,34893,490687,490687,34993,15
34993,2701808,34993,490687,490687,35093,8
35094,2701820,35095,490687,490687,35193,30
35194,2703064,35194,490687,490687,35294,30
35294,2703996,35295,490687,490687,35394,30
35395,2704276,35395,490687,490687,35494,31
35495,2704724,35495,490687,490687,35595,26
35596,2705704,35597,490687,490687,35696,0
35697,2708244,35697,490687,490687,35796,33
35797,2709020,35797,490687,490687,35896,18
35897,2709268,35897,490687,490687,36004,50
36005,2703944,36005,490687,490687,36104,53
36105,2706524,36106,490687,490687,36205,15
36206,2705452,36206,490687,490687,36307,25
36308,2705512,36309,490687,490687,36406,33
36407,2705852,36408,490687,490687,36507,25
36508,2705704,36508,490687,490687,36607,24
36608,2705704,36609,490687,490687,36708,24
36709,2705704,36709,490687,490687,36808,14
36809,2705108,36810,490687,490687,36908,15
36909,2705608,36909,490687,490687,37009,28
37010,2705808,37010,490687,490687,37109,22
37110,2705808,37111,490687,490687,37209,23
37211,2705880,37211,490687,490687,37310,19
37311,2705880,37312,490687,490687,37410,22
37412,2705540,37412,490687,490687,37511,12
37512,2705540,37512,490687,490687,37611,25
37612,2706044,37613,490687,490687,37711,26
37712,2706380,37713,490687,490687,37812,22
37814,2706596,37814,490687,490687,37913,26
37914,2706448,37914,490687,490687,38013,27
38014,2706448,38015,490687,490687,38114,26
38115,2705556,38116,490687,490687,38214,12
38216,2705552,38216,490687,490687,38315,22
38316,2705548,38316,490687,490687,38415,25
38416,2706356,38416,490687,490687,38516,22
38517,2706596,38517,490687,490687,38616,27
38617,2706596,38618,490687,490687,38716,30
38718,2706596,38718,490687,490687,38817,25
38818,2706300,38819,490687,490687,38918,10
38919,2706152,38920,490687,490687,39018,23
39019,2706640,39019,490687,490687,39119,21
39121,2707164,39121,490687,490687,39219,24
39221,2706976,39221,490687,490687,39320,31
39321,2707076,39321,490687,490687,39420,27
39422,2707196,39422,490687,490687,39521,28
39522,2706720,39523,490687,490687,39621,16
39623,2706572,39623,490687,490687,39722,29
39723,2707100,39723,490687,490687,39823,28
39825,2707292,39825,490687,490687,39924,34
39925,2707528,39925,490687,490687,40023,45
40025,2708140,40025,490687,490687,40126,42
40128,2708628,40129,490687,490687,40226,37
40228,2708624,40230,490687,490687,40326,33
40328,2709396,40329,490687,490687,40426,39
40428,2709820,40428,490687,490687,40528,38
40531,2710748,40533,490687,490687,40627,61
40629,2710724,40629,490687,490687,40727,0
40728,2710904,40729,490687,490687,40827,16
40828,2710016,40828,490687,490687,40928,16
40929,2703492,40930,490687,490687,41029,52
41030,2707244,41031,490687,490687,41128,24
41129,2707492,41129,490687,490687,41229,20
41229,2707020,41229,490687,490687,41329,25
41329,2707112,41330,490687,490687,41429,4
41430,2706520,41430,490687,490687,41530,15
41531,2707620,41531,490687,490687,41630,19
41631,2707620,41631,490687,490687,41731,18
41731,2707472,41732,490687,490687,41831,20
41832,2707472,41832,490687,490687,41931,13
41932,2706880,41932,490687,490687,42032,7
42033,2707248,42034,490687,490687,42132,24
42133,2707936,42133,490687,490687,42233,20
42233,2707800,42234,490687,490687,42333,25
42333,2707696,42334,490687,490687,42434,27
42434,2707696,42435,490687,490687,42535,20
42536,2707700,42537,490687,490687,42635,29
42637,2708900,42637,490687,490687,42736,0
42737,2708672,42737,490687,490687,42836,25
42837,2708672,42838,490687,490687,42937,28
42937,2708672,42938,490687,490687,43037,28
43038,2708524,43038,490687,490687,43139,29
43141,2708524,43142,490687,490687,43238,16
43239,2707824,43240,490687,490687,43339,23
43340,2707724,43340,490687,490687,43439,28
43440,2708200,43441,490687,490687,43540,22
43541,2708200,43541,490687,490687,43640,31
