Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
14,2609000,16,0,0,82,15
84,2609168,85,0,0,182,23
183,2610604,183,0,0,282,15
283,2610844,283,0,0,385,10
388,2609864,389,0,0,485,11
487,2610840,489,0,0,584,16
585,2611500,585,0,0,684,16
685,2611500,686,0,0,787,15
790,2610716,791,0,0,886,15
888,2611472,890,0,0,985,18
986,2612268,987,0,0,1090,15
1093,2612376,1095,0,0,1189,11
1191,2611912,1193,0,0,1287,15
1288,2610040,1288,0,0,1387,14
1388,2610592,1388,0,0,1488,16
1489,2610592,1490,0,0,1591,12
1593,2609808,1594,0,0,1691,6
1693,2610104,1694,0,0,1790,16
1791,2611024,1792,0,0,1893,13
1896,2611024,1898,0,0,1992,13
1993,2610044,1994,0,0,2094,6
2098,2610148,2100,0,0,2192,16
2193,2610748,2193,0,0,2294,13
2296,2610748,2298,0,0,2394,13
2396,2610160,2398,0,0,2494,12
2496,2609776,2497,0,0,2594,16
2595,2609908,2596,0,0,2696,16
2698,2609908,2699,0,0,2796,13
2800,2609124,2801,0,0,2896,22
2897,2610312,2898,0,0,2995,37
2996,2613692,2997,0,0,3096,18
3097,2609024,3097,0,0,3198,8
3200,2608132,3201,0,0,3299,10
3300,2608416,3301,0,0,3399,13
3400,2609108,3401,0,0,3500,14
3501,2609384,3502,0,0,3602,10
3604,2608796,3605,0,0,3700,12
3702,2608700,3703,0,0,3800,38
3801,2621592,3801,0,0,3900,36
3901,2622600,3901,0,0,4001,20
4002,2609672,4003,0,0,4101,24
4102,2610464,4103,0,0,4204,27
4205,2612320,4206,0,0,4302,23
4303,2612304,4303,0,0,4402,26
4402,2614580,4403,2434934,2434934,4502,35
4503,2609904,4503,2434934,2434934,4602,7
4603,2609596,4603,2434934,2434934,4703,17
4704,2609632,4704,2434934,2434934,4803,26
4804,2634932,4804,2434934,2434934,4903,9
4904,2634344,4904,2434934,2434934,5004,17
5006,2635660,5006,2434934,2434934,5104,28
5105,2636216,5106,2434934,2434934,5205,43
5206,2636012,5206,2434934,2434934,5305,17
5306,2652608,5306,2434934,2434934,5407,25
5407,2655340,5408,2434934,2434934,5507,28
5507,2655600,5508,2434934,2434934,5607,23
5608,2655652,5608,2434934,2434934,5708,21
5708,2663392,5708,2434934,2434934,5809,25
5810,2664576,5810,2434934,2434934,5909,23
5910,2661048,5910,2434934,2434934,6010,6
6010,2660680,6010,2434934,2434934,6110,6
6111,2661132,6112,2434934,2434934,6210,15
6211,2662092,6211,2434934,2434934,6311,15
6312,2658324,6312,2434934,2434934,6412,5
6412,2657136,6413,2434934,2434934,6513,8
6513,2657492,6514,2434934,2434934,6613,16
6613,2657384,6614,2434934,2434934,6713,16
6713,2657400,6714,2434934,2434934,6813,6
6814,2656892,6814,2434934,2434934,6915,7
6915,2657136,6916,2434934,2434934,7014,18
7015,2657836,7015,2434934,2434934,7115,18
7115,2657764,7115,2434934,2434934,7215,11
7216,2657268,7216,2434934,2434934,7317,12
7317,2657604,7318,2434934,2434934,7416,15
7417,2659172,7417,2434934,2434934,7517,16
7517,2659368,7518,2434934,2434934,7618,10
7618,2658780,7618,2434934,2434934,7718,7
7718,2658184,7718,2434934,2434934,7819,15
7820,2659060,7820,2434934,2434934,7919,17
7919,2659060,7920,2434934,2434934,8019,13
8020,2658780,8020,2434934,2434934,8119,8
8120,2658364,8120,2434934,2434934,8220,18
8221,2658684,8222,2434934,2434934,8320,15
8321,2658932,8321,2434934,2434934,8421,19
8422,2658344,8422,2434934,2434934,8522,10
8522,2658344,8522,2434934,2434934,8622,16
8623,2659124,8624,2434934,2434934,8722,18
8723,2659124,8723,2434934,2434934,8823,17
8824,2658868,8824,2434934,2434934,8925,3
8926,2658868,8926,2434934,2434934,9025,15
9025,2659588,9026,2434934,2434934,9128,21
9129,2659640,9129,2434934,2434934,9228,15
9228,2659124,9228,2434934,2434934,9329,3
9330,2659124,9330,2434934,2434934,9429,15
9430,2660108,9430,2434934,2434934,9529,16
9530,2660108,9531,2434934,2434934,9630,17
9630,2660108,9631,2434934,2434934,9730,13
9731,2659324,9731,2434934,2434934,9832,14
9832,2659884,9833,2434934,2434934,9932,16
9933,2660148,9933,2434934,2434934,10032,14
10032,2660644,10033,2434934,2434934,10132,2
10133,2659872,10133,2434934,2434934,10233,14
10234,2660308,10235,2434934,2434934,10333,12
10334,2660540,10334,2434934,2434934,10434,15
10434,2660344,10435,2434934,2434934,10535,6
10536,2659524,10536,2434934,2434934,10636,17
10636,2660436,10637,2434934,2434934,10736,24
10737,2656932,10737,2434934,2434934,10836,17
10837,2656932,10837,2434934,2434934,10937,5
10937,2656148,10937,2434934,2434934,11038,20
11039,2657180,11039,2434934,2434934,11138,13
11139,2657492,11139,2434934,2434934,11238,13
11239,2657492,11239,2434934,2434934,11339,8
11339,2656308,11340,2434934,2434934,11440,17
11441,2657080,11441,2434934,2434934,11540,15
11540,2657344,11541,2434934,2434934,11640,15
11641,2657544,11641,2434934,2434934,11741,12
