datetime,cpu,mem
Wed Aug  5 18:58:59 GMT 2020,18,204628
Wed Aug  5 18:58:59 GMT 2020,18,174839
Wed Aug  5 18:58:59 GMT 2020,18,190345
Wed Aug  5 18:59:00 GMT 2020,18,213689
Wed Aug  5 18:59:00 GMT 2020,18,221685
Wed Aug  5 18:59:01 GMT 2020,18,222847
Wed Aug  5 18:59:01 GMT 2020,18,222848
Wed Aug  5 18:59:02 GMT 2020,18,221852
Wed Aug  5 18:59:02 GMT 2020,18,221917
Wed Aug  5 18:59:03 GMT 2020,0.2,221921
Wed Aug  5 18:59:03 GMT 2020,0.2,221925
Wed Aug  5 18:59:04 GMT 2020,0.2,221925
Wed Aug  5 18:59:04 GMT 2020,0.2,221925
Wed Aug  5 18:59:05 GMT 2020,0.2,221928
Wed Aug  5 18:59:05 GMT 2020,0.2,221921
Wed Aug  5 18:59:06 GMT 2020,0.2,222962
Wed Aug  5 18:59:06 GMT 2020,0.2,216280
Wed Aug  5 18:59:07 GMT 2020,0.2,236297
Wed Aug  5 18:59:07 GMT 2020,0.2,235567
Wed Aug  5 18:59:08 GMT 2020,0.2,235571
Wed Aug  5 18:59:09 GMT 2020,0.2,235579
Wed Aug  5 18:59:09 GMT 2020,0.2,235579
Wed Aug  5 18:59:10 GMT 2020,0.2,235631
Wed Aug  5 18:59:10 GMT 2020,0.2,235653
Wed Aug  5 18:59:11 GMT 2020,0.2,236150
Wed Aug  5 18:59:11 GMT 2020,0.2,236786
Wed Aug  5 18:59:12 GMT 2020,0.2,242711
Wed Aug  5 18:59:12 GMT 2020,0.2,237875
Wed Aug  5 18:59:13 GMT 2020,0.2,239143
Wed Aug  5 18:59:13 GMT 2020,0.2,239155
Wed Aug  5 18:59:14 GMT 2020,0.2,239155
Wed Aug  5 18:59:14 GMT 2020,0.2,239163
Wed Aug  5 18:59:15 GMT 2020,0.2,239161
Wed Aug  5 18:59:15 GMT 2020,0.2,205234
Wed Aug  5 18:59:16 GMT 2020,0.2,205292
Wed Aug  5 18:59:16 GMT 2020,0.2,221592
Wed Aug  5 18:59:17 GMT 2020,0.2,221588
Wed Aug  5 18:59:17 GMT 2020,0.2,230283
Wed Aug  5 18:59:18 GMT 2020,0.2,254067
Wed Aug  5 18:59:18 GMT 2020,0.2,251524
Wed Aug  5 18:59:19 GMT 2020,0.2,240681
Wed Aug  5 18:59:20 GMT 2020,0.2,240665
Wed Aug  5 18:59:20 GMT 2020,0.2,207520
Wed Aug  5 18:59:21 GMT 2020,0.2,206878
Wed Aug  5 18:59:21 GMT 2020,0.2,206876
Wed Aug  5 18:59:22 GMT 2020,0.2,223668
Wed Aug  5 18:59:23 GMT 2020,0.2,257054
Wed Aug  5 18:59:23 GMT 2020,0.2,253780
Wed Aug  5 18:59:24 GMT 2020,0.2,250210
Wed Aug  5 18:59:24 GMT 2020,0.2,245895
Wed Aug  5 18:59:25 GMT 2020,0.2,207719
Wed Aug  5 18:59:26 GMT 2020,0.2,223794
Wed Aug  5 18:59:26 GMT 2020,0.2,223792
Wed Aug  5 18:59:27 GMT 2020,0.2,240663
Wed Aug  5 18:59:27 GMT 2020,0.2,258742
Wed Aug  5 18:59:28 GMT 2020,0.2,246041
Wed Aug  5 18:59:29 GMT 2020,0.2,242681
Wed Aug  5 18:59:29 GMT 2020,0.2,242697
Wed Aug  5 18:59:30 GMT 2020,0.2,242697
Wed Aug  5 18:59:31 GMT 2020,0.2,242697
Wed Aug  5 18:59:31 GMT 2020,0.2,242697
Wed Aug  5 18:59:32 GMT 2020,0.2,208648
Wed Aug  5 18:59:33 GMT 2020,0.2,207909
Wed Aug  5 18:59:33 GMT 2020,0.2,207711
Wed Aug  5 18:59:34 GMT 2020,0.2,224283
Wed Aug  5 18:59:34 GMT 2020,0.2,224778
Wed Aug  5 18:59:35 GMT 2020,0.2,224308
Wed Aug  5 18:59:36 GMT 2020,0.2,241303
Wed Aug  5 18:59:36 GMT 2020,0.2,259618
Wed Aug  5 18:59:37 GMT 2020,0.2,247258
Wed Aug  5 18:59:38 GMT 2020,0.2,242926
Wed Aug  5 18:59:38 GMT 2020,0.2,242762
Wed Aug  5 18:59:39 GMT 2020,0.2,242778
