datetime,cpu,mem
Wed Aug  5 00:20:12 GMT 2020,32,101628
Wed Aug  5 00:20:12 GMT 2020,32,101808
Wed Aug  5 00:20:13 GMT 2020,32,101844
Wed Aug  5 00:20:13 GMT 2020,32,101876
Wed Aug  5 00:20:14 GMT 2020,32,101323
Wed Aug  5 00:20:14 GMT 2020,32,101331
Wed Aug  5 00:20:14 GMT 2020,32,101331
Wed Aug  5 00:20:15 GMT 2020,32,100824
Wed Aug  5 00:20:15 GMT 2020,32,100844
Wed Aug  5 00:20:16 GMT 2020,32,100892
Wed Aug  5 00:20:16 GMT 2020,32,100896
Wed Aug  5 00:20:16 GMT 2020,32,100896
Wed Aug  5 00:20:17 GMT 2020,32,100896
Wed Aug  5 00:20:17 GMT 2020,32,101145
Wed Aug  5 00:20:17 GMT 2020,32,101965
Wed Aug  5 00:20:18 GMT 2020,32,101957
Wed Aug  5 00:20:18 GMT 2020,32,101957
Wed Aug  5 00:20:18 GMT 2020,32,101954
Wed Aug  5 00:20:19 GMT 2020,32,102233
Wed Aug  5 00:20:19 GMT 2020,32,102257
Wed Aug  5 00:20:19 GMT 2020,32,89469
Wed Aug  5 00:20:20 GMT 2020,32,89563
Wed Aug  5 00:20:20 GMT 2020,32,89499
Wed Aug  5 00:20:20 GMT 2020,32,89515
Wed Aug  5 00:20:21 GMT 2020,32,106696
Wed Aug  5 00:20:21 GMT 2020,32,107025
Wed Aug  5 00:20:21 GMT 2020,32,124591
Wed Aug  5 00:20:22 GMT 2020,32,125044
Wed Aug  5 00:20:22 GMT 2020,32,107884
Wed Aug  5 00:20:23 GMT 2020,32,108287
Wed Aug  5 00:20:23 GMT 2020,32,109115
Wed Aug  5 00:20:23 GMT 2020,32,109071
Wed Aug  5 00:20:24 GMT 2020,32,109075
Wed Aug  5 00:20:24 GMT 2020,32,109073
Wed Aug  5 00:20:24 GMT 2020,32,141684
Wed Aug  5 00:20:25 GMT 2020,32,108337
Wed Aug  5 00:20:25 GMT 2020,32,107649
Wed Aug  5 00:20:26 GMT 2020,32,107668
Wed Aug  5 00:20:26 GMT 2020,32,107667
Wed Aug  5 00:20:26 GMT 2020,32,107844
Wed Aug  5 00:20:27 GMT 2020,32,107557
Wed Aug  5 00:20:27 GMT 2020,32,107557
Wed Aug  5 00:20:28 GMT 2020,32,107556
Wed Aug  5 00:20:28 GMT 2020,32,107709
Wed Aug  5 00:20:28 GMT 2020,32,109862
Wed Aug  5 00:20:29 GMT 2020,32,110024
Wed Aug  5 00:20:29 GMT 2020,32,109982
Wed Aug  5 00:20:29 GMT 2020,32,110046
Wed Aug  5 00:20:30 GMT 2020,32,112579
Wed Aug  5 00:20:30 GMT 2020,32,113447
Wed Aug  5 00:20:31 GMT 2020,32,119126
Wed Aug  5 00:20:31 GMT 2020,32,122435
Wed Aug  5 00:20:31 GMT 2020,32,122415
Wed Aug  5 00:20:32 GMT 2020,32,122475
Wed Aug  5 00:20:32 GMT 2020,32,122511
Wed Aug  5 00:20:33 GMT 2020,32,122511
Wed Aug  5 00:20:33 GMT 2020,32,122511
Wed Aug  5 00:20:34 GMT 2020,32,122511
Wed Aug  5 00:20:34 GMT 2020,32,122507
Wed Aug  5 00:20:35 GMT 2020,32,122507
Wed Aug  5 00:20:35 GMT 2020,32,122495
Wed Aug  5 00:20:36 GMT 2020,32,121607
Wed Aug  5 00:20:36 GMT 2020,32,121610
Wed Aug  5 00:20:36 GMT 2020,32,121599
Wed Aug  5 00:20:37 GMT 2020,32,153649
Wed Aug  5 00:20:37 GMT 2020,32,123449
Wed Aug  5 00:20:37 GMT 2020,32,125070
Wed Aug  5 00:20:38 GMT 2020,32,128657
Wed Aug  5 00:20:38 GMT 2020,32,126233
Wed Aug  5 00:20:39 GMT 2020,32,126533
Wed Aug  5 00:20:39 GMT 2020,32,127091
Wed Aug  5 00:20:40 GMT 2020,32,127091
Wed Aug  5 00:20:40 GMT 2020,32,126843
Wed Aug  5 00:20:41 GMT 2020,32,126854
Wed Aug  5 00:20:41 GMT 2020,32,128575
Wed Aug  5 00:20:42 GMT 2020,32,129622
Wed Aug  5 00:20:42 GMT 2020,32,129370
Wed Aug  5 00:20:43 GMT 2020,32,129370
Wed Aug  5 00:20:43 GMT 2020,32,129370
Wed Aug  5 00:20:44 GMT 2020,32,129370
Wed Aug  5 00:20:44 GMT 2020,32,129358
Wed Aug  5 00:20:45 GMT 2020,32,129358
Wed Aug  5 00:20:45 GMT 2020,32,129362
Wed Aug  5 00:20:46 GMT 2020,32,129152
Wed Aug  5 00:20:46 GMT 2020,32,98136
Wed Aug  5 00:20:46 GMT 2020,32,95000
Wed Aug  5 00:20:47 GMT 2020,32,95000
Wed Aug  5 00:20:47 GMT 2020,32,95026
Wed Aug  5 00:20:48 GMT 2020,32,128388
Wed Aug  5 00:20:48 GMT 2020,32,133268
Wed Aug  5 00:20:48 GMT 2020,32,134291
Wed Aug  5 00:20:49 GMT 2020,32,135434
Wed Aug  5 00:20:49 GMT 2020,32,137051
Wed Aug  5 00:20:50 GMT 2020,32,138176
Wed Aug  5 00:20:51 GMT 2020,32,139389
Wed Aug  5 00:20:51 GMT 2020,32,135405
Wed Aug  5 00:20:52 GMT 2020,32,134971
Wed Aug  5 00:20:52 GMT 2020,32,135585
Wed Aug  5 00:20:53 GMT 2020,32,140569
Wed Aug  5 00:20:53 GMT 2020,32,141592
Wed Aug  5 00:20:54 GMT 2020,32,142433
Wed Aug  5 00:20:54 GMT 2020,32,143701
Wed Aug  5 00:20:55 GMT 2020,32,144097
Wed Aug  5 00:20:55 GMT 2020,32,141049
Wed Aug  5 00:20:56 GMT 2020,32,142067
Wed Aug  5 00:20:57 GMT 2020,32,141987
Wed Aug  5 00:20:57 GMT 2020,32,108461
Wed Aug  5 00:20:58 GMT 2020,32,107677
Wed Aug  5 00:20:58 GMT 2020,32,107671
Wed Aug  5 00:20:59 GMT 2020,32,140951
Wed Aug  5 00:20:59 GMT 2020,32,190261
Wed Aug  5 00:20:59 GMT 2020,32,144985
Wed Aug  5 00:21:00 GMT 2020,32,144942
Wed Aug  5 00:21:00 GMT 2020,32,145106
Wed Aug  5 00:21:01 GMT 2020,32,139473
Wed Aug  5 00:21:02 GMT 2020,32,140125
Wed Aug  5 00:21:02 GMT 2020,32,141061
Wed Aug  5 00:21:03 GMT 2020,32,143530
Wed Aug  5 00:21:03 GMT 2020,32,142733
