Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
43,2453168,44,0,0,14,12
113,2453448,114,0,0,112,23
213,2454604,214,0,0,212,24
317,2454660,318,0,0,315,15
419,2453840,421,0,0,417,14
519,2454168,520,0,0,517,9
617,2454848,619,0,0,616,17
718,2455616,719,0,0,716,24
820,2454872,822,0,0,819,18
918,2455580,919,0,0,917,30
1024,2455648,1027,0,0,1021,19
1123,2455068,1124,0,0,1121,21
1227,2455068,1231,0,0,1223,7
1324,2453524,1325,0,0,1322,14
1423,2454220,1424,0,0,1422,17
1525,2454132,1526,0,0,1524,16
1628,2453240,1629,0,0,1625,12
1729,2453408,1730,0,0,1726,10
1826,2453760,1826,0,0,1825,21
1926,2453760,1927,0,0,1925,17
2034,2452976,2035,0,0,2031,8
2137,2453704,2138,0,0,2130,15
2230,2451608,2231,0,0,2229,27
2332,2451436,2333,0,0,2331,15
2434,2450580,2435,0,0,2432,5
2531,2451436,2532,0,0,2530,16
2632,2451684,2633,0,0,2631,14
2734,2451684,2736,0,0,2733,14
2835,2451096,2836,0,0,2833,3
2932,2456280,2933,0,0,2931,17
3033,2470120,3033,0,0,3032,26
3133,2456320,3133,0,0,3132,25
3235,2449268,3236,0,0,3233,3
3334,2449820,3335,0,0,3333,13
3434,2449676,3435,0,0,3433,15
3536,2449104,3536,0,0,3534,7
3638,2449324,3638,0,0,3635,9
3737,2449812,3738,0,0,3735,17
3836,2449920,3836,0,0,3835,24
3937,2448916,3937,0,0,3935,16
4037,2450296,4037,0,0,4036,21
4137,2452320,4137,0,0,4136,28
4241,2453292,4242,0,0,4239,23
4339,2454496,4340,0,0,4338,21
4438,2454668,4438,0,0,4437,23
4538,2449748,4538,0,0,4537,19
4640,2449748,4640,0,0,4638,13
4740,2449160,4741,0,0,4739,24
4840,2449384,4840,0,0,4839,12
4941,2449384,4942,0,0,4940,3
5041,2450960,5042,0,0,5040,9
5142,2451484,5142,0,0,5141,14
5241,2450700,5241,0,0,5240,12
5343,2450700,5343,0,0,5341,2
5442,2451476,5443,0,0,5441,16
5543,2450512,5543,0,0,5542,0
5643,2451292,5643,0,0,5642,25
5744,2451996,5744,0,0,5743,20
5844,2453388,5844,0,0,5843,30
5944,2454072,5944,0,0,5943,31
6046,2454520,6046,0,0,6044,25
6145,2454108,6145,0,0,6144,33
6246,2454312,6246,0,0,6245,25
6345,2449688,6346,0,0,6345,36
6447,2450552,6448,0,0,6446,26
6547,2452140,6548,0,0,6546,43
6647,2452140,6647,0,0,6646,41
6747,2453580,6748,0,0,6746,23
6848,2454876,6849,0,0,6847,42
6948,2455480,6948,0,0,6947,42
7048,2451700,7048,0,0,7047,38
7149,2453660,7149,0,0,7148,38
7249,2449604,7249,0,0,7248,30
7349,2449420,7350,0,0,7349,28
7449,2448960,7450,0,0,7449,14
7550,2449136,7550,0,0,7549,8
7651,2449816,7651,0,0,7650,17
7751,2449816,7752,0,0,7751,14
7852,2449376,7852,0,0,7851,11
7954,2449260,7955,0,0,7953,5
8052,2450088,8053,0,0,8052,27
8153,2451080,8153,0,0,8152,30
8253,2450832,8253,0,0,8252,24
8354,2451540,8354,0,0,8353,20
8454,2453364,8454,0,0,8453,32
8554,2454780,8554,0,0,8553,44
