RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",600678,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30052,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30052,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",551094,0,2,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",768490,0,3,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505365,0,3,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",615104,0,3,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1207083,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",776823,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",451667,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",548698,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",599219,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",515208,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",635573,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",574166,0,3,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",646198,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2514010,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",450052,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",377968,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",592969,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",627291,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",544271,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",685417,0,3,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1045261,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1127136,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",385052,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484428,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",753334,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",542239,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",497344,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",760157,0,3,1,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",633437,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1733437,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",469167,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1163594,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",473490,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",631615,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",742552,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",682500,0,3,1,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",536823,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1116354,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",265573,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",549219,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",442396,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505625,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",612552,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",673490,0,3,1,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",641406,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1097448,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",562969,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",548593,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",550417,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",692396,0,3,1,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",735729,0,3,1,True
