RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",287916,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",103229,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",677291,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",34115,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",184323,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35885,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",342135,1,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43333,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",315156,1,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64323,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",356042,1,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52656,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",343229,1,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66979,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",468906,1,1,3,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44844,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1208698,1,1,4,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42240,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",382708,1,1,4,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43750,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",560261,1,1,4,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52708,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",706614,0,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52344,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",573697,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66823,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1575417,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63386,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",457344,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85573,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",449167,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70365,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",427344,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44427,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",391041,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53437,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1129583,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45886,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2342917,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44791,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",424636,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52865,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",460781,1,1,4,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46250,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",947864,0,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48698,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",611354,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65156,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",510053,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39375,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",434167,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43385,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",415937,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60261,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",799636,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41719,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",713386,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38750,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",452604,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47031,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1328438,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46510,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",423281,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47604,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1985573,1,1,4,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51667,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1005729,0,1,4,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54167,0,0,0,True
