Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
18,2538212,18,1059952,0,81,33
82,2539132,83,1059952,0,181,27
183,2540156,183,1059952,0,283,21
285,2540396,286,1059952,0,385,7
388,2540004,393,1059952,0,483,26
484,2541160,484,1059952,0,584,18
585,2541288,585,1059952,0,684,21
686,2540764,687,1059952,0,788,6
790,2541056,791,1059952,0,886,22
887,2541656,887,1059952,0,986,15
987,2542632,987,1059952,0,1088,15
1089,2537404,1091,1059952,0,1190,3
1194,2537208,1197,1059952,0,1288,20
1289,2537544,1289,1059952,0,1388,14
1388,2537684,1389,1059952,0,1490,16
1492,2536580,1493,1059952,0,1592,5
1596,2536580,1600,1059952,0,1691,15
1692,2537412,1694,1059952,0,1791,19
1792,2537444,1792,1059952,0,1891,20
1891,2537444,1892,1059952,0,1991,3
1992,2536524,1992,1059952,0,2091,12
2092,2537316,2093,1059952,0,2192,13
2193,2538036,2194,1059952,0,2294,16
2296,2538036,2297,1059952,0,2394,14
2396,2537056,2398,1059952,0,2494,10
2496,2537568,2497,1059952,0,2594,19
2594,2538040,2595,1059952,0,2695,16
2696,2538040,2697,1059952,0,2796,12
2798,2537676,2799,1059952,0,2896,12
2897,2537676,2898,1059952,0,2996,15
2997,2538776,2998,1059952,0,3096,14
3097,2538808,3097,1059952,0,3199,8
3201,2537880,3202,1059952,0,3298,10
3300,2538388,3301,1059952,0,3398,16
3398,2538436,3399,1059952,0,3500,12
3502,2538296,3504,1059952,0,3601,16
3603,2537844,3604,1059952,0,3699,21
3700,2538236,3701,1059952,0,3799,25
3800,2539560,3800,1059952,0,3902,28
3903,2540068,3905,1059952,0,4004,20
4007,2540964,4008,1059952,0,4101,30
4102,2541220,4102,1059952,0,4202,28
4203,2544076,4204,1059952,0,4301,17
4301,2543684,4302,1059952,0,4401,10
4402,2547640,4403,1059952,0,4501,27
4502,2548436,4502,1059952,0,4602,28
4602,2534804,4602,1059952,0,4703,1
4704,2535116,4705,1059952,0,4803,19
4804,2535736,4805,1059952,0,4903,15
4904,2535524,4904,1059952,0,5004,13
5004,2534972,5005,1059952,0,5105,5
5106,2535488,5107,1059952,0,5205,15
5206,2535844,5206,1059952,0,5305,15
5306,2535844,5306,1059952,0,5405,8
5406,2535564,5406,1059952,0,5506,19
5507,2536548,5507,1059952,0,5606,25
5607,2537620,5608,1059952,0,5707,23
5707,2537972,5707,1059952,0,5808,15
5809,2539520,5810,1059952,0,5907,34
5908,2539552,5908,1059952,0,6008,23
6008,2540120,6009,1059952,0,6108,16
6109,2535456,6109,1059952,0,6208,30
6209,2537080,6209,1059952,0,6309,32
6309,2538072,6309,1059952,0,6409,21
6410,2538876,6410,1059952,0,6509,23
6510,2544616,6510,1059952,0,6610,22
