STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1283386,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77761,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57031,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67396,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64271,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56094,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",435312,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54375,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",516927,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1112604,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57240,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51823,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",541198,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63802,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",479739,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",823229,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48646,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",508645,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66250,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",693645,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",286927,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290261,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",166510,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54271,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480573,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58281,0,0,0,True
