RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",2656,0,0,0,True
1,"TfprPrefetchingStrategy",1979,0,0,0,True
1,"TfprPrefetchingStrategy",1511,0,0,0,True
1,"TfprPrefetchingStrategy",1298698,0,1,1,True
1,"TfprPrefetchingStrategy",1885729,0,1,1,True
1,"TfprPrefetchingStrategy",1160469,0,1,1,True
1,"TfprPrefetchingStrategy",746719,0,1,1,True
1,"TfprPrefetchingStrategy",722604,0,1,1,True
2,"TfprPrefetchingStrategy",2121875,0,1,1,True
2,"TfprPrefetchingStrategy",440000,0,1,1,True
2,"TfprPrefetchingStrategy",527657,0,1,1,True
2,"TfprPrefetchingStrategy",915313,0,1,1,True
2,"TfprPrefetchingStrategy",706303,0,1,1,True
2,"TfprPrefetchingStrategy",800208,0,1,1,True
2,"TfprPrefetchingStrategy",795364,0,1,1,True
2,"TfprPrefetchingStrategy",654948,0,1,1,True
3,"TfprPrefetchingStrategy",1770729,0,1,1,True
3,"TfprPrefetchingStrategy",627709,0,1,1,True
3,"TfprPrefetchingStrategy",575782,0,1,1,True
3,"TfprPrefetchingStrategy",664167,0,1,1,True
3,"TfprPrefetchingStrategy",797656,0,1,1,True
3,"TfprPrefetchingStrategy",791823,0,1,1,True
3,"TfprPrefetchingStrategy",4896250,0,1,1,True
3,"TfprPrefetchingStrategy",752917,0,1,1,True
4,"TfprPrefetchingStrategy",1870990,0,1,1,True
4,"TfprPrefetchingStrategy",720729,0,1,1,True
4,"TfprPrefetchingStrategy",575000,0,1,1,True
4,"TfprPrefetchingStrategy",555105,0,1,1,True
4,"TfprPrefetchingStrategy",1056145,0,1,1,True
4,"TfprPrefetchingStrategy",803438,0,1,1,True
4,"TfprPrefetchingStrategy",1396771,0,1,1,True
4,"TfprPrefetchingStrategy",682604,0,1,1,True
5,"TfprPrefetchingStrategy",2308750,0,1,1,True
5,"TfprPrefetchingStrategy",895209,0,1,1,True
5,"TfprPrefetchingStrategy",528906,0,1,1,True
5,"TfprPrefetchingStrategy",1135313,0,1,1,True
5,"TfprPrefetchingStrategy",709739,0,1,1,True
5,"TfprPrefetchingStrategy",356980,0,1,1,True
5,"TfprPrefetchingStrategy",752240,0,1,1,True
5,"TfprPrefetchingStrategy",399584,0,1,1,True
6,"TfprPrefetchingStrategy",1990261,0,1,1,True
6,"TfprPrefetchingStrategy",957969,0,1,1,True
6,"TfprPrefetchingStrategy",536614,0,1,1,True
6,"TfprPrefetchingStrategy",671510,0,1,1,True
6,"TfprPrefetchingStrategy",847813,0,1,1,True
6,"TfprPrefetchingStrategy",1205781,0,1,1,True
6,"TfprPrefetchingStrategy",786822,0,1,1,True
6,"TfprPrefetchingStrategy",1229740,0,1,1,True
7,"TfprPrefetchingStrategy",4006875,0,1,1,True
7,"TfprPrefetchingStrategy",489270,0,1,1,True
7,"TfprPrefetchingStrategy",998385,0,1,1,True
7,"TfprPrefetchingStrategy",816823,0,1,1,True
7,"TfprPrefetchingStrategy",859010,0,1,1,True
7,"TfprPrefetchingStrategy",790469,0,1,1,True
7,"TfprPrefetchingStrategy",847083,0,1,1,True
7,"TfprPrefetchingStrategy",775573,0,1,1,True
8,"TfprPrefetchingStrategy",2990990,0,1,1,True
8,"TfprPrefetchingStrategy",355573,0,1,1,True
8,"TfprPrefetchingStrategy",569427,0,1,1,True
8,"TfprPrefetchingStrategy",714271,0,1,1,True
8,"TfprPrefetchingStrategy",862031,0,1,1,True
8,"TfprPrefetchingStrategy",840157,0,1,1,True
8,"TfprPrefetchingStrategy",747031,0,1,1,True
8,"TfprPrefetchingStrategy",989062,0,1,1,True
9,"TfprPrefetchingStrategy",1485312,0,1,1,True
9,"TfprPrefetchingStrategy",403750,0,1,1,True
9,"TfprPrefetchingStrategy",682760,0,1,1,True
9,"TfprPrefetchingStrategy",588542,0,1,1,True
9,"TfprPrefetchingStrategy",864688,0,1,1,True
9,"TfprPrefetchingStrategy",1209792,0,1,1,True
9,"TfprPrefetchingStrategy",1039948,0,1,1,True
9,"TfprPrefetchingStrategy",1102031,0,1,1,True
10,"TfprPrefetchingStrategy",1591354,0,1,1,True
10,"TfprPrefetchingStrategy",351667,0,1,1,True
10,"TfprPrefetchingStrategy",734740,0,1,1,True
10,"TfprPrefetchingStrategy",764844,0,1,1,True
10,"TfprPrefetchingStrategy",750625,0,1,1,True
10,"TfprPrefetchingStrategy",767969,0,1,1,True
10,"TfprPrefetchingStrategy",1500468,0,1,1,True
10,"TfprPrefetchingStrategy",655990,0,1,1,True
