datetime,cpu,mem
Wed Aug  5 14:42:01 GMT 2020,9.2,69512
Wed Aug  5 14:42:01 GMT 2020,9.2,87663
Wed Aug  5 14:42:02 GMT 2020,9.2,87905
Wed Aug  5 14:42:02 GMT 2020,9.2,106192
Wed Aug  5 14:42:02 GMT 2020,9.2,106610
Wed Aug  5 14:42:03 GMT 2020,9.2,106606
Wed Aug  5 14:42:03 GMT 2020,9.2,106610
Wed Aug  5 14:42:04 GMT 2020,9.2,106706
Wed Aug  5 14:42:04 GMT 2020,9.2,106718
Wed Aug  5 14:42:04 GMT 2020,9.2,106714
Wed Aug  5 14:42:05 GMT 2020,9.2,106710
Wed Aug  5 14:42:05 GMT 2020,9.2,106710
Wed Aug  5 14:42:06 GMT 2020,9.2,106718
Wed Aug  5 14:42:06 GMT 2020,9.2,105509
Wed Aug  5 14:42:06 GMT 2020,9.2,106377
Wed Aug  5 14:42:07 GMT 2020,9.2,106381
Wed Aug  5 14:42:07 GMT 2020,9.2,106385
Wed Aug  5 14:42:08 GMT 2020,9.2,106353
Wed Aug  5 14:42:08 GMT 2020,9.2,106638
Wed Aug  5 14:42:08 GMT 2020,9.2,106663
Wed Aug  5 14:42:09 GMT 2020,0,107499
Wed Aug  5 14:42:09 GMT 2020,0,94288
Wed Aug  5 14:42:10 GMT 2020,0,94391
Wed Aug  5 14:42:10 GMT 2020,0,94383
Wed Aug  5 14:42:10 GMT 2020,0,111680
Wed Aug  5 14:42:11 GMT 2020,0,111732
Wed Aug  5 14:42:11 GMT 2020,0,129569
Wed Aug  5 14:42:12 GMT 2020,0,129998
Wed Aug  5 14:42:12 GMT 2020,0,113114
Wed Aug  5 14:42:12 GMT 2020,0,113557
Wed Aug  5 14:42:13 GMT 2020,0,113954
Wed Aug  5 14:42:13 GMT 2020,0,113966
Wed Aug  5 14:42:14 GMT 2020,0,113966
Wed Aug  5 14:42:14 GMT 2020,0,114001
Wed Aug  5 14:42:15 GMT 2020,0.1,79890
Wed Aug  5 14:42:15 GMT 2020,0.1,79882
Wed Aug  5 14:42:16 GMT 2020,0.1,79358
Wed Aug  5 14:42:16 GMT 2020,0.1,79361
Wed Aug  5 14:42:17 GMT 2020,0.1,112713
Wed Aug  5 14:42:17 GMT 2020,0.1,113019
Wed Aug  5 14:42:17 GMT 2020,0.1,113027
Wed Aug  5 14:42:18 GMT 2020,0.1,113027
Wed Aug  5 14:42:18 GMT 2020,0.1,113126
Wed Aug  5 14:42:19 GMT 2020,0.1,114513
Wed Aug  5 14:42:19 GMT 2020,0.1,114775
Wed Aug  5 14:42:20 GMT 2020,0.1,114787
Wed Aug  5 14:42:20 GMT 2020,0.1,114817
Wed Aug  5 14:42:21 GMT 2020,0.1,118698
Wed Aug  5 14:42:21 GMT 2020,0.1,122106
Wed Aug  5 14:42:22 GMT 2020,30,123998
Wed Aug  5 14:42:22 GMT 2020,30,126840
Wed Aug  5 14:42:23 GMT 2020,30,126816
Wed Aug  5 14:42:23 GMT 2020,30,126852
Wed Aug  5 14:42:24 GMT 2020,30,126856
Wed Aug  5 14:42:24 GMT 2020,30,126856
Wed Aug  5 14:42:25 GMT 2020,30,126864
Wed Aug  5 14:42:25 GMT 2020,30,126864
Wed Aug  5 14:42:26 GMT 2020,30,126864
Wed Aug  5 14:42:26 GMT 2020,30,126584
Wed Aug  5 14:42:27 GMT 2020,30,126591
Wed Aug  5 14:42:27 GMT 2020,0.1,127378
Wed Aug  5 14:42:28 GMT 2020,0.1,130164
Wed Aug  5 14:42:28 GMT 2020,0.1,131936
Wed Aug  5 14:42:29 GMT 2020,0.1,135511
Wed Aug  5 14:42:29 GMT 2020,0.1,133099
Wed Aug  5 14:42:30 GMT 2020,0.1,133805
Wed Aug  5 14:42:30 GMT 2020,0.1,133805
Wed Aug  5 14:42:31 GMT 2020,0.1,133805
Wed Aug  5 14:42:32 GMT 2020,0.1,133153
Wed Aug  5 14:42:32 GMT 2020,0.1,135146
Wed Aug  5 14:42:32 GMT 2020,0.1,135261
Wed Aug  5 14:42:33 GMT 2020,0.1,134885
Wed Aug  5 14:42:33 GMT 2020,0.1,134885
Wed Aug  5 14:42:34 GMT 2020,0.1,134889
Wed Aug  5 14:42:34 GMT 2020,0.1,134889
Wed Aug  5 14:42:35 GMT 2020,0.1,135049
Wed Aug  5 14:42:35 GMT 2020,0.1,135137
Wed Aug  5 14:42:36 GMT 2020,0.1,135133
Wed Aug  5 14:42:37 GMT 2020,0.1,135125
Wed Aug  5 14:42:37 GMT 2020,24,103874
Wed Aug  5 14:42:37 GMT 2020,24,100778
Wed Aug  5 14:42:38 GMT 2020,24,100780
Wed Aug  5 14:42:38 GMT 2020,24,134027
Wed Aug  5 14:42:39 GMT 2020,24,135228
Wed Aug  5 14:42:39 GMT 2020,24,145564
Wed Aug  5 14:42:40 GMT 2020,24,145101
Wed Aug  5 14:42:41 GMT 2020,24,145717
Wed Aug  5 14:42:41 GMT 2020,24,146229
Wed Aug  5 14:42:42 GMT 2020,24,146099
Wed Aug  5 14:42:42 GMT 2020,24,147947
Wed Aug  5 14:42:43 GMT 2020,0.1,148067
Wed Aug  5 14:42:44 GMT 2020,0.1,166345
Wed Aug  5 14:42:44 GMT 2020,0.1,152938
Wed Aug  5 14:42:45 GMT 2020,0.1,153022
Wed Aug  5 14:42:46 GMT 2020,0.1,153686
Wed Aug  5 14:42:46 GMT 2020,0.1,153650
Wed Aug  5 14:42:47 GMT 2020,0.1,152114
Wed Aug  5 14:42:48 GMT 2020,0.1,155144
Wed Aug  5 14:42:48 GMT 2020,41,155101
Wed Aug  5 14:42:49 GMT 2020,41,137819
Wed Aug  5 14:42:49 GMT 2020,41,132963
Wed Aug  5 14:42:50 GMT 2020,41,132959
Wed Aug  5 14:42:50 GMT 2020,41,175459
Wed Aug  5 14:42:51 GMT 2020,41,154292
Wed Aug  5 14:42:51 GMT 2020,41,153276
Wed Aug  5 14:42:52 GMT 2020,41,152472
Wed Aug  5 14:42:53 GMT 2020,41,148108
Wed Aug  5 14:42:53 GMT 2020,41,148548
Wed Aug  5 14:42:54 GMT 2020,41,149094
Wed Aug  5 14:42:55 GMT 2020,41,151920
Wed Aug  5 14:42:56 GMT 2020,0.1,133761
Wed Aug  5 14:42:56 GMT 2020,0.1,133713
Wed Aug  5 14:42:57 GMT 2020,0.1,150511
Wed Aug  5 14:42:58 GMT 2020,0.1,128119
