Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,171750,2615543.39789965,690404.874562427,673531.5945157526,38.26793793714744,690404.874562427,673531.5945157526
2,176671,2548169.3976176973,622508.5808281339,622508.5808281339,46.915989445876335,1224869.0044642857,1224869.0044642857
3,161731,2631525.17472119,2015883.9002478314,2011223.9002478314,28.49967907820204,2015883.9002478314,2011223.9002478314
4,166526,2447903.4969915766,1445667.966305656,1445667.966305656,32.6664541582858,1775831.603843311,1775831.603843311
5,169320,2633788.5940828403,1327264.098224852,1327264.098224852,35.049721298273866,2090471.8788443615,2090471.8788443615
6,175775,2617807.4184720637,532549.4139110604,532549.4139110604,45.296619617775434,854612.6916742909,854612.6916742909
7,179246,2484355.9284116332,986750.5352348994,986750.5352348994,53.93618906055283,1218446.1029005526,1218446.1029005526
8,181476,2594960.718232044,599831.0640883978,581139.2408839779,57.24708036995208,1087869.9659318638,1053969.9659318638
9,180954,2515660.5961218835,710539.4210526316,710539.4210526316,55.37526016528418,1237957.195945946,1237957.195945946
10,182464,2610244.8175824177,549061.5296703296,542053.3598901099,59.13082327013646,549061.5296703296,542053.3598901099
