Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
5,2494248,6,17977,0,80,16
81,2493488,81,17977,0,180,20
181,2493864,181,17977,0,281,18
282,2494336,282,17977,0,381,15
382,2494336,382,17977,0,481,15
482,2493604,482,17977,0,583,7
584,2493816,585,17977,0,683,19
683,2494472,684,17977,0,783,16
784,2494888,784,17977,0,883,16
884,2495168,884,17977,0,984,19
984,2495096,985,17977,0,1084,11
1085,2495024,1085,17977,0,1185,19
1186,2495648,1186,17977,0,1285,19
1286,2495700,1286,17977,0,1386,12
1387,2494912,1388,17977,0,1487,3
1488,2493932,1489,17977,0,1588,13
1589,2494920,1590,17977,0,1689,15
1690,2494528,1691,17977,0,1789,15
1790,2494332,1790,17977,0,1890,13
1892,2493816,1892,17977,0,1992,7
1994,2494292,1994,17977,0,2091,16
2092,2495016,2093,17977,0,2191,15
2192,2494820,2192,17977,0,2291,17
2292,2495068,2292,17977,0,2392,5
2393,2494676,2393,17977,0,2493,16
2494,2494944,2494,17977,0,2593,14
2594,2494628,2594,17977,0,2693,15
2694,2494628,2695,17977,0,2794,12
2795,2493984,2795,17977,0,2895,6
2896,2494292,2897,17977,0,2995,24
2996,2494520,2997,17977,0,3096,15
3097,2494768,3097,17977,0,3196,16
3197,2494768,3197,17977,0,3297,6
3298,2494376,3298,17977,0,3397,8
3399,2494460,3399,17977,0,3498,19
3499,2495456,3500,17977,0,3597,13
3598,2495456,3599,21299,3322,3698,25
3699,2494744,3699,21299,3322,3798,10
3799,2494704,3799,21299,3322,3899,37
3900,2510304,3900,21299,3322,3999,37
4000,2510524,4000,21299,3322,4099,30
4100,2496340,4100,21299,3322,4201,18
4203,2496588,4203,21299,3322,4300,28
4301,2498476,4301,21299,3322,4400,31
4401,2502640,4402,21299,3322,4501,20
4502,2497168,4502,21299,3322,4601,25
4602,2498948,4603,21299,3322,4701,39
4702,2500684,4703,21299,3322,4802,38
4803,2501504,4803,21299,3322,4902,25
4903,2503340,4903,21299,3322,5003,26
5004,2503328,5004,21299,3322,5103,27
5104,2504688,5104,21299,3322,5203,30
5205,2499592,5205,21299,3322,5304,18
5306,2499804,5306,21299,3322,5405,33
5406,2501732,5406,21299,3322,5505,27
5507,2501776,5507,21299,3322,5605,24
5606,2501944,5606,21299,3322,5706,21
5707,2497976,5707,21299,3322,5806,35
5808,2485044,5808,21299,3322,5907,36
5909,2485948,5909,21299,3322,6007,19
6008,2485948,6009,21299,3322,6108,11
6110,2485376,6110,21299,3322,6208,27
6210,2489016,6210,21299,3322,6309,31
6311,2489632,6311,21299,3322,6409,45
6410,2492508,6411,21299,3322,6510,24
6511,2507568,6511,21299,3322,6612,27
6613,2507828,6614,21299,3322,6712,31
6713,2509200,6713,21299,3322,6812,23
6813,2509096,6813,21299,3322,6913,19
6913,2511200,6913,21299,3322,7013,10
7014,2510848,7014,21299,3322,7114,20
7115,2511496,7115,21299,3322,7215,19
7216,2511496,7216,21299,3322,7314,18
7315,2511300,7315,21299,3322,7415,18
7415,2510712,7416,21299,3322,7515,3
7516,2510712,7516,21299,3322,7616,17
