Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
20,2526844,21,0,0,88,16
90,2526844,91,0,0,187,24
188,2527388,189,0,0,287,20
288,2527824,288,0,0,389,11
391,2527468,393,0,0,491,10
494,2526992,495,0,0,589,27
590,2528256,590,0,0,689,28
690,2529016,690,0,0,790,24
793,2528232,795,0,0,891,10
893,2528480,895,0,0,990,14
991,2528784,992,0,0,1091,16
1091,2529012,1092,0,0,1193,13
1195,2528424,1196,0,0,1293,8
1295,2526464,1297,0,0,1392,17
1393,2527128,1393,0,0,1492,14
1493,2525852,1494,0,0,1595,14
1596,2524872,1597,0,0,1695,6
1698,2524748,1699,0,0,1794,16
1794,2525832,1795,0,0,1894,14
1895,2525632,1895,0,0,1997,10
1998,2524848,1999,0,0,2096,5
2098,2524848,2099,0,0,2195,15
2196,2525676,2197,0,0,2295,13
2296,2525480,2297,0,0,2398,8
2400,2524696,2402,0,0,2498,10
2500,2524712,2501,0,0,2597,14
2598,2525064,2598,0,0,2697,13
2699,2525064,2699,0,0,2800,16
2802,2524556,2804,0,0,2902,3
2905,2524556,2906,0,0,2999,21
3000,2525520,3001,0,0,3100,15
3102,2525728,3103,0,0,3201,15
3203,2525956,3204,0,0,3304,6
3307,2524780,3309,0,0,3401,15
3402,2525300,3403,0,0,3502,18
3504,2526000,3505,0,0,3601,15
3602,2525936,3603,0,0,3705,13
3707,2525348,3708,0,0,3803,23
3804,2525720,3805,221667,221667,3903,27
3904,2526216,3905,221667,221667,4004,23
4005,2525412,4005,221667,221667,4104,14
4105,2524708,4105,221667,221667,4205,23
4206,2526620,4207,221667,221667,4305,30
4306,2532828,4307,221667,221667,4405,37
4405,2547768,4406,221667,221667,4505,30
4506,2543520,4506,221667,221667,4606,18
4608,2526764,4608,221667,221667,4706,29
4706,2522832,4707,221667,221667,4808,14
4809,2523380,4809,221667,221667,4907,29
4907,2524340,4907,221667,221667,5007,29
5008,2525392,5008,221667,221667,5107,22
5108,2525532,5108,221667,221667,5208,25
5209,2530900,5209,221667,221667,5308,33
5309,2527308,5309,221667,221667,5408,32
5409,2526684,5409,221667,221667,5509,30
5509,2528256,5510,221667,221667,5609,33
5610,2528916,5610,221667,221667,5710,32
5710,2530964,5711,221667,221667,5810,27
5811,2530332,5811,221667,221667,5910,40
5911,2539444,5911,221667,221667,6010,44
6011,2538976,6011,221667,221667,6112,29
6114,2539476,6114,221667,221667,6211,37
6212,2541028,6212,221667,221667,6312,35
6312,2543232,6313,221667,221667,6412,26
6413,2540632,6413,221667,221667,6513,28
6513,2543728,6513,221667,221667,6613,44
6613,2542608,6614,221667,221667,6713,46
6714,2558016,6714,221667,221667,6814,16
6814,2558616,6814,221667,221667,6914,33
6915,2560708,6915,221667,221667,7014,26
7015,2561060,7015,221667,221667,7115,19
7115,2559444,7116,221667,221667,7216,20
7216,2555772,7217,221667,221667,7316,35
7316,2558120,7317,221667,221667,7416,35
7417,2559136,7417,221667,221667,7517,24
