datetime,cpu,mem
Wed Aug  5 13:22:23 GMT 2020,21,18181
Wed Aug  5 13:22:23 GMT 2020,21,97297
Wed Aug  5 13:22:24 GMT 2020,21,97551
Wed Aug  5 13:22:24 GMT 2020,21,97551
Wed Aug  5 13:22:24 GMT 2020,21,97551
Wed Aug  5 13:22:25 GMT 2020,21,121916
Wed Aug  5 13:22:25 GMT 2020,21,125355
Wed Aug  5 13:22:25 GMT 2020,21,135082
Wed Aug  5 13:22:26 GMT 2020,21,151965
Wed Aug  5 13:22:26 GMT 2020,21,151953
Wed Aug  5 13:22:27 GMT 2020,21,151957
Wed Aug  5 13:22:27 GMT 2020,21,151958
Wed Aug  5 13:22:27 GMT 2020,21,151958
Wed Aug  5 13:22:28 GMT 2020,21,151953
Wed Aug  5 13:22:28 GMT 2020,21,154418
Wed Aug  5 13:22:28 GMT 2020,21,155017
Wed Aug  5 13:22:29 GMT 2020,21,157157
Wed Aug  5 13:22:29 GMT 2020,21,158104
Wed Aug  5 13:22:29 GMT 2020,21,163870
Wed Aug  5 13:22:30 GMT 2020,21,166294
Wed Aug  5 13:22:30 GMT 2020,21,166290
Wed Aug  5 13:22:30 GMT 2020,21,166294
Wed Aug  5 13:22:31 GMT 2020,21,166290
Wed Aug  5 13:22:31 GMT 2020,21,166294
Wed Aug  5 13:22:32 GMT 2020,21,166290
Wed Aug  5 13:22:32 GMT 2020,21,166294
Wed Aug  5 13:22:33 GMT 2020,21,166290
Wed Aug  5 13:22:33 GMT 2020,21,166302
Wed Aug  5 13:22:33 GMT 2020,21,166094
Wed Aug  5 13:22:34 GMT 2020,21,166118
Wed Aug  5 13:22:34 GMT 2020,21,166118
Wed Aug  5 13:22:35 GMT 2020,21,166126
Wed Aug  5 13:22:35 GMT 2020,21,166130
Wed Aug  5 13:22:36 GMT 2020,21,166134
Wed Aug  5 13:22:36 GMT 2020,21,166130
Wed Aug  5 13:22:36 GMT 2020,21,166053
Wed Aug  5 13:22:37 GMT 2020,21,153877
Wed Aug  5 13:22:37 GMT 2020,21,170599
Wed Aug  5 13:22:37 GMT 2020,21,172419
Wed Aug  5 13:22:38 GMT 2020,21,172445
Wed Aug  5 13:22:38 GMT 2020,21,172445
Wed Aug  5 13:22:39 GMT 2020,21,172369
Wed Aug  5 13:22:39 GMT 2020,21,172385
Wed Aug  5 13:22:40 GMT 2020,21,172389
Wed Aug  5 13:22:40 GMT 2020,21,172393
Wed Aug  5 13:22:41 GMT 2020,21,172393
Wed Aug  5 13:22:41 GMT 2020,21,172393
Wed Aug  5 13:22:41 GMT 2020,21,172401
Wed Aug  5 13:22:42 GMT 2020,21,172401
Wed Aug  5 13:22:42 GMT 2020,21,172401
Wed Aug  5 13:22:43 GMT 2020,21,172397
Wed Aug  5 13:22:43 GMT 2020,21,172373
Wed Aug  5 13:22:44 GMT 2020,21,172409
Wed Aug  5 13:22:44 GMT 2020,21,172385
Wed Aug  5 13:22:45 GMT 2020,21,172389
Wed Aug  5 13:22:45 GMT 2020,21,172393
Wed Aug  5 13:22:45 GMT 2020,21,172397
Wed Aug  5 13:22:46 GMT 2020,21,172397
Wed Aug  5 13:22:46 GMT 2020,21,172397
Wed Aug  5 13:22:47 GMT 2020,21,172397
Wed Aug  5 13:22:47 GMT 2020,21,172397
Wed Aug  5 13:22:48 GMT 2020,21,172397
Wed Aug  5 13:22:48 GMT 2020,21,172397
Wed Aug  5 13:22:49 GMT 2020,21,172397
Wed Aug  5 13:22:49 GMT 2020,21,172329
Wed Aug  5 13:22:49 GMT 2020,21,139287
Wed Aug  5 13:22:50 GMT 2020,21,139291
Wed Aug  5 13:22:50 GMT 2020,21,138867
Wed Aug  5 13:22:51 GMT 2020,21,138865
Wed Aug  5 13:22:51 GMT 2020,21,139096
Wed Aug  5 13:22:51 GMT 2020,21,172701
Wed Aug  5 13:22:52 GMT 2020,21,172753
Wed Aug  5 13:22:52 GMT 2020,21,173522
Wed Aug  5 13:22:52 GMT 2020,21,173378
Wed Aug  5 13:22:53 GMT 2020,21,173378
Wed Aug  5 13:22:53 GMT 2020,21,173374
Wed Aug  5 13:22:54 GMT 2020,21,173374
Wed Aug  5 13:22:54 GMT 2020,21,173290
Wed Aug  5 13:22:55 GMT 2020,21,173294
Wed Aug  5 13:22:55 GMT 2020,21,173292
