STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",551198,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",322708,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",266406,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38437,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",436823,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53177,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",304636,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283959,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",261823,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",32500,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",308489,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",161875,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",386354,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",29792,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",390521,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41875,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",183333,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",860573,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",403281,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45000,0,0,0,True
