Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,111088,2529756.34625789,1196163.6510369703,1196163.6510369703,25.209197475202885,1240921.8793264735,1240921.8793264735
2,109465,2514482.986276304,663712.5580969808,663712.5580969808,21.331483975627986,1288521.893428064,1288521.893428064
3,110991,2557461.499548329,749871.8319783198,749871.8319783198,25.84552845528455,1037635.1475,1037635.1475
4,107208,2626265.6074766354,1599257.5859813085,1449117.5859813085,19.666355140186916,1599257.5859813085,1449117.5859813085
5,111095,2618442.1929666367,801625.1523895401,801625.1523895401,25.85918475039455,1262787.3494318181,1262787.3494318181
6,110929,2382179.244805781,408289.48238482384,408289.48238482384,22.646793134598013,727820.381642512,727820.381642512
7,113621,2456262.9488536157,1019170.0202821869,172596.3659611993,32.90917107583774,1289887.056919643,218442.27566964287
8,112303,2470540.349687779,868096.9045495094,868096.9045495094,26.024085637823372,1045259.5381310419,1045259.5381310419
9,115042,2603471.0139372824,178287.6132404181,174284.6132404181,37.88588850174216,178287.6132404181,174284.6132404181
10,112116,2450184.9222520106,854473.7015192136,854473.7015192136,27.663985701519213,1243375.9063719115,1243375.9063719115
