datetime,cpu,mem
Wed Aug  5 15:48:25 GMT 2020,0,74526
Wed Aug  5 15:48:25 GMT 2020,0,77583
Wed Aug  5 15:48:26 GMT 2020,0,77612
Wed Aug  5 15:48:26 GMT 2020,0,123413
Wed Aug  5 15:48:27 GMT 2020,0,190862
Wed Aug  5 15:48:27 GMT 2020,0,215492
Wed Aug  5 15:48:27 GMT 2020,0,214406
Wed Aug  5 15:48:28 GMT 2020,0,193984
Wed Aug  5 15:48:28 GMT 2020,0,219705
Wed Aug  5 15:48:29 GMT 2020,0,228482
Wed Aug  5 15:48:29 GMT 2020,0,228671
Wed Aug  5 15:48:30 GMT 2020,0,228679
Wed Aug  5 15:48:30 GMT 2020,0,227381
Wed Aug  5 15:48:31 GMT 2020,0,227401
Wed Aug  5 15:48:31 GMT 2020,0,227413
Wed Aug  5 15:48:32 GMT 2020,0,227405
Wed Aug  5 15:48:32 GMT 2020,0,228430
Wed Aug  5 15:48:33 GMT 2020,0,220786
Wed Aug  5 15:48:33 GMT 2020,0,246438
Wed Aug  5 15:48:34 GMT 2020,0,241410
Wed Aug  5 15:48:34 GMT 2020,0,241414
Wed Aug  5 15:48:35 GMT 2020,0,241414
Wed Aug  5 15:48:36 GMT 2020,0,241210
Wed Aug  5 15:48:36 GMT 2020,0,241226
Wed Aug  5 15:48:37 GMT 2020,0,241247
Wed Aug  5 15:48:37 GMT 2020,0,233732
Wed Aug  5 15:48:38 GMT 2020,0,248388
Wed Aug  5 15:48:39 GMT 2020,0,244064
Wed Aug  5 15:48:39 GMT 2020,0,245236
Wed Aug  5 15:48:40 GMT 2020,0,245232
Wed Aug  5 15:48:41 GMT 2020,0,244632
Wed Aug  5 15:48:41 GMT 2020,0,244656
Wed Aug  5 15:48:42 GMT 2020,0,244601
Wed Aug  5 15:48:42 GMT 2020,0,210920
Wed Aug  5 15:48:43 GMT 2020,0,227414
Wed Aug  5 15:48:43 GMT 2020,0,227441
Wed Aug  5 15:48:44 GMT 2020,0,267844
Wed Aug  5 15:48:45 GMT 2020,0,257416
Wed Aug  5 15:48:45 GMT 2020,0,254896
Wed Aug  5 15:48:46 GMT 2020,0,250420
Wed Aug  5 15:48:47 GMT 2020,0,250403
Wed Aug  5 15:48:47 GMT 2020,0,213068
Wed Aug  5 15:48:48 GMT 2020,0,212620
Wed Aug  5 15:48:48 GMT 2020,0,212609
Wed Aug  5 15:48:49 GMT 2020,0,229770
Wed Aug  5 15:48:50 GMT 2020,0,229754
Wed Aug  5 15:48:50 GMT 2020,0,229754
Wed Aug  5 15:48:51 GMT 2020,0,229750
Wed Aug  5 15:48:52 GMT 2020,0,229606
Wed Aug  5 15:48:52 GMT 2020,0,229706
Wed Aug  5 15:48:53 GMT 2020,0,229667
Wed Aug  5 15:48:53 GMT 2020,0,230610
Wed Aug  5 15:48:54 GMT 2020,0,231226
Wed Aug  5 15:48:55 GMT 2020,0,231218
Wed Aug  5 15:48:55 GMT 2020,0,247958
Wed Aug  5 15:48:56 GMT 2020,0,247902
Wed Aug  5 15:48:57 GMT 2020,0,247314
Wed Aug  5 15:48:57 GMT 2020,0,247318
Wed Aug  5 15:48:58 GMT 2020,0,247317
Wed Aug  5 15:48:59 GMT 2020,0,229809
Wed Aug  5 15:48:59 GMT 2020,0,229385
Wed Aug  5 15:49:00 GMT 2020,0,229384
Wed Aug  5 15:49:01 GMT 2020,0,229517
Wed Aug  5 15:49:01 GMT 2020,0,229501
