RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",1146,0,0,0,True
1,"TfprPrefetchingStrategy",834,0,0,0,True
1,"TfprPrefetchingStrategy",782,0,0,0,True
1,"TfprPrefetchingStrategy",1042,0,0,0,True
1,"TfprPrefetchingStrategy",981510,0,1,1,True
1,"TfprPrefetchingStrategy",1198,0,0,0,True
1,"TfprPrefetchingStrategy",1372500,0,1,2,True
1,"TfprPrefetchingStrategy",834,0,0,0,True
1,"TfprPrefetchingStrategy",1771,0,0,0,True
1,"TfprPrefetchingStrategy",1077969,0,1,1,True
1,"TfprPrefetchingStrategy",969167,0,1,2,True
1,"TfprPrefetchingStrategy",2344,0,0,0,True
1,"TfprPrefetchingStrategy",1980,0,0,0,True
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",1667,0,0,0,True
1,"TfprPrefetchingStrategy",3229,0,0,0,True
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",2291,0,0,0,True
1,"TfprPrefetchingStrategy",6614,0,0,0,True
1,"TfprPrefetchingStrategy",4427,0,0,0,True
1,"TfprPrefetchingStrategy",1719,0,0,0,True
1,"TfprPrefetchingStrategy",1354,0,0,0,True
2,"TfprPrefetchingStrategy",2514479,0,0,5,True
2,"TfprPrefetchingStrategy",970052,0,0,5,True
2,"TfprPrefetchingStrategy",2035677,0,1,2,True
2,"TfprPrefetchingStrategy",937,0,0,0,True
2,"TfprPrefetchingStrategy",734218,0,1,2,True
2,"TfprPrefetchingStrategy",989,0,0,0,True
2,"TfprPrefetchingStrategy",670521,0,1,2,True
2,"TfprPrefetchingStrategy",885,0,0,0,True
2,"TfprPrefetchingStrategy",1198,0,0,0,True
2,"TfprPrefetchingStrategy",1561406,0,0,5,True
2,"TfprPrefetchingStrategy",644480,0,1,2,True
2,"TfprPrefetchingStrategy",885,0,0,0,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",1875,0,0,0,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",1459,0,0,0,True
2,"TfprPrefetchingStrategy",1146,0,0,0,True
2,"TfprPrefetchingStrategy",1979,0,0,0,True
2,"TfprPrefetchingStrategy",1667,0,0,0,True
2,"TfprPrefetchingStrategy",1979,0,0,0,True
2,"TfprPrefetchingStrategy",1823,0,0,0,True
2,"TfprPrefetchingStrategy",1875,0,0,0,True
3,"TfprPrefetchingStrategy",3954323,0,0,5,True
3,"TfprPrefetchingStrategy",1395000,0,0,5,True
3,"TfprPrefetchingStrategy",1555365,0,1,2,True
3,"TfprPrefetchingStrategy",990,0,0,0,True
3,"TfprPrefetchingStrategy",1270990,0,1,2,True
3,"TfprPrefetchingStrategy",938,0,0,0,True
3,"TfprPrefetchingStrategy",608021,0,1,2,True
3,"TfprPrefetchingStrategy",625,0,0,0,True
3,"TfprPrefetchingStrategy",1406,0,0,0,True
3,"TfprPrefetchingStrategy",1829844,0,0,5,True
3,"TfprPrefetchingStrategy",687083,0,1,2,True
3,"TfprPrefetchingStrategy",1146,0,0,0,True
3,"TfprPrefetchingStrategy",1614,0,0,0,True
3,"TfprPrefetchingStrategy",1615,0,0,0,True
3,"TfprPrefetchingStrategy",1667,0,0,0,True
3,"TfprPrefetchingStrategy",4531,0,0,0,True
3,"TfprPrefetchingStrategy",1666,0,0,0,True
3,"TfprPrefetchingStrategy",1563,0,0,0,True
3,"TfprPrefetchingStrategy",1771,0,0,0,True
3,"TfprPrefetchingStrategy",1771,0,0,0,True
3,"TfprPrefetchingStrategy",1979,0,0,0,True
3,"TfprPrefetchingStrategy",2448,0,0,0,True
4,"TfprPrefetchingStrategy",2250261,0,0,5,True
4,"TfprPrefetchingStrategy",1041979,0,0,5,True
4,"TfprPrefetchingStrategy",2111562,0,1,2,True
4,"TfprPrefetchingStrategy",833,0,0,0,True
4,"TfprPrefetchingStrategy",716718,0,1,2,True
4,"TfprPrefetchingStrategy",677,0,0,0,True
4,"TfprPrefetchingStrategy",1916770,0,1,2,True
4,"TfprPrefetchingStrategy",1980,0,0,0,True
4,"TfprPrefetchingStrategy",1927,0,0,0,True
4,"TfprPrefetchingStrategy",1870625,0,0,5,True
4,"TfprPrefetchingStrategy",1563750,0,1,2,True
4,"TfprPrefetchingStrategy",2500,0,0,0,True
4,"TfprPrefetchingStrategy",1980,0,0,0,True
4,"TfprPrefetchingStrategy",1771,0,0,0,True
4,"TfprPrefetchingStrategy",1667,0,0,0,True
4,"TfprPrefetchingStrategy",1667,0,0,0,True
4,"TfprPrefetchingStrategy",2032,0,0,0,True
4,"TfprPrefetchingStrategy",2188,0,0,0,True
4,"TfprPrefetchingStrategy",1666,0,0,0,True
4,"TfprPrefetchingStrategy",1718,0,0,0,True
4,"TfprPrefetchingStrategy",2031,0,0,0,True
4,"TfprPrefetchingStrategy",2552,0,0,0,True
5,"TfprPrefetchingStrategy",3759062,0,0,5,True
5,"TfprPrefetchingStrategy",1076771,0,0,5,True
5,"TfprPrefetchingStrategy",685469,0,1,2,True
5,"TfprPrefetchingStrategy",781,0,0,0,True
5,"TfprPrefetchingStrategy",1003854,0,1,2,True
5,"TfprPrefetchingStrategy",1406,0,0,0,True
5,"TfprPrefetchingStrategy",1721875,0,1,2,True
5,"TfprPrefetchingStrategy",1459,0,0,0,True
5,"TfprPrefetchingStrategy",1979,0,0,0,True
5,"TfprPrefetchingStrategy",1821927,0,0,5,True
5,"TfprPrefetchingStrategy",797813,0,1,2,True
5,"TfprPrefetchingStrategy",781,0,0,0,True
5,"TfprPrefetchingStrategy",5156,0,0,0,True
5,"TfprPrefetchingStrategy",1771,0,0,0,True
5,"TfprPrefetchingStrategy",1615,0,0,0,True
5,"TfprPrefetchingStrategy",1823,0,0,0,True
5,"TfprPrefetchingStrategy",2709,0,0,0,True
5,"TfprPrefetchingStrategy",2396,0,0,0,True
5,"TfprPrefetchingStrategy",781,0,0,0,True
5,"TfprPrefetchingStrategy",1771,0,0,0,True
5,"TfprPrefetchingStrategy",1875,0,0,0,True
5,"TfprPrefetchingStrategy",2448,0,0,0,True
6,"TfprPrefetchingStrategy",2186562,0,0,5,True
6,"TfprPrefetchingStrategy",1287240,0,0,5,True
6,"TfprPrefetchingStrategy",2685312,0,1,2,True
6,"TfprPrefetchingStrategy",1302,0,0,0,True
6,"TfprPrefetchingStrategy",777084,0,1,2,True
6,"TfprPrefetchingStrategy",989,0,0,0,True
6,"TfprPrefetchingStrategy",1513177,0,1,2,True
6,"TfprPrefetchingStrategy",1302,0,0,0,True
6,"TfprPrefetchingStrategy",2344,0,0,0,True
6,"TfprPrefetchingStrategy",1563854,0,0,5,True
6,"TfprPrefetchingStrategy",1406510,0,1,2,True
6,"TfprPrefetchingStrategy",2136,0,0,0,True
6,"TfprPrefetchingStrategy",1666,0,0,0,True
6,"TfprPrefetchingStrategy",1771,0,0,0,True
6,"TfprPrefetchingStrategy",1562,0,0,0,True
6,"TfprPrefetchingStrategy",1719,0,0,0,True
6,"TfprPrefetchingStrategy",1667,0,0,0,True
6,"TfprPrefetchingStrategy",1823,0,0,0,True
6,"TfprPrefetchingStrategy",1719,0,0,0,True
6,"TfprPrefetchingStrategy",2968,0,0,0,True
6,"TfprPrefetchingStrategy",1823,0,0,0,True
6,"TfprPrefetchingStrategy",1771,0,0,0,True
7,"TfprPrefetchingStrategy",3237032,0,0,5,True
7,"TfprPrefetchingStrategy",1284062,0,0,5,True
7,"TfprPrefetchingStrategy",1163386,0,1,2,True
7,"TfprPrefetchingStrategy",1146,0,0,0,True
7,"TfprPrefetchingStrategy",1159688,0,1,2,True
7,"TfprPrefetchingStrategy",1667,0,0,0,True
7,"TfprPrefetchingStrategy",1151094,0,1,2,True
7,"TfprPrefetchingStrategy",2292,0,0,0,True
7,"TfprPrefetchingStrategy",1980,0,0,0,True
7,"TfprPrefetchingStrategy",2300416,0,0,5,True
7,"TfprPrefetchingStrategy",1606146,0,1,2,True
7,"TfprPrefetchingStrategy",1094,0,0,0,True
7,"TfprPrefetchingStrategy",1718,0,0,0,True
7,"TfprPrefetchingStrategy",1875,0,0,0,True
7,"TfprPrefetchingStrategy",2239,0,0,0,True
7,"TfprPrefetchingStrategy",1823,0,0,0,True
7,"TfprPrefetchingStrategy",1458,0,0,0,True
7,"TfprPrefetchingStrategy",1823,0,0,0,True
7,"TfprPrefetchingStrategy",1510,0,0,0,True
7,"TfprPrefetchingStrategy",2604,0,0,0,True
7,"TfprPrefetchingStrategy",1823,0,0,0,True
7,"TfprPrefetchingStrategy",7291,0,0,0,True
8,"TfprPrefetchingStrategy",2800104,0,0,5,True
8,"TfprPrefetchingStrategy",2378698,0,0,5,True
8,"TfprPrefetchingStrategy",1401458,0,1,2,True
8,"TfprPrefetchingStrategy",1823,0,0,0,True
8,"TfprPrefetchingStrategy",3365156,0,1,2,True
8,"TfprPrefetchingStrategy",1094,0,0,0,True
8,"TfprPrefetchingStrategy",1066459,0,1,2,True
8,"TfprPrefetchingStrategy",1407,0,0,0,True
8,"TfprPrefetchingStrategy",1719,0,0,0,True
8,"TfprPrefetchingStrategy",1944740,0,0,5,True
8,"TfprPrefetchingStrategy",1831823,0,1,2,True
8,"TfprPrefetchingStrategy",2240,0,0,0,True
8,"TfprPrefetchingStrategy",1979,0,0,0,True
8,"TfprPrefetchingStrategy",1927,0,0,0,True
8,"TfprPrefetchingStrategy",6146,0,0,0,True
8,"TfprPrefetchingStrategy",1875,0,0,0,True
8,"TfprPrefetchingStrategy",2292,0,0,0,True
8,"TfprPrefetchingStrategy",2135,0,0,0,True
8,"TfprPrefetchingStrategy",2240,0,0,0,True
8,"TfprPrefetchingStrategy",1771,0,0,0,True
8,"TfprPrefetchingStrategy",4739,0,0,0,True
8,"TfprPrefetchingStrategy",1823,0,0,0,True
9,"TfprPrefetchingStrategy",5622500,0,0,5,True
9,"TfprPrefetchingStrategy",2327136,0,0,5,True
9,"TfprPrefetchingStrategy",993854,0,1,2,True
9,"TfprPrefetchingStrategy",1823,0,0,0,True
9,"TfprPrefetchingStrategy",2116771,0,1,2,True
9,"TfprPrefetchingStrategy",1771,0,0,0,True
9,"TfprPrefetchingStrategy",1072761,0,1,2,True
9,"TfprPrefetchingStrategy",1146,0,0,0,True
9,"TfprPrefetchingStrategy",1927,0,0,0,True
9,"TfprPrefetchingStrategy",1928959,0,0,5,True
9,"TfprPrefetchingStrategy",1068281,0,1,2,True
9,"TfprPrefetchingStrategy",938,0,0,0,True
9,"TfprPrefetchingStrategy",2709,0,0,0,True
9,"TfprPrefetchingStrategy",1927,0,0,0,True
9,"TfprPrefetchingStrategy",2448,0,0,0,True
9,"TfprPrefetchingStrategy",1875,0,0,0,True
9,"TfprPrefetchingStrategy",1511,0,0,0,True
9,"TfprPrefetchingStrategy",1771,0,0,0,True
9,"TfprPrefetchingStrategy",1770,0,0,0,True
9,"TfprPrefetchingStrategy",3490,0,0,0,True
9,"TfprPrefetchingStrategy",1875,0,0,0,True
9,"TfprPrefetchingStrategy",2083,0,0,0,True
10,"TfprPrefetchingStrategy",2180261,0,0,5,True
10,"TfprPrefetchingStrategy",947344,0,0,5,True
10,"TfprPrefetchingStrategy",2010833,0,1,2,True
10,"TfprPrefetchingStrategy",1666,0,0,0,True
10,"TfprPrefetchingStrategy",2810729,0,1,2,True
10,"TfprPrefetchingStrategy",885,0,0,0,True
10,"TfprPrefetchingStrategy",1071041,0,1,2,True
10,"TfprPrefetchingStrategy",1250,0,0,0,True
10,"TfprPrefetchingStrategy",886,0,0,0,True
10,"TfprPrefetchingStrategy",1897396,0,0,5,True
10,"TfprPrefetchingStrategy",1421823,0,1,2,True
10,"TfprPrefetchingStrategy",3021,0,0,0,True
10,"TfprPrefetchingStrategy",2135,0,0,0,True
10,"TfprPrefetchingStrategy",3438,0,0,0,True
10,"TfprPrefetchingStrategy",1927,0,0,0,True
10,"TfprPrefetchingStrategy",1667,0,0,0,True
10,"TfprPrefetchingStrategy",2344,0,0,0,True
10,"TfprPrefetchingStrategy",1198,0,0,0,True
10,"TfprPrefetchingStrategy",1771,0,0,0,True
10,"TfprPrefetchingStrategy",4688,0,0,0,True
10,"TfprPrefetchingStrategy",1928,0,0,0,True
10,"TfprPrefetchingStrategy",2448,0,0,0,True
