STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",3759062,0,0,5,True
"TfprPrefetchingStrategy",1076771,0,0,5,True
"TfprPrefetchingStrategy",685469,0,1,2,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",1003854,0,1,2,True
"TfprPrefetchingStrategy",1406,0,0,0,True
"TfprPrefetchingStrategy",1721875,0,1,2,True
"TfprPrefetchingStrategy",1459,0,0,0,True
"TfprPrefetchingStrategy",1979,0,0,0,True
"TfprPrefetchingStrategy",1821927,0,0,5,True
"TfprPrefetchingStrategy",797813,0,1,2,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",5156,0,0,0,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",2709,0,0,0,True
"TfprPrefetchingStrategy",2396,0,0,0,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",1875,0,0,0,True
"TfprPrefetchingStrategy",2448,0,0,0,True
