datetime,cpu,mem
Thu Aug  6 00:59:48 GMT 2020,0.1,119907
Thu Aug  6 00:59:49 GMT 2020,2.3,131294
Thu Aug  6 00:59:49 GMT 2020,2.3,148212
Thu Aug  6 00:59:49 GMT 2020,2.3,148196
Thu Aug  6 00:59:50 GMT 2020,2.3,148192
Thu Aug  6 00:59:50 GMT 2020,2.3,148217
Thu Aug  6 00:59:51 GMT 2020,2.3,148217
Thu Aug  6 00:59:51 GMT 2020,2.3,148233
Thu Aug  6 00:59:51 GMT 2020,2.3,148233
Thu Aug  6 00:59:52 GMT 2020,2.3,148233
Thu Aug  6 00:59:52 GMT 2020,2.3,148233
Thu Aug  6 00:59:53 GMT 2020,2.3,148409
Thu Aug  6 00:59:53 GMT 2020,2.3,148370
Thu Aug  6 00:59:53 GMT 2020,2.3,151390
Thu Aug  6 00:59:54 GMT 2020,2.3,151486
Thu Aug  6 00:59:54 GMT 2020,18,153313
Thu Aug  6 00:59:54 GMT 2020,18,153589
Thu Aug  6 00:59:55 GMT 2020,18,161795
Thu Aug  6 00:59:55 GMT 2020,18,161799
Thu Aug  6 00:59:56 GMT 2020,18,161803
Thu Aug  6 00:59:56 GMT 2020,18,161803
Thu Aug  6 00:59:56 GMT 2020,18,161803
Thu Aug  6 00:59:57 GMT 2020,18,161803
Thu Aug  6 00:59:57 GMT 2020,18,161803
Thu Aug  6 00:59:58 GMT 2020,18,161791
Thu Aug  6 00:59:58 GMT 2020,18,161787
Thu Aug  6 00:59:58 GMT 2020,18,161635
Thu Aug  6 00:59:59 GMT 2020,18,161655
Thu Aug  6 00:59:59 GMT 2020,18,161659
Thu Aug  6 01:00:00 GMT 2020,15,161667
Thu Aug  6 01:00:00 GMT 2020,15,161667
Thu Aug  6 01:00:01 GMT 2020,15,161667
Thu Aug  6 01:00:01 GMT 2020,15,161667
Thu Aug  6 01:00:01 GMT 2020,15,161667
Thu Aug  6 01:00:02 GMT 2020,15,161708
Thu Aug  6 01:00:02 GMT 2020,15,165593
Thu Aug  6 01:00:02 GMT 2020,15,166821
Thu Aug  6 01:00:03 GMT 2020,15,167592
Thu Aug  6 01:00:03 GMT 2020,15,167604
Thu Aug  6 01:00:04 GMT 2020,15,167480
Thu Aug  6 01:00:04 GMT 2020,15,167500
Thu Aug  6 01:00:05 GMT 2020,15,167524
Thu Aug  6 01:00:05 GMT 2020,15,167528
Thu Aug  6 01:00:05 GMT 2020,15,167532
Thu Aug  6 01:00:06 GMT 2020,15,167532
Thu Aug  6 01:00:06 GMT 2020,15,167532
Thu Aug  6 01:00:07 GMT 2020,15,167532
Thu Aug  6 01:00:07 GMT 2020,15,167532
Thu Aug  6 01:00:08 GMT 2020,15,167585
Thu Aug  6 01:00:08 GMT 2020,0,167589
Thu Aug  6 01:00:09 GMT 2020,0,167589
Thu Aug  6 01:00:09 GMT 2020,0,167529
Thu Aug  6 01:00:10 GMT 2020,0,167545
Thu Aug  6 01:00:10 GMT 2020,0,167549
Thu Aug  6 01:00:10 GMT 2020,0,167553
Thu Aug  6 01:00:11 GMT 2020,0,167553
Thu Aug  6 01:00:11 GMT 2020,0,167553
Thu Aug  6 01:00:12 GMT 2020,0,167553
Thu Aug  6 01:00:12 GMT 2020,0,167553
Thu Aug  6 01:00:13 GMT 2020,0,167553
Thu Aug  6 01:00:13 GMT 2020,15,167553
Thu Aug  6 01:00:14 GMT 2020,15,167553
Thu Aug  6 01:00:14 GMT 2020,15,167525
Thu Aug  6 01:00:14 GMT 2020,15,167480
Thu Aug  6 01:00:15 GMT 2020,15,134429
Thu Aug  6 01:00:15 GMT 2020,15,134005
Thu Aug  6 01:00:16 GMT 2020,15,134005
Thu Aug  6 01:00:16 GMT 2020,15,134004
Thu Aug  6 01:00:16 GMT 2020,15,167705
Thu Aug  6 01:00:17 GMT 2020,15,168309
Thu Aug  6 01:00:17 GMT 2020,15,168241
Thu Aug  6 01:00:17 GMT 2020,15,168241
Thu Aug  6 01:00:18 GMT 2020,15,168241
Thu Aug  6 01:00:18 GMT 2020,19,168237
Thu Aug  6 01:00:19 GMT 2020,19,168237
Thu Aug  6 01:00:19 GMT 2020,19,168109
Thu Aug  6 01:00:20 GMT 2020,19,168129
Thu Aug  6 01:00:20 GMT 2020,19,168133
Thu Aug  6 01:00:21 GMT 2020,19,168136
Thu Aug  6 01:00:21 GMT 2020,19,134735
Thu Aug  6 01:00:21 GMT 2020,19,134337
Thu Aug  6 01:00:22 GMT 2020,19,134337
Thu Aug  6 01:00:22 GMT 2020,19,134336
Thu Aug  6 01:00:23 GMT 2020,19,150757
Thu Aug  6 01:00:23 GMT 2020,20,167917
Thu Aug  6 01:00:23 GMT 2020,20,169056
Thu Aug  6 01:00:24 GMT 2020,20,169051
Thu Aug  6 01:00:24 GMT 2020,20,169051
Thu Aug  6 01:00:25 GMT 2020,20,168967
Thu Aug  6 01:00:25 GMT 2020,20,168982
Thu Aug  6 01:00:26 GMT 2020,20,134781
Thu Aug  6 01:00:26 GMT 2020,20,134895
Thu Aug  6 01:00:26 GMT 2020,20,134187
Thu Aug  6 01:00:27 GMT 2020,20,134187
Thu Aug  6 01:00:27 GMT 2020,20,134133
Thu Aug  6 01:00:28 GMT 2020,20,168042
Thu Aug  6 01:00:28 GMT 2020,20,169003
Thu Aug  6 01:00:28 GMT 2020,23,168907
Thu Aug  6 01:00:29 GMT 2020,23,168907
Thu Aug  6 01:00:29 GMT 2020,23,168887
Thu Aug  6 01:00:30 GMT 2020,23,168830
Thu Aug  6 01:00:30 GMT 2020,23,135453
Thu Aug  6 01:00:31 GMT 2020,23,135099
Thu Aug  6 01:00:31 GMT 2020,23,135099
Thu Aug  6 01:00:32 GMT 2020,23,135098
Thu Aug  6 01:00:32 GMT 2020,23,168574
Thu Aug  6 01:00:33 GMT 2020,23,168793
Thu Aug  6 01:00:33 GMT 2020,23,169622
Thu Aug  6 01:00:33 GMT 2020,-11.4,169678
Thu Aug  6 01:00:34 GMT 2020,-11.4,169678
Thu Aug  6 01:00:34 GMT 2020,-11.4,169678
Thu Aug  6 01:00:35 GMT 2020,-11.4,169598
Thu Aug  6 01:00:35 GMT 2020,-11.4,169602
Thu Aug  6 01:00:36 GMT 2020,-11.4,169606
Thu Aug  6 01:00:36 GMT 2020,-11.4,169610
Thu Aug  6 01:00:37 GMT 2020,-11.4,169522
Thu Aug  6 01:00:37 GMT 2020,-11.4,136242
Thu Aug  6 01:00:38 GMT 2020,-11.4,135582
Thu Aug  6 01:00:38 GMT 2020,21,135642
Thu Aug  6 01:00:38 GMT 2020,21,135653
Thu Aug  6 01:00:39 GMT 2020,21,135483
Thu Aug  6 01:00:39 GMT 2020,21,135267
Thu Aug  6 01:00:40 GMT 2020,21,135175
Thu Aug  6 01:00:40 GMT 2020,21,135190
Thu Aug  6 01:00:40 GMT 2020,21,152150
Thu Aug  6 01:00:41 GMT 2020,21,168871
Thu Aug  6 01:00:41 GMT 2020,21,169295
Thu Aug  6 01:00:42 GMT 2020,21,169043
Thu Aug  6 01:00:42 GMT 2020,21,169047
Thu Aug  6 01:00:43 GMT 2020,21,169047
Thu Aug  6 01:00:43 GMT 2020,0.1,169047
Thu Aug  6 01:00:44 GMT 2020,0.1,169047
Thu Aug  6 01:00:44 GMT 2020,0.1,169047
Thu Aug  6 01:00:45 GMT 2020,0.1,168931
Thu Aug  6 01:00:45 GMT 2020,0.1,168880
Thu Aug  6 01:00:46 GMT 2020,0.1,153163
Thu Aug  6 01:00:46 GMT 2020,0.1,170819
Thu Aug  6 01:00:46 GMT 2020,0.1,170763
Thu Aug  6 01:00:47 GMT 2020,0.1,170759
Thu Aug  6 01:00:47 GMT 2020,0.1,170759
Thu Aug  6 01:00:48 GMT 2020,0.1,170759
Thu Aug  6 01:00:48 GMT 2020,22,170763
Thu Aug  6 01:00:49 GMT 2020,22,170763
Thu Aug  6 01:00:49 GMT 2020,22,170763
Thu Aug  6 01:00:50 GMT 2020,22,170742
Thu Aug  6 01:00:50 GMT 2020,22,136661
Thu Aug  6 01:00:51 GMT 2020,22,136555
Thu Aug  6 01:00:51 GMT 2020,22,136155
Thu Aug  6 01:00:52 GMT 2020,22,136154
Thu Aug  6 01:00:52 GMT 2020,22,135867
Thu Aug  6 01:00:52 GMT 2020,22,135955
Thu Aug  6 01:00:53 GMT 2020,22,135743
Thu Aug  6 01:00:53 GMT 2020,0.1,135743
Thu Aug  6 01:00:54 GMT 2020,0.1,135734
Thu Aug  6 01:00:54 GMT 2020,0.1,153494
Thu Aug  6 01:00:54 GMT 2020,0.1,153502
Thu Aug  6 01:00:55 GMT 2020,0.1,153438
Thu Aug  6 01:00:55 GMT 2020,0.1,170382
Thu Aug  6 01:00:56 GMT 2020,0.1,170678
Thu Aug  6 01:00:56 GMT 2020,0.1,170676
Thu Aug  6 01:00:57 GMT 2020,0.1,171562
Thu Aug  6 01:00:57 GMT 2020,0.1,171634
Thu Aug  6 01:00:58 GMT 2020,0.1,173429
Thu Aug  6 01:00:58 GMT 2020,0.1,173409
Thu Aug  6 01:00:59 GMT 2020,0.1,173413
Thu Aug  6 01:00:59 GMT 2020,0.1,173413
Thu Aug  6 01:01:00 GMT 2020,0.1,173413
Thu Aug  6 01:01:01 GMT 2020,0.1,173169
Thu Aug  6 01:01:01 GMT 2020,0.1,173172
Thu Aug  6 01:01:02 GMT 2020,0.1,156395
Thu Aug  6 01:01:02 GMT 2020,0.1,156517
Thu Aug  6 01:01:02 GMT 2020,0.1,156037
Thu Aug  6 01:01:03 GMT 2020,0.1,155973
Thu Aug  6 01:01:03 GMT 2020,0.1,172683
Thu Aug  6 01:01:04 GMT 2020,0.1,156971
Thu Aug  6 01:01:04 GMT 2020,0.1,156979
Thu Aug  6 01:01:04 GMT 2020,0.1,156979
Thu Aug  6 01:01:05 GMT 2020,0.1,173759
