Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
54,2478648,55,956740,191348,30,19
131,2480100,131,956740,191348,130,34
231,2479512,232,956740,191348,230,19
334,2479544,334,956740,191348,332,1
433,2479692,434,956740,191348,432,19
534,2479904,535,956740,191348,533,14
637,2479716,638,956740,191348,635,16
744,2479932,746,956740,191348,741,8
837,2480472,837,956740,191348,836,21
941,2481144,941,956740,191348,938,15
1041,2480160,1043,956740,191348,1039,12
1090,2480160,1092,956740,191348,1089,12
1190,2480316,1190,956740,191348,1188,13
1289,2481476,1289,956740,191348,1288,15
1389,2481476,1390,956740,191348,1389,15
1492,2480888,1493,956740,191348,1491,8
1591,2481284,1592,956740,191348,1590,11
1691,2481584,1691,956740,191348,1690,15
1794,2481760,1795,956740,191348,1792,13
1897,2480856,1899,956740,191348,1894,8
1993,2481344,1995,956740,191348,1992,11
2094,2481528,2095,956740,191348,2093,15
2198,2481376,2200,956740,191348,2196,17
2299,2481176,2301,956740,191348,2295,6
2395,2481760,2396,956740,191348,2394,17
2495,2482076,2495,956740,191348,2494,15
2595,2481932,2595,956740,191348,2594,13
2696,2481000,2697,956740,191348,2695,3
2796,2480748,2796,956740,191348,2795,17
2897,2481976,2898,956740,191348,2896,15
2999,2481584,3000,956740,191348,2997,12
3096,2495064,3097,956740,191348,3095,16
3196,2495200,3197,956740,191348,3196,27
3297,2480940,3297,956740,191348,3296,23
3398,2479568,3398,956740,191348,3397,10
3498,2479872,3499,956740,191348,3497,12
3599,2480552,3600,956740,191348,3598,21
3701,2481112,3702,956740,191348,3700,25
3803,2481248,3805,956740,191348,3801,25
3901,2482776,3902,956740,191348,3900,29
4001,2484920,4001,956740,191348,4000,27
4101,2486976,4102,956740,191348,4101,34
4201,2486500,4202,956740,191348,4201,18
4305,2480136,4306,956740,191348,4302,17
4403,2476648,4403,956740,191348,4402,26
4502,2476256,4502,956740,191348,4501,16
4603,2476344,4604,956740,191348,4602,19
4703,2477544,4703,956740,191348,4702,21
4803,2477368,4803,956740,191348,4802,26
4904,2477236,4904,956740,191348,4903,18
5005,2478044,5005,956740,191348,5004,27
5104,2478200,5104,956740,191348,5103,28
5204,2477916,5205,956740,191348,5204,13
5306,2478680,5306,956740,191348,5305,3
5407,2479756,5407,956740,191348,5406,16
5507,2479756,5507,956740,191348,5506,20
5607,2479020,5607,956740,191348,5606,19
5708,2483852,5708,956740,191348,5707,44
5808,2488544,5808,956740,191348,5807,28
5908,2488544,5908,956740,191348,5907,13
6009,2488348,6009,956740,191348,6008,8
6109,2488060,6109,956740,191348,6108,16
6209,2488812,6210,956740,191348,6209,16
6310,2488224,6310,956740,191348,6309,11
6411,2488224,6411,956740,191348,6410,2
6512,2489368,6513,956740,191348,6511,12
6613,2489432,6613,956740,191348,6611,16
6712,2489628,6713,956740,191348,6711,17
6813,2488920,6813,956740,191348,6812,5
6914,2489684,6915,956740,191348,6913,15
7014,2489760,7014,956740,191348,7013,16
7115,2489760,7115,956740,191348,7114,15
7216,2489172,7216,956740,191348,7215,9
7317,2489896,7317,956740,191348,7316,9
7418,2490192,7419,956740,191348,7417,17
7517,2490160,7517,956740,191348,7516,13
7618,2489284,7618,956740,191348,7617,6
7719,2489880,7719,956740,191348,7718,15
7820,2489940,7820,956740,191348,7818,15
7919,2490188,7920,956740,191348,7919,16
8020,2489600,8020,956740,191348,8019,2
8122,2490396,8122,956740,191348,8121,11
8221,2490448,8221,956740,191348,8220,14
8322,2490448,8322,956740,191348,8321,17
8422,2489912,8422,956740,191348,8421,8
8524,2490160,8524,956740,191348,8523,13
8624,2490880,8625,956740,191348,8623,15
8724,2490824,8724,956740,191348,8723,20
8824,2490368,8824,956740,191348,8823,14
8925,2490368,8925,956740,191348,8924,3
9026,2490952,9027,956740,191348,9025,13
9128,2491152,9128,956740,191348,9126,14
9226,2491152,9227,956740,191348,9226,15
9327,2490656,9327,956740,191348,9326,4
9428,2490964,9429,956740,191348,9427,11
9528,2490808,9528,956740,191348,9527,13
9628,2491212,9629,956740,191348,9627,13
9730,2490696,9730,956740,191348,9729,7
9830,2490696,9831,956740,191348,9829,12
9931,2491704,9931,956740,191348,9929,16
10030,2491952,10030,956740,191348,10029,16
10131,2491364,10131,956740,191348,10130,3
10233,2491604,10234,956740,191348,10231,7
10332,2491740,10333,956740,191348,10331,17
10432,2491740,10433,956740,191348,10431,15
10533,2491080,10534,956740,191348,10532,8
10634,2491352,10635,956740,191348,10633,16
10735,2491556,10735,956740,191348,10734,15
10835,2491556,10836,956740,191348,10834,12
10935,2491020,10935,956740,191348,10934,16
11036,2491020,11036,956740,191348,11035,5
11137,2492180,11137,956740,191348,11136,15
11238,2492428,11239,956740,191348,11236,12
11337,2492232,11337,956740,191348,11336,13
11438,2492032,11438,956740,191348,11437,1
11539,2493248,11540,956740,191348,11538,16
11639,2493260,11639,956740,191348,11638,11
11739,2493316,11740,956740,191348,11738,15
11840,2492800,11840,956740,191348,11839,6
11942,2493348,11943,956740,191348,11940,9
12041,2493496,12041,956740,191348,12040,18
12141,2493496,12142,956740,191348,12140,13
12244,2492700,12245,956740,191348,12242,3
12342,2493872,12343,956740,191348,12341,23
12442,2494900,12443,956740,191348,12442,27
12543,2495468,12543,956740,191348,12542,25
12644,2496572,12644,956740,191348,12643,23
12745,2498604,12745,956740,191348,12744,28
12845,2503016,12845,956740,191348,12844,33
12945,2497328,12945,956740,191348,12944,11
13045,2497268,13046,956740,191348,13045,20
13146,2497528,13146,956740,191348,13145,17
13246,2497332,13246,956740,191348,13246,11
13347,2498072,13347,956740,191348,13346,15
13447,2498056,13448,956740,191348,13447,19
13547,2498416,13547,956740,191348,13547,28
13647,2497940,13648,956740,191348,13647,17
13749,2499512,13750,956740,191348,13748,21
13849,2500028,13849,956740,191348,13848,23
13949,2500028,13949,956740,191348,13948,20
14051,2499636,14051,956740,191348,14050,8
14149,2498244,14150,956740,191348,14149,17
14250,2498244,14250,956740,191348,14249,16
14350,2497656,14350,956740,191348,14349,11
14452,2497656,14453,956740,191348,14451,2
14552,2497984,14552,956740,191348,14551,15
14652,2497836,14653,956740,191348,14651,15
14752,2497992,14753,956740,191348,14752,14
14854,2497260,14854,956740,191348,14853,5
14954,2498236,14955,956740,191348,14953,18
15054,2498160,15055,956740,191348,15053,16
15155,2497964,15155,956740,191348,15154,16
15256,2497180,15257,956740,191348,15255,6
15356,2497180,15356,956740,191348,15355,11
15458,2498216,15458,956740,191348,15457,16
15557,2498216,15557,956740,191348,15556,15
15657,2497600,15658,956740,191348,15657,11
15758,2497836,15758,956740,191348,15757,3
15858,2498800,15858,956740,191348,15857,16
15959,2498800,15959,956740,191348,15958,13
16059,2498212,16059,956740,191348,16059,10
16161,2498460,16161,956740,191348,16160,2
16261,2499124,16262,956740,191348,16260,19
16361,2499124,16362,956740,191348,16361,14
16462,2498928,16462,956740,191348,16461,16
16563,2498204,16563,956740,191348,16562,6
16664,2498668,16665,956740,191348,16663,12
16764,2498916,16764,956740,191348,16763,17
16864,2498916,16864,956740,191348,16863,17
16964,2498328,16965,956740,191348,16964,10
17067,2498328,17067,956740,191348,17065,6
17166,2499144,17167,956740,191348,17165,15
17266,2499144,17267,956740,191348,17265,14
17366,2498556,17367,956740,191348,17366,12
17469,2498756,17470,956740,191348,17468,5
17569,2499048,17570,956740,191348,17568,15
17669,2497188,17669,956740,191348,17668,30
17769,2496932,17770,956740,191348,17769,16
17870,2496932,17871,956740,191348,17870,2
17972,2497232,17972,956740,191348,17971,15
18073,2497440,18074,956740,191348,18071,15
18172,2497080,18172,956740,191348,18171,15
18273,2497080,18273,956740,191348,18272,5
18374,2497080,18375,956740,191348,18373,15
18477,2497820,18477,956740,191348,18476,15
18576,2497692,18576,956740,191348,18575,13
18676,2496976,18676,956740,191348,18675,7
18778,2497464,18778,956740,191348,18777,12
18878,2497684,18878,956740,191348,18877,12
18978,2497684,18978,956740,191348,18977,15
19078,2497292,19079,956740,191348,19078,8
19180,2493860,19181,956740,191348,19179,10
19280,2494116,19280,956740,191348,19279,20
19380,2493920,19380,956740,191348,19379,12
19480,2493136,19481,956740,191348,19480,6
19582,2493396,19582,956740,191348,19581,7
19683,2493664,19683,956740,191348,19681,16
19734,2493664,19734,956740,191348,19732,20
19833,2493664,19833,956740,191348,19832,16
19937,2493620,19938,956740,191348,19936,7
20036,2494220,20037,956740,191348,20035,16
20136,2494024,20137,956740,191348,20135,11
20237,2494024,20237,956740,191348,20236,17
20339,2493240,20339,956740,191348,20337,6
20439,2493240,20439,956740,191348,20438,10
20539,2493564,20540,956740,191348,20538,18
20639,2493464,20639,956740,191348,20638,14
20739,2493360,20739,956740,191348,20738,10
20840,2493360,20840,956740,191348,20839,7
20942,2494448,20942,956740,191348,20940,15
21041,2494448,21041,956740,191348,21040,17
21141,2494056,21142,956740,191348,21141,11
21242,2494288,21243,956740,191348,21241,2
21344,2494780,21344,956740,191348,21343,15
21449,2494780,21450,956740,191348,21445,17
21544,2494664,21544,956740,191348,21543,15
21645,2493892,21645,956740,191348,21644,6
21746,2494504,21746,956740,191348,21745,15
21846,2495032,21847,956740,191348,21845,15
21946,2495032,21946,956740,191348,21945,16
22049,2494444,22049,956740,191348,22047,7
22149,2494972,22150,956740,191348,22148,10
22249,2495416,22249,956740,191348,22248,18
22349,2495416,22350,956740,191348,22348,16
22450,2495052,22450,956740,191348,22449,6
22553,2494748,22553,956740,191348,22551,9
22651,2491408,22652,956740,191348,22650,20
22752,2491484,22752,956740,191348,22751,15
22852,2490880,22853,956740,191348,22851,8
22953,2490684,22953,792458,27066,22952,8
23054,2491356,23055,792458,27066,23053,18
23154,2491160,23154,792458,27066,23153,16
23256,2490376,23256,792458,27066,23255,9
23355,2490804,23356,792458,27066,23355,8
23456,2491524,23457,792458,27066,23455,17
23557,2491524,23557,792458,27066,23556,16
23657,2491092,23658,792458,27066,23657,8
23759,2491032,23759,792458,27066,23758,11
23859,2491916,23860,792458,27066,23858,15
23959,2491916,23959,792458,27066,23958,14
24059,2490924,24059,792458,27066,24058,14
24159,2490924,24160,792458,27066,24159,0
24261,2491624,24262,792458,27066,24260,15
24362,2491716,24362,792458,27066,24360,16
24461,2491768,24462,792458,27066,24460,15
24564,2491304,24564,792458,27066,24562,7
24664,2491680,24665,792458,27066,24663,8
24764,2491776,24764,792458,27066,24763,20
24864,2492024,24864,792458,27066,24863,16
24965,2492040,24966,792458,27066,24964,9
25067,2492776,25068,792458,27066,25065,18
25166,2493760,25166,792458,27066,25165,27
25266,2494112,25266,792458,27066,25265,25
25367,2495420,25367,792458,27066,25366,16
25467,2498068,25467,792458,27066,25466,30
25567,2498776,25568,792458,27066,25566,21
25667,2492912,25668,792458,27066,25667,9
25769,2492572,25770,792458,27066,25768,14
25868,2493180,25868,792458,27066,25867,23
25968,2492388,25969,792458,27066,25968,13
26069,2492388,26070,792458,27066,26069,2
26170,2493196,26171,792458,27066,26170,17
26273,2493196,26274,792458,27066,26271,14
26370,2492608,26370,792458,27066,26370,11
26472,2492608,26472,792458,27066,26471,2
26573,2493284,26573,792458,27066,26572,13
26672,2493476,26672,792458,27066,26671,18
26772,2493844,26772,792458,27066,26772,23
