RUN_NUMBER,REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
1,545,33,FALSE,200,"GET",185,185,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-user"
1,474,53,FALSE,200,"GET",1588,1588,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-all-cities/10"
1,494,56,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,554,35,FALSE,200,"GET",530,530,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city/1"
1,584,65,FALSE,200,"GET",238,238,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-weather/1"
1,843,38,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
1,903,37,FALSE,200,"GET",1793,1793,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-facts/1"
1,732,35,FALSE,200,"GET",183,183,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-images/1"
1,707,34,FALSE,200,"GET",1793,1793,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-facts/1"
1,712,38,FALSE,200,"GET",183,183,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-images/1"
1,901,37,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
1,869,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,576,33,FALSE,200,"GET",530,530,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city/1"
1,600,56,FALSE,200,"GET",238,238,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-weather/1"
1,864,27,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
1,833,38,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,905,34,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,791,35,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,884,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,576,37,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,615,66,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,803,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,569,48,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,578,56,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,564,36,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,761,51,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
1,774,59,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
1,566,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,814,31,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,853,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,757,35,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,770,37,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,890,37,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,919,53,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,714,43,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,576,55,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,583,58,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
1,773,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,586,34,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
1,611,52,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
1,533,35,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
1,625,34,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,589,47,FALSE,200,"GET",185,185,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-user"
2,514,57,FALSE,200,"GET",1588,1588,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-all-cities/10"
2,544,81,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,925,54,FALSE,200,"GET",530,530,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city/1"
2,934,65,FALSE,200,"GET",238,238,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-weather/1"
2,886,34,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
2,706,39,FALSE,200,"GET",1793,1793,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-facts/1"
2,701,32,FALSE,200,"GET",183,183,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-images/1"
2,802,35,FALSE,200,"GET",1793,1793,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-facts/1"
2,711,32,FALSE,200,"GET",183,183,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-images/1"
2,840,32,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
2,642,33,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,630,39,FALSE,200,"GET",238,238,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-weather/1"
2,653,63,FALSE,200,"GET",530,530,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city/1"
2,588,32,FALSE,200,"GET",55024,55024,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-city-information/1"
2,906,36,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,784,35,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,1189,275,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,647,35,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,543,41,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
2,564,66,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
2,856,32,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,527,40,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
2,543,55,FALSE,200,"GET",6426,6426,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-upcoming-holidays/2020"
2,510,34,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
2,531,38,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
2,562,58,FALSE,200,"GET",2,2,"http/1.1","https://project-travel-mate.herokuapp.com/api/get-notifications"
2,985,34,FALSE,200,"GET",36,36,"http/1.1","https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications"
