datetime,cpu,mem
Thu Aug  6 15:29:00 GMT 2020,31,112668
Thu Aug  6 15:29:01 GMT 2020,31,113178
Thu Aug  6 15:29:01 GMT 2020,31,113202
Thu Aug  6 15:29:02 GMT 2020,31,113238
Thu Aug  6 15:29:02 GMT 2020,31,113238
Thu Aug  6 15:29:02 GMT 2020,31,113238
Thu Aug  6 15:29:03 GMT 2020,31,113238
Thu Aug  6 15:29:03 GMT 2020,31,112691
Thu Aug  6 15:29:04 GMT 2020,31,112711
Thu Aug  6 15:29:04 GMT 2020,31,112715
Thu Aug  6 15:29:05 GMT 2020,31,112743
Thu Aug  6 15:29:05 GMT 2020,31,112743
Thu Aug  6 15:29:05 GMT 2020,31,112743
Thu Aug  6 15:29:06 GMT 2020,0,94114
Thu Aug  6 15:29:06 GMT 2020,0,94082
Thu Aug  6 15:29:06 GMT 2020,0,105514
Thu Aug  6 15:29:07 GMT 2020,0,105133
Thu Aug  6 15:29:07 GMT 2020,0,105229
Thu Aug  6 15:29:08 GMT 2020,0,79504
Thu Aug  6 15:29:08 GMT 2020,0,96312
Thu Aug  6 15:29:08 GMT 2020,0,101719
Thu Aug  6 15:29:09 GMT 2020,0,101981
Thu Aug  6 15:29:09 GMT 2020,0,103177
Thu Aug  6 15:29:10 GMT 2020,0,103170
Thu Aug  6 15:29:10 GMT 2020,0,103443
Thu Aug  6 15:29:11 GMT 2020,0,103689
Thu Aug  6 15:29:11 GMT 2020,0,135746
Thu Aug  6 15:29:12 GMT 2020,0,103583
Thu Aug  6 15:29:12 GMT 2020,0,103674
Thu Aug  6 15:29:13 GMT 2020,0,70313
Thu Aug  6 15:29:13 GMT 2020,0,69944
Thu Aug  6 15:29:14 GMT 2020,0,67499
Thu Aug  6 15:29:14 GMT 2020,0,67570
Thu Aug  6 15:29:15 GMT 2020,0,67110
Thu Aug  6 15:29:15 GMT 2020,0,88227
Thu Aug  6 15:29:16 GMT 2020,0,108358
Thu Aug  6 15:29:17 GMT 2020,0,110488
Thu Aug  6 15:29:17 GMT 2020,0,112073
Thu Aug  6 15:29:18 GMT 2020,0,113681
Thu Aug  6 15:29:19 GMT 2020,0,113455
Thu Aug  6 15:29:19 GMT 2020,0,113475
Thu Aug  6 15:29:20 GMT 2020,0,113479
Thu Aug  6 15:29:20 GMT 2020,0,113483
Thu Aug  6 15:29:21 GMT 2020,0,130975
Thu Aug  6 15:29:22 GMT 2020,0,120495
Thu Aug  6 15:29:22 GMT 2020,0,121474
Thu Aug  6 15:29:23 GMT 2020,0,121470
Thu Aug  6 15:29:24 GMT 2020,0,121458
Thu Aug  6 15:29:24 GMT 2020,0,120518
Thu Aug  6 15:29:25 GMT 2020,0,120522
Thu Aug  6 15:29:26 GMT 2020,0,120465
Thu Aug  6 15:29:26 GMT 2020,0,86653
Thu Aug  6 15:29:27 GMT 2020,0,85897
Thu Aug  6 15:29:28 GMT 2020,0,85902
Thu Aug  6 15:29:28 GMT 2020,0,102849
Thu Aug  6 15:29:29 GMT 2020,0,121309
Thu Aug  6 15:29:29 GMT 2020,0,117641
Thu Aug  6 15:29:30 GMT 2020,0,117653
Thu Aug  6 15:29:31 GMT 2020,0,117657
Thu Aug  6 15:29:31 GMT 2020,0,117669
Thu Aug  6 15:29:32 GMT 2020,0,117673
Thu Aug  6 15:29:33 GMT 2020,0,117672
Thu Aug  6 15:29:33 GMT 2020,0,83021
Thu Aug  6 15:29:34 GMT 2020,0,82633
Thu Aug  6 15:29:34 GMT 2020,0,82537
Thu Aug  6 15:29:35 GMT 2020,0,132999
Thu Aug  6 15:29:35 GMT 2020,0,117180
Thu Aug  6 15:29:36 GMT 2020,0,119155
Thu Aug  6 15:29:37 GMT 2020,0,119155
Thu Aug  6 15:29:37 GMT 2020,0,119158
Thu Aug  6 15:29:38 GMT 2020,0,85363
Thu Aug  6 15:29:39 GMT 2020,0,84779
Thu Aug  6 15:29:39 GMT 2020,0,84779
Thu Aug  6 15:29:40 GMT 2020,0,100342
Thu Aug  6 15:29:40 GMT 2020,0,117799
Thu Aug  6 15:29:41 GMT 2020,0,118735
Thu Aug  6 15:29:41 GMT 2020,0,118735
Thu Aug  6 15:29:42 GMT 2020,0,118739
Thu Aug  6 15:29:43 GMT 2020,0,118739
Thu Aug  6 15:29:43 GMT 2020,0,118739
Thu Aug  6 15:29:44 GMT 2020,0,118739
Thu Aug  6 15:29:44 GMT 2020,0,118528
Thu Aug  6 15:29:45 GMT 2020,0,84554
Thu Aug  6 15:29:46 GMT 2020,0,84286
Thu Aug  6 15:29:46 GMT 2020,0,84281
Thu Aug  6 15:29:47 GMT 2020,0,134951
Thu Aug  6 15:29:47 GMT 2020,0,123099
Thu Aug  6 15:29:48 GMT 2020,0,123123
Thu Aug  6 15:29:49 GMT 2020,0.2,123127
Thu Aug  6 15:29:50 GMT 2020,0.2,122527
Thu Aug  6 15:29:50 GMT 2020,0.2,122523
Thu Aug  6 15:29:51 GMT 2020,0.2,122526
Thu Aug  6 15:29:52 GMT 2020,0.2,87903
Thu Aug  6 15:29:52 GMT 2020,0.2,87335
Thu Aug  6 15:29:53 GMT 2020,0.2,87331
Thu Aug  6 15:29:54 GMT 2020,0.2,87049
Thu Aug  6 15:29:54 GMT 2020,0.2,87135
Thu Aug  6 15:29:55 GMT 2020,0.2,87135
Thu Aug  6 15:29:55 GMT 2020,0.2,84628
Thu Aug  6 15:29:56 GMT 2020,0.1,118467
Thu Aug  6 15:29:56 GMT 2020,0.1,119472
Thu Aug  6 15:29:57 GMT 2020,0.1,120092
Thu Aug  6 15:29:58 GMT 2020,0.1,120013
Thu Aug  6 15:29:58 GMT 2020,0.1,120458
Thu Aug  6 15:29:59 GMT 2020,0.1,120458
Thu Aug  6 15:30:00 GMT 2020,0.1,120458
Thu Aug  6 15:30:00 GMT 2020,0.1,120294
Thu Aug  6 15:30:01 GMT 2020,0.1,120312
Thu Aug  6 15:30:02 GMT 2020,46,109056
Thu Aug  6 15:30:02 GMT 2020,46,126392
Thu Aug  6 15:30:03 GMT 2020,46,126392
Thu Aug  6 15:30:04 GMT 2020,46,126392
Thu Aug  6 15:30:05 GMT 2020,46,126392
Thu Aug  6 15:30:05 GMT 2020,46,125464
Thu Aug  6 15:30:06 GMT 2020,46,125423
Thu Aug  6 15:30:07 GMT 2020,46,90016
Thu Aug  6 15:30:07 GMT 2020,46,89680
Thu Aug  6 15:30:08 GMT 2020,46,89679
Thu Aug  6 15:30:08 GMT 2020,31,89532
Thu Aug  6 15:30:09 GMT 2020,31,89532
Thu Aug  6 15:30:10 GMT 2020,31,89527
Thu Aug  6 15:30:10 GMT 2020,31,102685
Thu Aug  6 15:30:11 GMT 2020,31,119880
Thu Aug  6 15:30:11 GMT 2020,31,120596
Thu Aug  6 15:30:12 GMT 2020,31,125936
Thu Aug  6 15:30:13 GMT 2020,31,128666
Thu Aug  6 15:30:14 GMT 2020,0.1,128274
Thu Aug  6 15:30:14 GMT 2020,0.1,128018
Thu Aug  6 15:30:15 GMT 2020,0.1,128022
Thu Aug  6 15:30:16 GMT 2020,0.1,126051
Thu Aug  6 15:30:17 GMT 2020,0.1,181745
Thu Aug  6 15:30:17 GMT 2020,0.1,191520
Thu Aug  6 15:30:18 GMT 2020,0.1,203412
Thu Aug  6 15:30:19 GMT 2020,0.1,223424
Thu Aug  6 15:30:20 GMT 2020,60,227864
Thu Aug  6 15:30:20 GMT 2020,60,229408
Thu Aug  6 15:30:21 GMT 2020,60,232965
Thu Aug  6 15:30:22 GMT 2020,60,236127
Thu Aug  6 15:30:23 GMT 2020,60,235931
Thu Aug  6 15:30:24 GMT 2020,60,237023
Thu Aug  6 15:30:25 GMT 2020,60,237049
Thu Aug  6 15:30:25 GMT 2020,57,196350
Thu Aug  6 15:30:26 GMT 2020,57,187256
Thu Aug  6 15:30:27 GMT 2020,57,187204
Thu Aug  6 15:30:28 GMT 2020,57,207057
Thu Aug  6 15:30:29 GMT 2020,57,227966
Thu Aug  6 15:30:30 GMT 2020,57,224462
Thu Aug  6 15:30:31 GMT 2020,57,223746
Thu Aug  6 15:30:32 GMT 2020,57,223677
Thu Aug  6 15:30:33 GMT 2020,52,189907
Thu Aug  6 15:30:34 GMT 2020,52,189421
Thu Aug  6 15:30:34 GMT 2020,52,226527
Thu Aug  6 15:30:35 GMT 2020,52,230062
Thu Aug  6 15:30:36 GMT 2020,52,234584
Thu Aug  6 15:30:37 GMT 2020,52,237236
Thu Aug  6 15:30:38 GMT 2020,52,238894
Thu Aug  6 15:30:39 GMT 2020,52,241124
Thu Aug  6 15:30:39 GMT 2020,52,204518
Thu Aug  6 15:30:40 GMT 2020,63,191260
Thu Aug  6 15:30:41 GMT 2020,63,191835
Thu Aug  6 15:30:42 GMT 2020,63,191500
Thu Aug  6 15:30:43 GMT 2020,63,193074
Thu Aug  6 15:30:44 GMT 2020,63,203793
Thu Aug  6 15:30:44 GMT 2020,63,220810
Thu Aug  6 15:30:45 GMT 2020,63,221545
Thu Aug  6 15:30:46 GMT 2020,63,226319
Thu Aug  6 15:30:47 GMT 2020,63,226316
Thu Aug  6 15:30:48 GMT 2020,63,226024
Thu Aug  6 15:30:49 GMT 2020,63,211272
Thu Aug  6 15:30:49 GMT 2020,63,211231
Thu Aug  6 15:30:50 GMT 2020,51,190738
Thu Aug  6 15:30:51 GMT 2020,51,232152
Thu Aug  6 15:30:52 GMT 2020,51,234910
Thu Aug  6 15:30:53 GMT 2020,51,239186
Thu Aug  6 15:30:54 GMT 2020,51,237850
Thu Aug  6 15:30:54 GMT 2020,51,239731
Thu Aug  6 15:30:55 GMT 2020,68,198904
Thu Aug  6 15:30:56 GMT 2020,68,192719
Thu Aug  6 15:30:57 GMT 2020,68,192613
Thu Aug  6 15:30:58 GMT 2020,68,191497
Thu Aug  6 15:30:59 GMT 2020,68,191468
Thu Aug  6 15:30:59 GMT 2020,68,209453
Thu Aug  6 15:31:00 GMT 2020,68,223449
Thu Aug  6 15:31:01 GMT 2020,68,228104
Thu Aug  6 15:31:02 GMT 2020,68,235779
Thu Aug  6 15:31:03 GMT 2020,68,236011
Thu Aug  6 15:31:04 GMT 2020,68,224458
Thu Aug  6 15:31:05 GMT 2020,60,223681
Thu Aug  6 15:31:05 GMT 2020,60,204853
Thu Aug  6 15:31:06 GMT 2020,60,220852
Thu Aug  6 15:31:07 GMT 2020,60,220840
Thu Aug  6 15:31:08 GMT 2020,60,219116
Thu Aug  6 15:31:09 GMT 2020,47,219132
Thu Aug  6 15:31:10 GMT 2020,47,219089
Thu Aug  6 15:31:11 GMT 2020,47,219147
Thu Aug  6 15:31:12 GMT 2020,47,219052
Thu Aug  6 15:31:13 GMT 2020,47,185227
Thu Aug  6 15:31:13 GMT 2020,47,184860
Thu Aug  6 15:31:14 GMT 2020,47,201462
Thu Aug  6 15:31:15 GMT 2020,49,218972
Thu Aug  6 15:31:16 GMT 2020,49,224557
Thu Aug  6 15:31:16 GMT 2020,49,225573
Thu Aug  6 15:31:17 GMT 2020,49,225605
Thu Aug  6 15:31:18 GMT 2020,49,224189
Thu Aug  6 15:31:19 GMT 2020,49,224217
Thu Aug  6 15:31:20 GMT 2020,49,224211
Thu Aug  6 15:31:21 GMT 2020,49,224105
Thu Aug  6 15:31:21 GMT 2020,49,190165
Thu Aug  6 15:31:22 GMT 2020,49,188111
Thu Aug  6 15:31:23 GMT 2020,49,188071
Thu Aug  6 15:31:24 GMT 2020,49,207132
Thu Aug  6 15:31:25 GMT 2020,49,225815
Thu Aug  6 15:31:26 GMT 2020,49,225819
Thu Aug  6 15:31:27 GMT 2020,49,225815
Thu Aug  6 15:31:28 GMT 2020,49,225788
Thu Aug  6 15:31:28 GMT 2020,49,225652
Thu Aug  6 15:31:29 GMT 2020,43,190015
Thu Aug  6 15:31:30 GMT 2020,43,189983
Thu Aug  6 15:31:31 GMT 2020,43,189735
Thu Aug  6 15:31:32 GMT 2020,43,189632
Thu Aug  6 15:31:32 GMT 2020,43,222813
Thu Aug  6 15:31:33 GMT 2020,43,223197
Thu Aug  6 15:31:34 GMT 2020,43,226369
Thu Aug  6 15:31:35 GMT 2020,43,231853
Thu Aug  6 15:31:36 GMT 2020,43,236862
Thu Aug  6 15:31:37 GMT 2020,43,236866
Thu Aug  6 15:31:38 GMT 2020,43,236870
Thu Aug  6 15:31:38 GMT 2020,43,236762
Thu Aug  6 15:31:39 GMT 2020,44,226116
Thu Aug  6 15:31:40 GMT 2020,44,226228
Thu Aug  6 15:31:41 GMT 2020,44,226224
Thu Aug  6 15:31:42 GMT 2020,44,226228
Thu Aug  6 15:31:43 GMT 2020,44,226184
Thu Aug  6 15:31:44 GMT 2020,41,191552
Thu Aug  6 15:31:45 GMT 2020,41,191308
Thu Aug  6 15:31:46 GMT 2020,41,191256
Thu Aug  6 15:31:46 GMT 2020,41,190780
Thu Aug  6 15:31:47 GMT 2020,41,190748
Thu Aug  6 15:31:48 GMT 2020,41,190629
