datetime,cpu,mem
Thu Aug  6 14:24:12 GMT 2020,70,80169
Thu Aug  6 14:24:13 GMT 2020,70,79538
Thu Aug  6 14:24:13 GMT 2020,70,79566
Thu Aug  6 14:24:14 GMT 2020,70,79610
Thu Aug  6 14:24:14 GMT 2020,70,79610
Thu Aug  6 14:24:15 GMT 2020,70,79610
Thu Aug  6 14:24:15 GMT 2020,70,79618
Thu Aug  6 14:24:15 GMT 2020,70,79618
Thu Aug  6 14:24:16 GMT 2020,70,79618
Thu Aug  6 14:24:16 GMT 2020,70,78818
Thu Aug  6 14:24:17 GMT 2020,70,78834
Thu Aug  6 14:24:17 GMT 2020,70,78847
Thu Aug  6 14:24:17 GMT 2020,70,95598
Thu Aug  6 14:24:18 GMT 2020,70,151710
Thu Aug  6 14:24:18 GMT 2020,70,130475
Thu Aug  6 14:24:19 GMT 2020,70,169503
Thu Aug  6 14:24:19 GMT 2020,70,146881
Thu Aug  6 14:24:19 GMT 2020,70,147086
Thu Aug  6 14:24:20 GMT 2020,70,147470
Thu Aug  6 14:24:20 GMT 2020,70,150010
Thu Aug  6 14:24:21 GMT 2020,70,152129
Thu Aug  6 14:24:22 GMT 2020,70,155515
Thu Aug  6 14:24:22 GMT 2020,70,140011
Thu Aug  6 14:24:23 GMT 2020,70,140011
Thu Aug  6 14:24:24 GMT 2020,70,140023
Thu Aug  6 14:24:24 GMT 2020,70,139975
Thu Aug  6 14:24:25 GMT 2020,70,153941
Thu Aug  6 14:24:26 GMT 2020,70,153937
Thu Aug  6 14:24:26 GMT 2020,70,140700
Thu Aug  6 14:24:27 GMT 2020,70,181113
Thu Aug  6 14:24:28 GMT 2020,70,188066
Thu Aug  6 14:24:28 GMT 2020,70,209670
Thu Aug  6 14:24:29 GMT 2020,70,209711
Thu Aug  6 14:24:30 GMT 2020,70,216139
Thu Aug  6 14:24:30 GMT 2020,70,216131
Thu Aug  6 14:24:31 GMT 2020,70,216061
Thu Aug  6 14:24:32 GMT 2020,70,210701
Thu Aug  6 14:24:32 GMT 2020,70,200897
Thu Aug  6 14:24:33 GMT 2020,70,207643
Thu Aug  6 14:24:34 GMT 2020,70,187077
Thu Aug  6 14:24:34 GMT 2020,70,187081
Thu Aug  6 14:24:35 GMT 2020,70,187040
Thu Aug  6 14:24:35 GMT 2020,70,188841
Thu Aug  6 14:24:36 GMT 2020,70,188925
Thu Aug  6 14:24:37 GMT 2020,70,188882
Thu Aug  6 14:24:37 GMT 2020,70,220673
Thu Aug  6 14:24:38 GMT 2020,70,206196
Thu Aug  6 14:24:39 GMT 2020,70,208757
Thu Aug  6 14:24:39 GMT 2020,70,211529
Thu Aug  6 14:24:40 GMT 2020,70,214986
Thu Aug  6 14:24:41 GMT 2020,70,202055
Thu Aug  6 14:24:42 GMT 2020,70,202358
Thu Aug  6 14:24:43 GMT 2020,70,201739
Thu Aug  6 14:24:44 GMT 2020,70,244025
Thu Aug  6 14:24:45 GMT 2020,70,245203
Thu Aug  6 14:24:46 GMT 2020,70,243372
Thu Aug  6 14:24:46 GMT 2020,70,201486
Thu Aug  6 14:24:47 GMT 2020,70,201443
Thu Aug  6 14:24:48 GMT 2020,70,235835
Thu Aug  6 14:24:49 GMT 2020,70,236326
Thu Aug  6 14:24:50 GMT 2020,70,236108
Thu Aug  6 14:24:51 GMT 2020,70,201664
Thu Aug  6 14:24:52 GMT 2020,70,201777
Thu Aug  6 14:24:53 GMT 2020,70,215400
Thu Aug  6 14:24:54 GMT 2020,70,220791
Thu Aug  6 14:24:55 GMT 2020,70,187089
Thu Aug  6 14:24:56 GMT 2020,70,204147
Thu Aug  6 14:24:57 GMT 2020,70,204471
Thu Aug  6 14:24:57 GMT 2020,70,204467
Thu Aug  6 14:24:58 GMT 2020,70,191520
Thu Aug  6 14:24:59 GMT 2020,70,191476
Thu Aug  6 14:24:59 GMT 2020,70,191922
Thu Aug  6 14:25:00 GMT 2020,70,191918
Thu Aug  6 14:25:00 GMT 2020,70,191877
Thu Aug  6 14:25:01 GMT 2020,70,224238
Thu Aug  6 14:25:02 GMT 2020,70,219474
Thu Aug  6 14:25:03 GMT 2020,70,220902
Thu Aug  6 14:25:04 GMT 2020,70,214718
Thu Aug  6 14:25:05 GMT 2020,70,219138
Thu Aug  6 14:25:06 GMT 2020,70,203900
Thu Aug  6 14:25:07 GMT 2020,70,203976
Thu Aug  6 14:25:08 GMT 2020,70,204076
Thu Aug  6 14:25:08 GMT 2020,70,216972
Thu Aug  6 14:25:09 GMT 2020,70,221085
Thu Aug  6 14:25:10 GMT 2020,70,202415
Thu Aug  6 14:25:11 GMT 2020,70,202474
Thu Aug  6 14:25:12 GMT 2020,70,203421
Thu Aug  6 14:25:13 GMT 2020,70,203157
Thu Aug  6 14:25:14 GMT 2020,70,194104
Thu Aug  6 14:25:15 GMT 2020,70,194441
Thu Aug  6 14:25:16 GMT 2020,70,195169
Thu Aug  6 14:25:16 GMT 2020,70,194812
Thu Aug  6 14:25:17 GMT 2020,70,199810
Thu Aug  6 14:25:17 GMT 2020,70,201412
Thu Aug  6 14:25:18 GMT 2020,70,201520
Thu Aug  6 14:25:19 GMT 2020,70,201449
Thu Aug  6 14:25:20 GMT 2020,70,201409
Thu Aug  6 14:25:21 GMT 2020,70,201141
Thu Aug  6 14:25:21 GMT 2020,70,201094
Thu Aug  6 14:25:22 GMT 2020,70,200992
