datetime,cpu,mem
Thu Aug  6 11:10:50 GMT 2020,3.6,29263
Thu Aug  6 11:10:50 GMT 2020,3.6,69619
Thu Aug  6 11:10:51 GMT 2020,3.6,92618
Thu Aug  6 11:10:51 GMT 2020,3.6,110197
Thu Aug  6 11:10:51 GMT 2020,3.6,119771
Thu Aug  6 11:10:52 GMT 2020,3.6,119128
Thu Aug  6 11:10:52 GMT 2020,3.6,119016
Thu Aug  6 11:10:53 GMT 2020,3.6,119020
Thu Aug  6 11:10:53 GMT 2020,3.6,119016
Thu Aug  6 11:10:54 GMT 2020,3.6,119012
Thu Aug  6 11:10:54 GMT 2020,3.6,118558
Thu Aug  6 11:10:55 GMT 2020,3.6,123984
Thu Aug  6 11:10:55 GMT 2020,3.6,124496
Thu Aug  6 11:10:56 GMT 2020,3.6,125119
Thu Aug  6 11:10:56 GMT 2020,0,141666
Thu Aug  6 11:10:57 GMT 2020,0,126907
Thu Aug  6 11:10:57 GMT 2020,0,132849
Thu Aug  6 11:10:58 GMT 2020,0,133236
Thu Aug  6 11:10:58 GMT 2020,0,132996
Thu Aug  6 11:10:59 GMT 2020,0,132996
Thu Aug  6 11:11:00 GMT 2020,0,132352
Thu Aug  6 11:11:00 GMT 2020,0,132334
Thu Aug  6 11:11:01 GMT 2020,0,152544
Thu Aug  6 11:11:02 GMT 2020,0.1,164574
Thu Aug  6 11:11:02 GMT 2020,0.1,189433
Thu Aug  6 11:11:03 GMT 2020,0.1,207464
Thu Aug  6 11:11:04 GMT 2020,0.1,212006
Thu Aug  6 11:11:04 GMT 2020,0.1,225160
Thu Aug  6 11:11:05 GMT 2020,0.1,271137
Thu Aug  6 11:11:05 GMT 2020,0.1,272559
Thu Aug  6 11:11:06 GMT 2020,0.1,258655
Thu Aug  6 11:11:07 GMT 2020,0.1,259841
Thu Aug  6 11:11:08 GMT 2020,0.1,266489
Thu Aug  6 11:11:08 GMT 2020,0.1,275369
Thu Aug  6 11:11:09 GMT 2020,0.1,275804
Thu Aug  6 11:11:10 GMT 2020,0.1,272780
Thu Aug  6 11:11:11 GMT 2020,0.1,264517
Thu Aug  6 11:11:12 GMT 2020,0.1,265013
Thu Aug  6 11:11:13 GMT 2020,-24,265859
Thu Aug  6 11:11:14 GMT 2020,-24,231884
Thu Aug  6 11:11:14 GMT 2020,-24,202251
Thu Aug  6 11:11:15 GMT 2020,-24,217808
Thu Aug  6 11:11:16 GMT 2020,-24,239778
Thu Aug  6 11:11:17 GMT 2020,-24,249490
Thu Aug  6 11:11:18 GMT 2020,-24,254977
Thu Aug  6 11:11:18 GMT 2020,0.1,255616
Thu Aug  6 11:11:19 GMT 2020,0.1,257282
Thu Aug  6 11:11:20 GMT 2020,0.1,262292
Thu Aug  6 11:11:21 GMT 2020,0.1,282589
Thu Aug  6 11:11:23 GMT 2020,0.1,270884
Thu Aug  6 11:11:24 GMT 2020,0.1,269642
Thu Aug  6 11:11:25 GMT 2020,84,268940
Thu Aug  6 11:11:26 GMT 2020,84,232605
Thu Aug  6 11:11:27 GMT 2020,84,232185
Thu Aug  6 11:11:28 GMT 2020,84,249149
Thu Aug  6 11:11:29 GMT 2020,84,249928
Thu Aug  6 11:11:30 GMT 2020,84,254544
Thu Aug  6 11:11:31 GMT 2020,84,259076
Thu Aug  6 11:11:32 GMT 2020,84,256056
Thu Aug  6 11:11:33 GMT 2020,77,263178
Thu Aug  6 11:11:34 GMT 2020,77,263852
Thu Aug  6 11:11:35 GMT 2020,77,263054
Thu Aug  6 11:11:36 GMT 2020,77,261730
Thu Aug  6 11:11:37 GMT 2020,77,259200
Thu Aug  6 11:11:38 GMT 2020,77,237058
Thu Aug  6 11:11:39 GMT 2020,77,235709
Thu Aug  6 11:11:40 GMT 2020,59,234891
Thu Aug  6 11:11:41 GMT 2020,59,265548
Thu Aug  6 11:11:42 GMT 2020,59,265400
Thu Aug  6 11:11:43 GMT 2020,59,299537
Thu Aug  6 11:11:44 GMT 2020,59,299791
Thu Aug  6 11:11:45 GMT 2020,59,305694
Thu Aug  6 11:11:46 GMT 2020,59,298398
Thu Aug  6 11:11:47 GMT 2020,59,287536
Thu Aug  6 11:11:48 GMT 2020,59,284987
Thu Aug  6 11:11:49 GMT 2020,59,284929
Thu Aug  6 11:11:50 GMT 2020,66,233968
Thu Aug  6 11:11:51 GMT 2020,66,232593
Thu Aug  6 11:11:52 GMT 2020,66,248173
Thu Aug  6 11:11:53 GMT 2020,66,244467
Thu Aug  6 11:11:54 GMT 2020,66,260336
Thu Aug  6 11:11:55 GMT 2020,66,260121
Thu Aug  6 11:11:55 GMT 2020,0.1,262347
