datetime,cpu,mem
Thu Aug  6 09:40:38 GMT 2020,7.1,109696
Thu Aug  6 09:40:38 GMT 2020,7.1,110578
Thu Aug  6 09:40:39 GMT 2020,7.1,110598
Thu Aug  6 09:40:39 GMT 2020,7.1,116999
Thu Aug  6 09:40:39 GMT 2020,7.1,117255
Thu Aug  6 09:40:40 GMT 2020,7.1,117255
Thu Aug  6 09:40:40 GMT 2020,7.1,117283
Thu Aug  6 09:40:41 GMT 2020,7.1,117283
Thu Aug  6 09:40:41 GMT 2020,7.1,117283
Thu Aug  6 09:40:41 GMT 2020,7.1,117291
Thu Aug  6 09:40:42 GMT 2020,7.1,117291
Thu Aug  6 09:40:42 GMT 2020,7.1,117291
Thu Aug  6 09:40:43 GMT 2020,7.1,117291
Thu Aug  6 09:40:43 GMT 2020,7.1,97121
Thu Aug  6 09:40:43 GMT 2020,7.1,97106
Thu Aug  6 09:40:44 GMT 2020,7.1,108507
Thu Aug  6 09:40:44 GMT 2020,7.1,107797
Thu Aug  6 09:40:44 GMT 2020,7.1,83254
Thu Aug  6 09:40:45 GMT 2020,7.1,99951
Thu Aug  6 09:40:45 GMT 2020,7.1,139841
Thu Aug  6 09:40:45 GMT 2020,7.1,106061
Thu Aug  6 09:40:46 GMT 2020,7.1,106880
Thu Aug  6 09:40:46 GMT 2020,7.1,107041
Thu Aug  6 09:40:46 GMT 2020,7.1,107107
Thu Aug  6 09:40:47 GMT 2020,7.1,139273
Thu Aug  6 09:40:47 GMT 2020,7.1,107264
Thu Aug  6 09:40:48 GMT 2020,7.1,107634
Thu Aug  6 09:40:48 GMT 2020,7.1,73398
Thu Aug  6 09:40:48 GMT 2020,7.1,72556
Thu Aug  6 09:40:49 GMT 2020,7.1,71934
Thu Aug  6 09:40:49 GMT 2020,7.1,71873
Thu Aug  6 09:40:49 GMT 2020,7.1,109781
Thu Aug  6 09:40:50 GMT 2020,7.1,112468
Thu Aug  6 09:40:50 GMT 2020,7.1,113584
Thu Aug  6 09:40:51 GMT 2020,7.1,114274
Thu Aug  6 09:40:51 GMT 2020,7.1,116976
Thu Aug  6 09:40:51 GMT 2020,7.1,117998
Thu Aug  6 09:40:52 GMT 2020,7.1,118006
Thu Aug  6 09:40:52 GMT 2020,7.1,118006
Thu Aug  6 09:40:53 GMT 2020,7.1,117989
Thu Aug  6 09:40:53 GMT 2020,7.1,117665
Thu Aug  6 09:40:54 GMT 2020,7.1,117669
Thu Aug  6 09:40:54 GMT 2020,7.1,117661
Thu Aug  6 09:40:55 GMT 2020,7.1,118563
Thu Aug  6 09:40:55 GMT 2020,7.1,126817
Thu Aug  6 09:40:56 GMT 2020,7.1,128522
Thu Aug  6 09:40:56 GMT 2020,7.1,128631
Thu Aug  6 09:40:57 GMT 2020,7.1,128627
Thu Aug  6 09:40:57 GMT 2020,7.1,128627
Thu Aug  6 09:40:58 GMT 2020,7.1,128627
Thu Aug  6 09:40:59 GMT 2020,7.1,126655
Thu Aug  6 09:40:59 GMT 2020,7.1,126667
Thu Aug  6 09:41:00 GMT 2020,7.1,93001
Thu Aug  6 09:41:00 GMT 2020,7.1,92644
Thu Aug  6 09:41:01 GMT 2020,7.1,92248
Thu Aug  6 09:41:01 GMT 2020,7.1,108810
Thu Aug  6 09:41:01 GMT 2020,7.1,125688
Thu Aug  6 09:41:02 GMT 2020,7.1,127719
Thu Aug  6 09:41:02 GMT 2020,7.1,127931
Thu Aug  6 09:41:03 GMT 2020,7.1,127895
Thu Aug  6 09:41:03 GMT 2020,7.1,123727
Thu Aug  6 09:41:04 GMT 2020,7.1,123743
Thu Aug  6 09:41:04 GMT 2020,7.1,123751
Thu Aug  6 09:41:05 GMT 2020,7.1,123731
Thu Aug  6 09:41:05 GMT 2020,7.1,123735
Thu Aug  6 09:41:06 GMT 2020,7.1,123641
Thu Aug  6 09:41:06 GMT 2020,7.1,89875
Thu Aug  6 09:41:07 GMT 2020,7.1,89239
Thu Aug  6 09:41:07 GMT 2020,7.1,89231
Thu Aug  6 09:41:07 GMT 2020,7.1,122965
Thu Aug  6 09:41:08 GMT 2020,7.1,125205
Thu Aug  6 09:41:08 GMT 2020,7.1,125269
Thu Aug  6 09:41:09 GMT 2020,7.1,125385
Thu Aug  6 09:41:09 GMT 2020,7.1,125401
Thu Aug  6 09:41:10 GMT 2020,7.1,125408
Thu Aug  6 09:41:10 GMT 2020,7.1,91449
Thu Aug  6 09:41:11 GMT 2020,7.1,91049
Thu Aug  6 09:41:11 GMT 2020,7.1,91045
Thu Aug  6 09:41:12 GMT 2020,7.1,108115
Thu Aug  6 09:41:12 GMT 2020,7.1,126005
Thu Aug  6 09:41:13 GMT 2020,7.1,126413
Thu Aug  6 09:41:13 GMT 2020,7.1,126325
Thu Aug  6 09:41:14 GMT 2020,7.1,125297
Thu Aug  6 09:41:14 GMT 2020,7.1,125313
Thu Aug  6 09:41:15 GMT 2020,7.1,125321
Thu Aug  6 09:41:15 GMT 2020,7.1,125321
Thu Aug  6 09:41:16 GMT 2020,7.1,125325
Thu Aug  6 09:41:16 GMT 2020,7.1,125325
Thu Aug  6 09:41:16 GMT 2020,7.1,91039
Thu Aug  6 09:41:17 GMT 2020,7.1,90777
Thu Aug  6 09:41:17 GMT 2020,7.1,90213
Thu Aug  6 09:41:18 GMT 2020,7.1,90188
Thu Aug  6 09:41:18 GMT 2020,7.1,144014
Thu Aug  6 09:41:19 GMT 2020,7.1,128750
Thu Aug  6 09:41:19 GMT 2020,7.1,128962
Thu Aug  6 09:41:20 GMT 2020,7.1,128966
Thu Aug  6 09:41:20 GMT 2020,7.1,128966
Thu Aug  6 09:41:21 GMT 2020,7.1,128970
Thu Aug  6 09:41:21 GMT 2020,7.1,128974
Thu Aug  6 09:41:22 GMT 2020,7.1,128970
Thu Aug  6 09:41:23 GMT 2020,7.1,128893
Thu Aug  6 09:41:23 GMT 2020,7.1,94294
Thu Aug  6 09:41:24 GMT 2020,7.1,93902
Thu Aug  6 09:41:24 GMT 2020,7.1,91114
Thu Aug  6 09:41:24 GMT 2020,7.1,91044
Thu Aug  6 09:41:25 GMT 2020,7.1,91191
Thu Aug  6 09:41:25 GMT 2020,7.1,91143
Thu Aug  6 09:41:26 GMT 2020,7.1,91146
Thu Aug  6 09:41:26 GMT 2020,7.1,108617
Thu Aug  6 09:41:27 GMT 2020,7.1,107721
Thu Aug  6 09:41:27 GMT 2020,7.1,125037
Thu Aug  6 09:41:27 GMT 2020,7.1,126989
Thu Aug  6 09:41:28 GMT 2020,7.1,127197
Thu Aug  6 09:41:28 GMT 2020,7.1,127193
Thu Aug  6 09:41:29 GMT 2020,7.1,127197
Thu Aug  6 09:41:29 GMT 2020,7.1,126677
Thu Aug  6 09:41:30 GMT 2020,7.1,126693
Thu Aug  6 09:41:30 GMT 2020,7.1,126697
Thu Aug  6 09:41:31 GMT 2020,7.1,126705
Thu Aug  6 09:41:32 GMT 2020,7.1,126648
Thu Aug  6 09:41:32 GMT 2020,7.1,131342
Thu Aug  6 09:41:33 GMT 2020,7.1,131531
Thu Aug  6 09:41:33 GMT 2020,7.1,131531
Thu Aug  6 09:41:34 GMT 2020,7.1,131535
Thu Aug  6 09:41:34 GMT 2020,7.1,131099
Thu Aug  6 09:41:35 GMT 2020,7.1,131099
Thu Aug  6 09:41:35 GMT 2020,7.1,131103
Thu Aug  6 09:41:36 GMT 2020,7.1,131111
