RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",273489,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58177,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56563,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40521,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63177,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70781,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",513229,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69688,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",472657,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1865833,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48854,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51666,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",375938,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45833,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",433073,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",434948,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50156,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",400573,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",81459,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1503907,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55833,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54844,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58229,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",72083,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",471563,0,1,3,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57343,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",913958,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48750,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55678,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",225625,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48698,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63750,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",426146,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67292,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",386354,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",439166,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59635,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54739,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",761667,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65625,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",663385,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",488282,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56198,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",406927,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",83125,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",438021,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",247500,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",239427,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",102917,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58646,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",703229,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52292,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1084167,0,1,3,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50052,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54115,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45052,0,0,0,True
