STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",1427448,0,1,4,True
"TfprPrefetchingStrategy",8073,0,0,0,True
"TfprPrefetchingStrategy",2280104,1,1,4,True
"TfprPrefetchingStrategy",1198,0,0,0,True
"TfprPrefetchingStrategy",1545468,1,1,4,True
"TfprPrefetchingStrategy",989,0,0,0,True
"TfprPrefetchingStrategy",1334687,1,1,4,True
"TfprPrefetchingStrategy",2239,0,0,0,True
"TfprPrefetchingStrategy",1292813,1,1,4,True
"TfprPrefetchingStrategy",1250,0,0,0,True
"TfprPrefetchingStrategy",1420521,1,1,4,True
"TfprPrefetchingStrategy",1146,0,0,0,True
"TfprPrefetchingStrategy",1759948,1,1,4,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",2001458,1,1,4,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",2065053,1,1,4,True
"TfprPrefetchingStrategy",2240,0,0,0,True
"TfprPrefetchingStrategy",3214011,1,1,4,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1591198,1,1,4,True
"TfprPrefetchingStrategy",2031,0,0,0,True
