datetime,cpu,mem
Wed Aug  5 22:34:13 GMT 2020,17,118683
Wed Aug  5 22:34:13 GMT 2020,17,121157
Wed Aug  5 22:34:14 GMT 2020,17,120903
Wed Aug  5 22:34:14 GMT 2020,17,120935
Wed Aug  5 22:34:15 GMT 2020,17,120923
Wed Aug  5 22:34:15 GMT 2020,17,120923
Wed Aug  5 22:34:16 GMT 2020,17,119303
Wed Aug  5 22:34:16 GMT 2020,17,119323
Wed Aug  5 22:34:16 GMT 2020,17,119331
Wed Aug  5 22:34:17 GMT 2020,17,119335
Wed Aug  5 22:34:17 GMT 2020,17,119345
Wed Aug  5 22:34:18 GMT 2020,17,125270
Wed Aug  5 22:34:18 GMT 2020,17,125329
Wed Aug  5 22:34:19 GMT 2020,17,126301
Wed Aug  5 22:34:19 GMT 2020,23,108779
Wed Aug  5 22:34:19 GMT 2020,23,127177
Wed Aug  5 22:34:20 GMT 2020,23,129165
Wed Aug  5 22:34:20 GMT 2020,23,133138
Wed Aug  5 22:34:21 GMT 2020,23,131682
Wed Aug  5 22:34:21 GMT 2020,23,131710
Wed Aug  5 22:34:22 GMT 2020,23,131714
Wed Aug  5 22:34:22 GMT 2020,23,131718
Wed Aug  5 22:34:23 GMT 2020,23,132156
Wed Aug  5 22:34:24 GMT 2020,23,160890
Wed Aug  5 22:34:24 GMT 2020,23,179866
Wed Aug  5 22:34:25 GMT 2020,23,189221
Wed Aug  5 22:34:25 GMT 2020,0,206409
Wed Aug  5 22:34:26 GMT 2020,0,211541
Wed Aug  5 22:34:26 GMT 2020,0,217550
Wed Aug  5 22:34:27 GMT 2020,0,254137
Wed Aug  5 22:34:27 GMT 2020,0,259400
Wed Aug  5 22:34:28 GMT 2020,0,258476
Wed Aug  5 22:34:29 GMT 2020,0,243888
Wed Aug  5 22:34:29 GMT 2020,0,245505
Wed Aug  5 22:34:30 GMT 2020,0,245847
Wed Aug  5 22:34:31 GMT 2020,0,255119
Wed Aug  5 22:34:31 GMT 2020,0,262160
Wed Aug  5 22:34:32 GMT 2020,0,262939
Wed Aug  5 22:34:33 GMT 2020,0,264494
Wed Aug  5 22:34:34 GMT 2020,0,254800
Wed Aug  5 22:34:34 GMT 2020,0,254834
Wed Aug  5 22:34:35 GMT 2020,0.1,219501
Wed Aug  5 22:34:36 GMT 2020,0.1,203135
Wed Aug  5 22:34:37 GMT 2020,0.1,234627
Wed Aug  5 22:34:37 GMT 2020,0.1,219084
Wed Aug  5 22:34:38 GMT 2020,0.1,241571
Wed Aug  5 22:34:39 GMT 2020,0.1,250544
Wed Aug  5 22:34:39 GMT 2020,0.1,255320
Wed Aug  5 22:34:40 GMT 2020,0.1,256188
Wed Aug  5 22:34:41 GMT 2020,0.1,258361
Wed Aug  5 22:34:42 GMT 2020,0.1,258952
Wed Aug  5 22:34:43 GMT 2020,0.1,267718
Wed Aug  5 22:34:44 GMT 2020,0.1,272167
Wed Aug  5 22:34:45 GMT 2020,0.1,269559
Wed Aug  5 22:34:46 GMT 2020,0.1,269147
Wed Aug  5 22:34:47 GMT 2020,0.1,266208
Wed Aug  5 22:34:48 GMT 2020,0.1,214995
Wed Aug  5 22:34:48 GMT 2020,0.1,213922
Wed Aug  5 22:34:49 GMT 2020,0.1,264689
Wed Aug  5 22:34:50 GMT 2020,0.1,253329
Wed Aug  5 22:34:50 GMT 2020,0.1,257705
Wed Aug  5 22:34:51 GMT 2020,0.1,260361
Wed Aug  5 22:34:52 GMT 2020,0.1,257929
Wed Aug  5 22:34:53 GMT 2020,0.1,257164
Wed Aug  5 22:34:54 GMT 2020,0.1,262353
Wed Aug  5 22:34:55 GMT 2020,0.1,268511
Wed Aug  5 22:34:56 GMT 2020,0.1,261666
Wed Aug  5 22:34:57 GMT 2020,0.1,260510
Wed Aug  5 22:34:58 GMT 2020,0.1,257026
Wed Aug  5 22:34:59 GMT 2020,0.1,256933
Wed Aug  5 22:34:59 GMT 2020,0.1,236310
Wed Aug  5 22:35:00 GMT 2020,0.1,235021
Wed Aug  5 22:35:01 GMT 2020,42,252268
Wed Aug  5 22:35:02 GMT 2020,42,262073
Wed Aug  5 22:35:02 GMT 2020,42,267349
Wed Aug  5 22:35:03 GMT 2020,42,270810
Wed Aug  5 22:35:04 GMT 2020,42,293234
Wed Aug  5 22:35:05 GMT 2020,42,300773
Wed Aug  5 22:35:06 GMT 2020,42,292948
Wed Aug  5 22:35:07 GMT 2020,42,297825
Wed Aug  5 22:35:08 GMT 2020,42,288268
Wed Aug  5 22:35:09 GMT 2020,42,282248
Wed Aug  5 22:35:10 GMT 2020,42,282557
Wed Aug  5 22:35:11 GMT 2020,62,247800
Wed Aug  5 22:35:12 GMT 2020,62,231811
Wed Aug  5 22:35:12 GMT 2020,62,233233
Wed Aug  5 22:35:13 GMT 2020,62,248811
Wed Aug  5 22:35:14 GMT 2020,62,243960
Wed Aug  5 22:35:15 GMT 2020,62,260899
Wed Aug  5 22:35:15 GMT 2020,62,261762
Wed Aug  5 22:35:16 GMT 2020,38,262944
Wed Aug  5 22:35:17 GMT 2020,38,263952
Wed Aug  5 22:35:17 GMT 2020,38,266033
Wed Aug  5 22:35:18 GMT 2020,38,265377
Wed Aug  5 22:35:19 GMT 2020,38,258878
Wed Aug  5 22:35:20 GMT 2020,38,250741
Wed Aug  5 22:35:21 GMT 2020,38,255330
Wed Aug  5 22:35:22 GMT 2020,38,262247
Wed Aug  5 22:35:23 GMT 2020,38,267603
Wed Aug  5 22:35:23 GMT 2020,38,295759
Wed Aug  5 22:35:24 GMT 2020,38,309161
Wed Aug  5 22:35:25 GMT 2020,0.1,263744
Wed Aug  5 22:35:26 GMT 2020,0.1,228453
Wed Aug  5 22:35:27 GMT 2020,0.1,229015
Wed Aug  5 22:35:28 GMT 2020,0.1,246250
Wed Aug  5 22:35:29 GMT 2020,0.1,244975
Wed Aug  5 22:35:30 GMT 2020,0.1,262025
Wed Aug  5 22:35:30 GMT 2020,0.1,261308
Wed Aug  5 22:35:31 GMT 2020,0.1,245834
Wed Aug  5 22:35:32 GMT 2020,0.1,243918
Wed Aug  5 22:35:33 GMT 2020,0.1,243873
Wed Aug  5 22:35:34 GMT 2020,0.1,261507
Wed Aug  5 22:35:34 GMT 2020,0.1,262078
Wed Aug  5 22:35:35 GMT 2020,0.1,244726
Wed Aug  5 22:35:36 GMT 2020,0.1,244801
Wed Aug  5 22:35:37 GMT 2020,0.1,246258
Wed Aug  5 22:35:38 GMT 2020,0.1,245883
Wed Aug  5 22:35:39 GMT 2020,0.1,245832
Wed Aug  5 22:35:40 GMT 2020,0.1,246691
Wed Aug  5 22:35:41 GMT 2020,0.1,246527
Wed Aug  5 22:35:42 GMT 2020,0.1,249736
Wed Aug  5 22:35:43 GMT 2020,0.1,249468
Wed Aug  5 22:35:44 GMT 2020,0.1,249413
Wed Aug  5 22:35:45 GMT 2020,0.1,249603
Wed Aug  5 22:35:45 GMT 2020,0.1,249878
Wed Aug  5 22:35:46 GMT 2020,0.1,256494
Wed Aug  5 22:35:47 GMT 2020,0.1,278506
Wed Aug  5 22:35:48 GMT 2020,0.1,283182
Wed Aug  5 22:35:49 GMT 2020,0.1,288924
Wed Aug  5 22:35:50 GMT 2020,0.1,288942
Wed Aug  5 22:35:51 GMT 2020,0.1,288846
Wed Aug  5 22:35:52 GMT 2020,0.1,286406
Wed Aug  5 22:35:54 GMT 2020,57,285780
Wed Aug  5 22:35:54 GMT 2020,57,285105
Wed Aug  5 22:35:55 GMT 2020,57,252061
Wed Aug  5 22:35:56 GMT 2020,57,251493
Wed Aug  5 22:35:57 GMT 2020,57,251427
Wed Aug  5 22:35:58 GMT 2020,57,275611
Wed Aug  5 22:35:59 GMT 2020,57,294849
Wed Aug  5 22:36:00 GMT 2020,0.1,300618
Wed Aug  5 22:36:01 GMT 2020,0.1,295773
Wed Aug  5 22:36:02 GMT 2020,0.1,295055
Wed Aug  5 22:36:03 GMT 2020,0.1,295063
Wed Aug  5 22:36:04 GMT 2020,0.1,297423
Wed Aug  5 22:36:05 GMT 2020,0.1,297715
Wed Aug  5 22:36:06 GMT 2020,0.1,297983
Wed Aug  5 22:36:07 GMT 2020,0.1,258632
Wed Aug  5 22:36:08 GMT 2020,0.1,257383
Wed Aug  5 22:36:09 GMT 2020,0.1,274140
Wed Aug  5 22:36:10 GMT 2020,0.1,272771
Wed Aug  5 22:36:10 GMT 2020,0.1,272877
Wed Aug  5 22:36:11 GMT 2020,0.1,273026
Wed Aug  5 22:36:12 GMT 2020,0.1,272412
Wed Aug  5 22:36:13 GMT 2020,33,238066
Wed Aug  5 22:36:14 GMT 2020,33,236909
Wed Aug  5 22:36:14 GMT 2020,33,253118
Wed Aug  5 22:36:15 GMT 2020,33,249805
Wed Aug  5 22:36:16 GMT 2020,33,264766
Wed Aug  5 22:36:17 GMT 2020,33,266176
Wed Aug  5 22:36:17 GMT 2020,33,266724
Wed Aug  5 22:36:18 GMT 2020,33,266631
Wed Aug  5 22:36:19 GMT 2020,33,267324
Wed Aug  5 22:36:20 GMT 2020,0.1,265876
Wed Aug  5 22:36:21 GMT 2020,0.1,270273
Wed Aug  5 22:36:22 GMT 2020,0.1,269313
Wed Aug  5 22:36:23 GMT 2020,0.1,269264
Wed Aug  5 22:36:24 GMT 2020,0.1,251613
Wed Aug  5 22:36:25 GMT 2020,0.1,270901
Wed Aug  5 22:36:26 GMT 2020,0.1,278713
Wed Aug  5 22:36:27 GMT 2020,0.1,281841
Wed Aug  5 22:36:28 GMT 2020,0.1,286273
Wed Aug  5 22:36:29 GMT 2020,48,309472
Wed Aug  5 22:36:30 GMT 2020,48,318205
Wed Aug  5 22:36:31 GMT 2020,48,322508
Wed Aug  5 22:36:32 GMT 2020,48,318725
Wed Aug  5 22:36:34 GMT 2020,48,317420
Wed Aug  5 22:36:35 GMT 2020,91,292572
Wed Aug  5 22:36:36 GMT 2020,91,297143
Wed Aug  5 22:36:37 GMT 2020,91,294208
Wed Aug  5 22:36:38 GMT 2020,91,291528
Wed Aug  5 22:36:39 GMT 2020,91,290452
Wed Aug  5 22:36:40 GMT 2020,91,290424
Wed Aug  5 22:36:41 GMT 2020,91,295805
Wed Aug  5 22:36:43 GMT 2020,57,319381
Wed Aug  5 22:36:44 GMT 2020,57,321717
Wed Aug  5 22:36:45 GMT 2020,57,324153
Wed Aug  5 22:36:46 GMT 2020,57,330950
Wed Aug  5 22:36:47 GMT 2020,57,335678
Wed Aug  5 22:36:48 GMT 2020,57,335042
Wed Aug  5 22:36:50 GMT 2020,57,330938
Wed Aug  5 22:36:51 GMT 2020,57,349893
Wed Aug  5 22:36:52 GMT 2020,83,277337
Wed Aug  5 22:36:53 GMT 2020,83,276484
Wed Aug  5 22:36:54 GMT 2020,83,273759
Wed Aug  5 22:36:55 GMT 2020,83,285499
Wed Aug  5 22:36:56 GMT 2020,83,286548
Wed Aug  5 22:36:57 GMT 2020,65,286454
Wed Aug  5 22:36:58 GMT 2020,65,289357
Wed Aug  5 22:36:59 GMT 2020,65,289725
Wed Aug  5 22:37:00 GMT 2020,65,275264
