STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2358750,0,1,1,True
"TfprPrefetchingStrategy",4481250,2,1,1,True
"TfprPrefetchingStrategy",1875,0,0,0,True
"TfprPrefetchingStrategy",8738698,2,1,1,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",4615990,2,1,1,True
"TfprPrefetchingStrategy",2448,0,0,0,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",4251875,2,1,1,True
"TfprPrefetchingStrategy",6043802,2,1,1,True
"TfprPrefetchingStrategy",1042,0,0,0,True
"TfprPrefetchingStrategy",885365,0,1,1,True
"TfprPrefetchingStrategy",784271,0,1,1,True
"TfprPrefetchingStrategy",1568959,0,1,1,True
"TfprPrefetchingStrategy",7015417,2,1,1,True
"TfprPrefetchingStrategy",1354,0,0,0,True
"TfprPrefetchingStrategy",8511250,2,1,1,True
"TfprPrefetchingStrategy",1458,0,0,0,True
"TfprPrefetchingStrategy",1309844,0,1,1,True
"TfprPrefetchingStrategy",6472969,2,1,1,True
"TfprPrefetchingStrategy",1250,0,0,0,True
"TfprPrefetchingStrategy",11540573,2,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",13547343,2,1,1,True
"TfprPrefetchingStrategy",4797604,2,1,1,True
"TfprPrefetchingStrategy",1511,0,0,0,True
